Frame	X1	Y1	Flag1
Tracks 1 to 1
1	76.69847	256.65076	 
2	76.802734	256.62695	 
3	76.71497	256.73416	 
4	76.98738	256.8534	 
5	76.80315	256.93307	 
6	76.85815	257.11972	 
7	76.72868	257.1744	 
8	76.754906	257.34705	 
9	76.50584	257.5253	 
10	76.909355	257.7086	 
11	76.86399	257.86203	 
12	76.949615	258.19186	 
13	76.9833	258.60413	 
14	77.08004	259.00848	 
15	77.03282	259.76642	 
16	77.155556	260.66852	 
17	77.621216	262.05493	 
18	77.686005	263.28268	 
19	77.66428	264.95892	 
20	78.07746	266.87323	 
21	76.33801	272.27322	 
22	76.32073	275.32504	 
23	76.37025	279.18457	 
24	76.55734	282.82797	 
25	76.629036	286.71198	 
26	76.66432	290.99295	 
27	76.51675	295.50238	 
28	76.754234	300.408	 
29	76.78434	305.3554	 
30	76.94039	310.8017	 
31	76.91728	316.5568	 
32	77.05257	322.60757	 
33	77.01122	328.84912	 
34	77.050385	335.68604	 
35	77.16244	342.4391	 
36	77.2513	349.77203	 
37	77.270836	357.08072	 
38	77.24934	364.93466	 
39	77.23209	373.0013	 
40	77.4555	381.43195	 
41	77.54658	389.98767	 
42	77.55769	398.8846	 
43	77.42593	408.12677	 
44	77.419075	417.7601	 
45	77.482506	427.70117	 
46	77.80029	437.84692	 
47	77.85294	448.21765	 
48	77.86498	458.8353	 
49	77.90184	469.908	 
50	77.93437	481.10626	 
51	77.97987	492.8684	 
52	77.94308	504.65076	 
53	78.20808	516.6801	 
54	78.23354	529.0329	 
55	78.25399	541.6853	 
56	78.45793	554.6812	 
57	78.46795	567.9647	 
58	78.51295	581.44824	 
59	78.65161	595.29675	 
60	78.805084	607.7267	 
61	78.57466	603.3733	 
62	78.5684	596.5401	 
63	78.44353	590.3659	 
64	78.35548	584.6935	 
65	78.37239	579.2703	 
66	78.233025	573.8747	 
67	78.225174	569.15356	 
68	78.31379	564.54596	 
69	78.28231	560.31177	 
70	78.14653	556.3098	 
71	78.168175	552.6219	 
72	77.96712	549.4229	 
73	78.01236	546.2865	 
74	77.87838	543.1847	 
