Frame	X1	Y1	Flag1	X2	Y2	Flag2
Tracks 1 to 2
1	8.412977	163.48932	 	112.69904	291.1449	 
2	8.528485	163.9048	 	112.998405	291.36145	 
3	8.533133	163.41415	 	113.45968	291.60645	 
4	8.518265	162.8516	 	113.65816	291.97116	 
5	8.57511	163.28497	 	113.853035	292.45895	 
6	8.51034	163.07016	 	113.91653	293.04214	 
7	8.610787	163.29446	 	114.36901	293.8019	 
8	8.651079	163.20503	 	114.41896	294.9846	 
9	8.728448	162.9181	 	114.438385	295.98816	 
10	8.654411	162.5	 	119.14083	301.80246	 
11	8.797336	163.04698	 	118.955025	303.04672	 
12	8.702568	162.72539	 	119.03927	304.9991	 
13	8.772727	162.61748	 	121.15094	312.67453	*
14	8.712164	162.34016	 	121.2598	316.18872	*
15	8.858127	162.77548	 	121.54444	319.92468	*
16	8.842033	162.72665	 	121.4975	323.6725	*
17	8.716666	162.39166	 	121.51786	327.90308	*
18	8.837448	162.3011	 	121.68252	332.47943	 
19	8.9163265	162.42245	 	121.78061	337.2908	 
20	8.849381	162.17813	 	121.88919	342.32703	 
21	8.894309	162.60976	 	121.85526	347.8421	 
22	8.944594	162.59595	 	121.97121	353.50784	 
23	8.927983	161.96228	 	121.979675	359.38077	 
24	8.928765	162.14722	 	122.055855	365.718	 
25	8.876871	161.72858	 	122.34469	372.2684	 
26	8.882716	161.41084	 	122.489075	378.96722	 
27	8.947762	161.6696	 	122.330986	386.17886	 
28	8.883037	161.23871	 	122.56937	393.54047	 
29	8.904371	161.33197	 	122.54348	401.33478	 
30	8.800276	161.09366	 	122.6303	409.4485	 
31	8.824176	161.2706	 	122.7044	417.9214	 
32	8.907859	161.34688	 	122.84251	426.60703	 
33	8.880888	161.55383	 	122.900604	435.68375	 
34	8.855102	161.23741	 	122.858025	444.70062	 
35	8.909214	160.94986	 	122.92073	454.23474	 
36	8.914634	160.6355	 	122.883644	464.12265	 
37	8.8915415	160.69373	 	123.04341	474.16882	 
38	8.917004	160.6633	 	122.99351	484.46753	 
39	8.926862	161.02127	 	123.25238	495.12222	 
40	8.880567	160.55533	 	123.12418	506.2255	 
41	8.978911	160.22244	 	123.18276	517.37244	 
42	9.031662	160.85092	 	123.15085	528.9237	 
43	8.957447	160.59308	 	123.25517	540.85175	 
44	8.9540615	160.6265	 	123.32578	553.1446	 
45	8.94016	160.69016	 	123.29004	565.621	 
46	8.954305	160.65497	 	123.39629	577.5642	 
47	9.001316	160.49869	 	123.25104	578.50415	 
48	8.93329	160.67966	 	123.33182	573.2682	 
49	8.97569	160.69843	 	123.23585	569.2099	 
50	8.989556	160.63185	 	122.93961	565.413	 
51	8.88255	160.24765	 	122.86	562.15	 
52	8.978204	160.30185	 	122.812805	558.90643	 
53	9.066406	160.35808	 	122.91439	556.2667	 
54	8.9592495	160.32018	 	122.57824	553.9059	 
55	9.015666	160.52219	 	122.569824	551.9464	 
56	9.008474	160.34355	 	122.333336	550.3865	 
57	8.93461	160.35205	 	122.24378	548.96515	 
58	8.890729	160.4457	 	122.1526	547.8102	 
59	8.923797	160.11096	 	122.13614	546.9629	 
60	9.003937	160.06036	 	121.92611	546.197	 
61	9.013055	159.97519	 	121.9534	545.8048	 
62	8.947197	160.13625	 	121.84804	545.87744	 
63	8.958607	159.84428	 	121.62562	546.21924	 
64	8.984728	159.60226	 	121.45037	546.97644	 
65	8.958607	159.84822	 	121.410446	547.95026	 
66	8.905013	159.90106	 	121.40842	549.099	 
67	8.945169	160.03133	 	121.16015	550.80804	 
68	8.904539	159.84846	 	120.95657	552.6836	 
69	8.893243	159.49864	 	120.825066	554.77045	 
70	8.907456	159.77696	 	120.69506	557.07776	 
71	8.836942	159.67186	 	120.56266	559.886	 
72	8.95283	159.54716	 	120.5925	562.9525	 
73	8.847185	159.84317	 	120.47311	566.6198	 
74	8.869826	159.8151	 	120.25463	570.3935	 
75	8.8107195	159.54207	 	120.1712	574.4252	 
76	8.822973	159.17703	 	120.033066	579.4238	 
77	8.873656	159.18951	 	120.011856	579.12646	 
78	8.794751	159.60498	 	119.98276	576.6336	 
