Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
1	61.813324	245.87695	 	278.27206	628.62256	 	11.425926	632.62964	 
2	72.06579	253.96346	 	277.51254	629.5351	 	11.557693	632.8149	 
3	79.02424	258.39948	 	278.48627	629.728	 	11.287342	632.88226	 
4	77.71392	258.01614	 	278.71466	629.5	 	11.591603	633.2074	 
5	79.8321	258.7177	 	278.5512	629.4838	 	11.442786	633.0771	 
6	79.446884	258.80035	 	280.09384	628.84155	 	11.302168	633.9607	 
7	79.57076	259.04004	 	272.81107	631.447	 	11.016575	634.0166	 
8	72.86937	254.55106	 	278.43207	629.59784	 	11.52965	634.0364	 
9	73.19806	254.59865	 	277.81186	629.88916	 	11.559553	632.9963	 
10	79.75678	259.3011	 	278.6957	629.2668	 	11.328784	632.8226	 
11	73.810074	255.12015	 	278.59116	629.8056	 	11.052764	632.9422	 
12	78.71747	258.83218	 	278.3973	629.77026	 	11.256411	633.54614	 
13	74.51379	256.4464	 	277.90152	629.50507	 	11.014778	632.7685	 
14	80.52752	261.40643	 	279.06906	629.56354	 	11.468023	634.3605	 
15	80.15979	262.24054	 	278.51334	629.6227	 	11.362069	632.7217	 
16	80.36585	263.2805	 	278.09418	629.9377	 	11.799493	633.4264	 
17	74.24032	259.1399	 	278.6757	629.52435	 	11.437824	633.4093	 
18	81.39813	266.5051	 	278.34616	629.42566	 	11.296163	632.68945	 
19	81.90426	268.4558	 	277.4	629.755	 	11.463768	632.843	 
20	81.702896	270.157	 	278.29733	629.55334	 	11.317721	633.2063	 
21	81.889404	272.10437	 	278.33646	629.9692	 	11.539682	633.9788	 
22	80.878494	280.45053	 	278.8757	629.45197	 	11.621883	634.2036	 
23	80.99455	284.2451	 	278.33597	629.3862	 	11.4878645	632.78644	 
24	81.248314	288.2798	 	279.00558	629.5531	 	11.422043	634.0161	 
25	81.39135	292.53326	 	278.6156	629.2661	 	11.304401	632.75916	 
26	81.39663	296.98538	 	278.12033	629.9198	 	11.538781	634.2452	 
27	81.603836	301.75055	 	278.9153	629.15027	 	11.8359785	633.95764	 
28	81.632286	306.86996	 	278.34518	629.31726	 	11.428922	632.85785	 
29	81.73874	312.36935	 	278.63904	629.59625	 	11.522959	633.3571	 
30	81.934784	318.12015	 	277.92856	629.5351	 	10.926065	632.8358	 
31	82.08042	324.0408	 	278.1	629.5895	 	11.4	633.0725	 
32	82.17681	330.40866	 	278.50537	629.2285	 	10.886111	633.9472	 
33	82.284035	337.11032	 	278.17633	629.72107	 	11.160098	632.8547	 
34	82.44811	343.9599	 	278.3625	629.1975	 	11.382629	632.41785	 
35	82.63527	351.05798	 	278.20975	629.6504	 	11.381909	633.0603	 
36	82.788506	358.66626	 	278.60364	629.0	 	11.32963	632.9247	 
37	82.775185	366.4533	 	278.40674	629.114	 	11.37766	633.95746	 
38	83.00372	374.49753	 	278.66934	629.0242	 	11.322103	633.9178	 
39	83.01	382.94	 	278.5654	630.0613	 	11.515584	633.3442	 
40	83.24359	391.5795	 	278.44055	629.6703	 	11.590452	633.0126	 
41	83.20876	400.52063	 	278.5829	629.33154	 	10.779373	633.4922	 
42	83.34085	409.88196	 	278.7857	629.473	 	11.607843	633.00244	 
43	83.45711	419.56168	 	278.90845	629.6155	 	11.522901	633.15906	 
44	83.678375	429.43784	 	279.77975	628.6786	 	11.403704	632.979	 
45	83.69407	439.65363	 	278.40985	629.7049	 	10.830484	633.97864	 
46	84.10109	449.96994	 	277.9795	629.72565	 	11.519499	634.24097	 
47	84.136116	460.78842	 	278.46103	629.3935	 	11.720049	633.1504	 
48	84.218666	471.79526	 	278.4175	628.95874	 	11.54914	633.0651	 
49	84.47118	483.13113	 	278.52972	629.3811	 	11.431472	633.1472	 
50	84.426346	494.70114	 	279.73978	628.5731	 	11.489219	634.01215	 
51	84.546646	506.8032	 	278.60498	629.674	 	11.113811	633.11383	 
52	84.68421	518.886	 	278.24014	629.6391	 	11.240648	632.88654	 
53	84.8553	531.40546	 	278.6507	629.56573	 	11.084415	633.06885	 
54	85.08084	544.33234	 	278.88968	629.80084	 	11.719321	633.55225	 
55	85.15497	557.1608	 	278.2984	629.67505	 	12.109638	633.25903	 
56	85.4142	570.6006	 	278.46808	629.46545	 	11.8307085	634.0302	 
57	85.39759	584.0934	 	278.93454	629.3635	 	11.7963915	633.25775	 
58	85.81287	598.10236	 	278.27344	629.2474	 	11.61165	633.0898	 
59	85.76435	611.1052	 	279.30664	628.23206	 	11.5403805	632.557	 
60	86.06476	603.76324	 	278.39487	629.7345	 	11.673684	634.04474	 
61	86.17181	596.44714	 	278.67725	629.1693	 	11.823529	633.0686	 
62	86.477875	589.9425	 	278.57513	629.03625	 	11.375662	633.8307	 
63	86.717865	583.7157	 	277.8753	629.4169	 	11.569307	633.1139	 
64	87.05727	577.8128	 	278.27603	629.85675	 	11.417949	633.6359	 
65	87.20796	572.0929	 	278.8079	629.35834	 	12.297979	633.3965	 
66	87.45022	566.7965	 	277.58728	629.6621	 	11.977435	632.83014	 
67	87.66151	561.7456	 	279.1503	629.40753	 	11.800276	634.3788	 
68	88.03275	557.08295	 	278.26126	629.60345	 	11.656398	632.6564	 
69	88.25322	552.5923	 	278.2	629.2923	 	11.428753	633.2888	 
70	88.39809	548.64435	 	278.521	629.2323	 	11.30402	632.9874	 
71	88.60208	544.9	 	273.7175	630.82733	 	11.300982	632.9988	 
72	88.83546	541.2006	 	278.7981	629.34827	 	11.328042	633.8492	 
73	89.21399	537.8382	 	278.59067	629.09326	 	11.279411	632.74756	 
74	89.454735	534.607	 	272.59616	630.8611	 	11.604019	632.7837	 
75	89.77027	531.94073	 	278.26904	629.56854	 	11.817757	632.8154	 
76	90.04415	529.47125	 	278.43387	629.381	 	11.757217	634.01447	 
77	90.18059	527.42065	 	280.3258	629.0258	 	11.565327	633.21356	 
78	90.43196	525.7639	 	278.48917	629.8604	 	11.800505	633.1869	 
79	90.57128	524.3758	 	278.68283	629.61633	 	11.527638	633.1759	 
80	90.85744	523.2624	 	278.69125	629.4454	 	11.0801525	633.0929	 
81	91.15377	522.2576	 	277.97928	629.95593	 	11.174797	633.8686	 
82	91.441055	521.70734	 	279.58865	628.3975	 	11.352301	632.77844	 
83	91.55361	521.3392	 	278.98306	629.4661	 	10.561111	633.66943	 
84	91.8596	521.2657	 	278.6236	629.68256	 	11.431034	634.227	 
85	92.07143	521.46735	 	278.71008	629.5756	 	10.677596	633.7022	 
86	92.29716	521.859	 	278.43265	629.4145	 	11.559908	632.63824	 
87	92.504074	522.6772	 	279.78024	628.379	 	11.774112	633.264	 
88	92.87577	523.78955	 	278.622	629.2613	 	11.891535	633.58997	 
89	93.203255	525.3191	 	272.2668	631.1113	 	12.017402	632.79004	 
90	93.36345	527.21216	 	278.80084	629.8844	 	11.6875	634.288	 
91	93.465164	529.2541	 	272.5361	630.638	 	11.483051	632.885	 
92	93.70248	531.84503	 	278.69406	629.40564	 	11.1997385	633.26764	 
93	94.068184	534.4587	 	278.58246	629.45746	 	10.9638405	632.8092	 
94	94.309425	537.375	 	278.43832	629.1783	 	11.271144	633.0249	 
95	94.5629	540.51886	 	278.67847	629.8654	 	11.3494625	633.9973	 
96	94.80063	543.98645	 	279.84042	628.79785	 	11.587855	633.41473	 
97	95.00209	547.8431	 	278.89835	629.29944	 	11.699475	633.43176	 
98	95.23529	551.94745	 	278.45767	629.2619	 	11.435802	632.99133	 
99	95.48089	556.328	 	278.35532	629.434	 	12.282816	633.1945	 
100	95.70378	560.9706	 	279.27634	627.79565	 	11.528103	632.6335	 
101	95.98832	565.914	 	272.64764	631.2069	 	12.261558	633.40265	 
102	96.30562	571.3985	 	278.60733	629.2906	 	11.893643	633.23596	 
103	96.43436	576.97266	 	273.21292	631.4833	 	11.78822	633.3922	 
104	96.76226	583.0053	 	278.0725	629.31	 	11.511991	632.8573	 
105	96.83761	589.3568	 	278.22495	629.3509	 	11.546454	633.0697	 
106	97.19957	595.8455	 	279.63428	628.46857	 	11.480149	633.0881	 
107	97.489716	603.1831	 	278.2903	629.72046	 	11.698511	633.11786	 
108	97.60097	610.6825	 	278.97278	629.6633	 	11.474026	633.2974	 
109	97.79228	616.8932	 	273.01315	630.8136	 	11.846535	633.21783	 
110	98.12816	610.54333	 	278.39218	629.61053	 	11.364078	632.78644	 
111	98.327774	607.1	 	278.64325	629.45404	 	11.873762	633.16833	 
112	98.51869	603.98785	 	278.18124	629.3329	 	11.711031	632.91724	 
113	98.78273	601.09015	 	278.43607	629.24426	 	12.029002	632.8573	 
114	98.99905	598.5705	 	278.2042	629.5733	 	11.777647	632.7353	 
115	99.13391	596.4634	 	278.38974	629.29486	 	12.014493	633.1546	 
116	99.27159	594.65546	 	279.59445	627.95557	 	11.936194	632.8086	 
