Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
Tracks 1 to 5
1	130.11539	20.73391	 	198.60797	637.46344	 	 	 	 	 	 	 	 	 	 
2	130.46974	20.842358	 	194.98007	637.7166	 	 	 	 	 	 	 	 	 	 
3	129.6932	21.008501	 	178.85622	638.9356	 	 	 	 	 	 	 	 	 	 
4	129.97906	21.372868	 	177.3983	638.92584	 	 	 	 	 	 	 	 	 	 
5	130.45154	21.62924	 	204.34433	638.8562	 	 	 	 	 	 	 	 	 	 
6	129.3635	21.656443	 	220.7097	637.0573	 	 	 	 	 	 	 	 	 	 
7	130.04347	22.17236	 	201.11403	638.8333	 	 	 	 	 	 	 	 	 	 
8	129.95111	22.777603	 	176.17174	638.9587	 	 	 	 	 	 	 	 	 	 
9	129.96338	23.351912	 	179.22588	638.9583	 	 	 	 	 	 	 	 	 	 
10	127.7828	23.316326	 	190.4708	637.62714	 	 	 	 	 	 	 	 	 	 
11	129.87364	25.396124	 	175.2382	638.9506	 	 	 	 	 	 	 	 	 	 
12	129.25143	25.834286	 	190.09062	637.4822	 	 	 	 	 	 	 	 	 	 
13	131.09276	28.855957	 	165.61089	638.6287	 	 	 	 	 	 	 	 	 	 
14	129.35207	29.497154	 	196.72878	637.6144	 	 	 	 	 	 	 	 	 	 
15	130.36502	31.10958	 	164.57529	638.5946	 	 	 	 	 	 	 	 	 	 
16	131.67868	34.363365	 	183.84131	637.3437	 	 	 	 	 	 	 	 	 	 
17	129.8413	34.858147	 	201.9359	638.8487	 	 	 	 	 	 	 	 	 	 
18	128.82895	47.350876	 	220.42116	637.4087	 	 	 	 	 	 	 	 	 	 
19	128.7683	51.078712	 	193.76866	637.60944	 	 	 	 	 	 	 	 	 	 
20	128.69551	55.214607	 	197.31851	637.6619	 	 	 	 	 	 	 	 	 	 
21	128.46364	59.640907	 	177.73245	638.9627	 	 	 	 	 	 	 	 	 	 
22	128.44919	64.41455	 	171.37083	638.87085	 	 	 	 	 	 	 	 	 	 
23	128.2338	69.25	 	176.26321	638.9376	 	 	 	 	 	 	 	 	 	 
24	128.14859	74.712265	 	199.65514	637.2622	 	 	 	 	 	 	 	 	 	 
25	128.0059	80.27068	 	199.5	637.5017	 	 	 	 	 	 	 	 	 	 
26	127.83171	86.265854	 	177.1086	638.9452	 	 	 	 	 	 	 	 	 	 
27	127.7401	92.373764	 	204.57812	638.83075	 	 	 	 	 	 	 	 	 	 
28	127.59204	98.72139	 	192.84416	637.19965	 	 	 	 	 	 	 	 	 	 
29	127.37468	105.67903	 	197.45018	637.65656	 	 	 	 	 	 	 	 	 	 
30	127.34655	112.59718	 	202.53046	638.835	 	 	 	 	 	 	 	 	 	 
31	127.166664	119.985565	 	193.186	637.73376	 	 	 	 	 	 	 	 	 	 
32	127.098915	127.75203	 	197.61263	637.5751	 	 	 	 	 	 	 	 	 	 
33	126.97956	135.6417	 	177.78633	638.94684	 	 	 	 	 	 	 	 	 	 
34	126.62605	143.82213	 	184.48209	637.4316	 	 	 	 	 	 	 	 	 	 
35	126.49138	152.47989	 	176.43349	638.9834	 	 	 	 	 	 	 	 	 	 
36	126.44017	161.3604	 	180.42358	638.94543	 	 	 	 	 	 	 	 	 	 
37	126.37428	170.46	 	161.78294	638.3682	 	 	 	 	 	 	 	 	 	 
38	126.16766	179.84132	 	202.66321	638.8575	 	 	 	 	 	 	 	 	 	 
39	125.92121	189.59393	 	223.0723	637.01	 	 	 	 	 	 	 	 	 	 
40	125.878784	199.61516	 	198.50854	637.5017	 	 	 	 	 	 	 	 	 	 
41	125.89185	210.02979	 	196.85068	637.505	 	 	 	 	 	 	 	 	 	 
42	125.696144	220.82155	 	166.97571	638.8704	 	 	 	 	 	 	 	 	 	 
43	125.4835	231.76402	 	175.0414	638.9437	 	 	 	 	 	 	 	 	 	 
44	125.35862	242.72414	 	198.11482	637.7893	 	 	 	 	 	 	 	 	 	 
45	125.37372	254.44539	 	197.70963	637.58936	 	 	 	 	 	 	 	 	 	 
46	125.003525	266.27817	 	176.29744	638.9456	 	 	 	 	 	 	 	 	 	 
47	124.759926	278.3845	 	177.6332	638.9476	 	 	 	 	 	 	 	 	 	 
48	124.68116	290.8442	 	176.65222	638.9376	 	 	 	 	 	 	 	 	 	 
49	124.52909	303.57635	 	175.8983	638.9407	 	 	 	 	 	 	 	 	 	 
50	124.5	316.4889	 	175.42033	638.9382	 	 	 	 	 	 	 	 	 	 
51	124.289474	329.8158	 	220.45901	637.3975	 	 	 	 	 	 	 	 	 	 
52	123.962746	343.43332	 	196.4777	637.68695	 	 	 	 	 	 	 	 	 	 
