Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
1	28.816456	215.25633	 	99.784386	266.2082	 	282.0389	626.7066	 	9.233553	629.0855	 
2	28.208075	214.64597	 	99.96805	266.3252	 	281.96628	626.07477	 	9.342271	629.16876	 
3	29.016853	216.5337	 	100.06084	266.39923	 	282.49045	626.4618	 	8.848123	629.34644	 
4	27.304714	213.95792	 	99.972694	266.5019	 	281.7997	626.54156	 	9.332776	629.4231	 
5	28.311644	214.51027	 	100.15201	266.63574	 	282.30252	626.5314	 	9.118375	629.64844	 
6	27.87594	214.04887	 	100.14808	266.65192	 	282.22437	626.625	 	9.181355	629.2661	 
7	26.629496	213.35971	 	100.206894	266.7912	 	282.3717	626.5362	 	9.223906	629.45624	 
8	26.763346	213.01958	 	100.42925	267.06598	 	282.3479	626.7977	 	9.013605	629.26874	 
9	28.083334	213.76811	 	100.55597	266.99252	 	282.1888	626.42145	 	9.412752	629.5638	 
10	27.406452	213.74838	 	100.42937	267.1933	 	282.01514	626.71515	 	8.945544	628.94556	 
11	27.108997	213.45502	 	100.62053	267.46045	 	281.93903	626.25916	 	8.926574	629.4336	 
12	28.023636	213.74	 	100.66852	267.46112	 	282.16144	626.3182	 	9.109319	629.7043	 
13	26.439623	212.66603	 	100.880035	267.85126	 	282.46744	626.8518	 	8.9448395	629.60675	 
14	27.045774	213.55281	 	100.84775	267.98685	 	282.25	626.7595	 	8.977966	629.17456	 
15	27.86246	214.33171	 	101.19811	268.23962	 	282.27744	626.40247	 	8.851791	628.9267	 
16	28.014753	214.31967	 	101.1109	268.45676	 	282.50327	626.549	 	9.449206	629.23334	 
17	28.61215	214.62149	 	100.88361	268.7421	 	282.1821	626.3611	 	8.964286	629.5607	 
18	27.144518	213.35715	 	101.065056	269.25092	 	282.46814	626.2516	 	8.931507	629.43835	 
19	28.400661	214.26491	 	101.06579	269.86465	 	282.2042	626.6447	 	8.989051	629.64966	 
20	26.395622	212.62794	 	101.2603	270.55057	 	282.10605	626.45154	 	9.125	629.5417	 
21	27.557692	213.39423	 	101.314545	271.42728	 	281.99533	626.743	 	8.951612	628.8968	 
22	27.744713	213.1858	 	101.478836	272.66577	 	282.01056	626.4879	 	9.101851	629.071	 
23	29.012903	214.14516	 	101.680534	274.09647	 	282.3567	626.2975	 	8.89322	629.2051	 
