Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
1	165.18102	627.05444	 	 	 	 	 	 	 	 	 	 
2	162.3453	626.7838	 	 	 	 	 	 	 	 	 	 
3	164.4961	627.0169	 	 	 	 	 	 	 	 	 	 
4	165.40773	626.9052	 	 	 	 	 	 	 	 	 	 
5	169.10966	626.9647	 	 	 	 	 	 	 	 	 	 
6	165.21208	626.96014	 	 	 	 	 	 	 	 	 	 
7	164.81592	626.7433	 	 	 	 	 	 	 	 	 	 
8	167.25647	627.0973	 	 	 	 	 	 	 	 	 	 
9	167.5406	626.8198	 	 	 	 	 	 	 	 	 	 
10	165.86055	626.9271	 	 	 	 	 	 	 	 	 	 
11	165.39105	626.90857	 	 	 	 	 	 	 	 	 	 
12	162.92752	626.8118	 	 	 	 	 	 	 	 	 	 
13	166.81552	626.8043	 	 	 	 	 	 	 	 	 	 
14	165.04167	627.0117	 	147.60756	41.938534	 	 	 	 	 	 	 
15	166.05542	626.9234	 	152.37943	59.493763	*	 	 	 	 	 	 
16	164.45403	627.02234	 	152.6135	63.2045	*	 	 	 	 	 	 
17	165.62453	626.8522	 	152.73454	67.231346	*	 	 	 	 	 	 
18	166.59053	627.0391	 	152.98344	71.77152	*	 	 	 	 	 	 
19	163.22144	626.9249	 	153.1179	76.42795	 	 	 	 	 	 	 
20	167.02759	627.04376	 	153.33556	81.31333	 	 	 	 	 	 	 
21	168.85202	626.9563	 	153.34633	86.54009	 	 	 	 	 	 	 
22	164.35875	626.84125	 	153.43394	92.0467	 	 	 	 	 	 	 
23	163.09348	626.8802	 	153.5659	97.82273	 	 	 	 	 	 	 
24	163.70406	627.0171	 	153.81235	103.893936	 	 	 	 	 	 	 
25	162.79124	627.07214	 	153.98564	110.24163	 	 	 	 	 	 	 
26	164.31763	626.78625	 	154.07143	116.933334	 	 	 	 	 	 	 
27	166.6373	627.01685	 	154.24515	124.00728	 	 	 	 	 	 	 
28	164.81468	626.9366	 	154.44	131.27	 	 	 	 	 	 	 
