Frame,X1,Y1,Flag1
Tracks 1 to 1
1, , , 
2, , , 
3, , , 
4, , , 
5, , , 
6, , , 
7,18.36855,24.664557, 
8,18.87584,24.763662, 
9,19.495365,24.720575, 
10,20.069344,24.815693, 
11,20.75648,24.898571, 
12,21.324669,25.026873, 
13,22.069456,25.0522, 
14,22.776182,25.09206, 
15,23.57577,25.196918, 
16,24.403517,25.262878, 
17,25.338709,25.487904, 
18,26.25,25.566507, 
19,27.441687,25.778172, 
20,28.936619,25.964788, 
21,30.156878,26.174652, 
22,31.5,26.374516, 
23,32.98487,26.697428, 
24,34.351795,26.96931, 
25,35.66532,27.269287, 
26,37.04631,27.655571, 
27,38.484936,28.068867, 
28,39.7021,28.304195, 
29,41.115597,28.698067, 
30,42.45794,29.078018, 
31,43.73031,29.433245, 
32,45.20151,29.863577, 
33,46.293015,30.148125, 
34,47.640217,30.610899, 
35,48.779926,30.913965, 
36,50.046463,31.292, 
37,51.19849,31.797886, 
38,52.680897,32.34239, 
39,53.894028,32.861828, 
40,55.476246,33.67671, 
41,57.251274,34.769123, 
42,59.215954,36.18816, 
43,61.31759,37.820305, 
44,63.708893,40.170593, 
45,66.06123,43.378063, 
46,68.50925,47.628403, 
47,70.67532,52.773228, 
48,72.56854,58.74179, 
49,74.48337,65.840576, 
50,76.601715,73.99909, 
51,79.36333,83.23026, 
52,82.27944,93.584694, 
53,85.06026,105.134834, 
54,87.8671,117.83257, 
55,90.62267,131.64766, 
56,93.426895,146.50948, 
57,96.24695,162.68391, 
58,99.0321,179.82504, 
59,101.96272,198.26729, 
60,104.77318,217.86952, 
61,107.57511,238.58597, 
62,110.40099,260.59946, 
63,113.18067,283.7773, 
64,116.04291,308.1974, 
65,118.90933,333.8667, 
66,121.81716,360.63882, 
67,124.78005,388.66208, 
68,127.6303,418.12292, 
69,130.56898,448.67267, 
70,133.52171,480.54477, 
71,136.41966,513.62604, 
72,139.37897,548.0233, 
73,142.25317,583.8167, 
74,145.20293,620.7936, 
75,148.24492,659.21027, 
76,151.17776,698.76776, 
77,154.08383,739.7688, 
78,156.98264,781.9119, 
79,159.89197,825.35223, 
80,163.30913,844.756, 
81,166.32866,840.83844, 
82,169.39919,829.8535, 
83,172.48434,818.3404, 
84,175.51477,808.13464, 
85,178.61824,798.94867, 
86,181.75108,791.21576, 
87,184.74696,784.49347, 
88,187.84273,778.9688, 
89,191.00766,774.62256, 
90,194.14165,771.6816, 
91,197.19104,769.7563, 
92,200.40161,769.0808, 
93,203.58568,769.54083, 
94,206.67032,771.25525, 
95,209.76094,774.1458, 
96,212.8749,778.3595, 
97,216.00548,783.54376, 
98,219.18579,790.05914, 
99,222.35419,797.69366, 
100,225.41153,806.4996, 
101,228.65706,816.5865, 
102,231.87988,827.8364, 
103,234.92581,839.359, 
104,238.18375,842.0656, 
105,241.26108,840.3679, 
106,244.34074,837.5832, 
107,247.34592,834.89075, 
108,250.57878,833.00806, 
109,253.59364,832.5484, 
110,256.8779,833.2938, 
111,259.9214,835.3264, 
112,263.16696,838.04816, 
113,266.24475,840.4515, 
114,269.45193,840.7706, 
115,272.62778,840.3449, 
116,275.74875,839.5982, 
117,278.77716,839.4671, 
118,281.90277,840.0261, 
119,285.12552,840.63654, 
120,288.285,840.7356, 
121,291.37915,840.493, 
122,294.51028,840.4056, 
123,297.7055,840.48834, 
124,300.77612,840.764, 
125,304.05444,840.8814, 
126,307.10208,840.82086, 
127,310.2259,840.87994, 
128,313.4174,840.9325, 
129,316.65356,841.0014, 
130,319.7999,841.19965, 
131,322.93704,841.29846, 
132,326.1002,841.23944, 
133,329.2816,841.4247, 
134,332.42648,841.414, 
135,335.59723,841.5281, 
136,338.9126,841.54565, 
137,341.99277,841.66974, 
138,345.25397,841.6933, 
139,348.49173,841.7827, 
140,351.67062,841.8185, 
141,354.85062,841.85547, 
142,357.91898,841.8893, 
143,361.37054,841.97485, 
144,364.26642,842.1207, 
145,366.5645,842.1156, 
146,368.42395,842.058, 
147,370.21167,842.00385, 
148,371.92828,842.1723, 
149,373.49066,842.3233, 
150,375.05563,842.4847, 
151,376.52652,842.7626, 
152, , , 
153, , , 
154, , , 
155, , , 
156, , , 
157, , , 
158, , , 
159, , , 
160, , , 
161, , , 
162, , , 
163, , , 
164, , , 
165, , , 
166, , , 
167, , , 
168, , , 
169, , , 
