Frame	X1	Y1	Flag1
Tracks 1 to 1
1	150.42844	207.83849	 
2	150.61494	208.05173	 
3	151.10078	207.87573	 
4	150.69386	207.73033	 
5	151.18361	207.69586	 
6	151.38889	208.19731	 
7	151.56012	208.44789	 
8	151.42456	208.38394	 
9	151.33107	208.70776	 
10	151.50801	209.20741	 
11	151.49207	209.49802	 
12	151.17885	209.73846	 
13	150.95027	209.92676	 
14	151.14449	211.03232	 
15	151.02443	212.0733	 
16	151.22305	213.40892	 
17	151.11552	214.53175	 
18	151.72482	216.46942	 
19	151.663	218.08743	 
20	151.7913	220.01448	 
21	152.11238	227.63303	 
22	152.16287	231.18109	 
23	152.23543	234.92152	 
24	152.22287	238.89954	 
25	152.22093	243.2465	 
26	152.30669	247.78639	 
27	152.40565	252.55661	 
28	152.28043	257.87708	 
29	152.37378	263.267	 
30	152.52196	269.1512	 
31	152.47324	275.2056	 
32	152.46483	281.57034	 
33	152.6325	288.31	 
34	152.50255	295.30408	 
35	152.51813	302.42487	 
36	152.70735	310.04855	 
37	152.64986	317.91415	 
38	152.54787	326.2633	 
39	152.59358	334.6123	 
40	152.75684	343.41257	 
41	152.66112	352.4389	 
42	152.68591	361.7338	 
43	152.7542	371.46927	 
44	152.70229	381.3889	 
45	152.76648	391.47134	 
46	152.71283	402.0102	 
47	152.77545	412.84732	 
48	152.80746	423.9418	 
49	152.80183	435.41464	 
50	152.66924	447.0723	 
51	152.74765	458.8417	 
52	152.59435	471.19183	 
53	152.70198	483.81787	 
54	152.79411	496.49347	 
55	152.79831	509.58813	 
56	152.79431	523.0719	 
57	152.76689	536.7432	 
58	152.82542	550.5271	 
59	152.67073	564.82404	 
60	152.68532	579.3147	 
61	152.7371	594.02576	 
62	152.77856	608.7986	 
63	152.74944	602.9422	 
64	152.88257	594.7591	 
65	152.8584	587.3747	 
66	152.90147	580.4458	 
67	152.99506	573.76483	 
68	153.01843	567.1339	 
69	153.03809	560.96436	 
70	153.2284	555.1667	 
71	153.20361	549.65424	 
72	153.05875	544.2698	 
73	153.08879	539.6659	 
74	153.18408	534.918	 
75	153.15196	530.75244	 
76	153.18765	526.4208	 
77	153.24588	522.2859	 
78	153.38028	518.75824	 
79	153.42201	515.6101	 
80	153.52055	512.6598	 
81	153.50458	510.1865	 
82	153.4726	508.04565	 
83	153.40762	506.00348	 
84	153.49547	504.1584	 
85	153.5113	502.8371	 
86	153.53023	501.65115	 
87	153.43303	500.59375	 
88	153.59297	500.212	 
89	153.53473	499.79398	 
90	153.67003	499.5604	 
91	153.75842	499.99664	 
92	153.74887	500.63348	 
93	153.65753	501.54794	 
94	153.51605	502.8555	 
95	153.5778	504.4977	 
96	153.70589	506.38687	 
97	153.77313	508.46613	 
98	153.72832	510.60046	 
99	153.89815	513.4051	 
100	153.70755	516.1981	 
101	153.79561	519.43304	 
102	153.76117	522.9588	 
103	153.73558	526.6827	 
104	153.66588	530.93365	 
105	153.89519	535.27106	 
106	153.7435	539.99646	 
107	153.87227	545.2591	 
108	153.73529	550.6887	 
109	153.77074	556.2634	 
110	153.81111	562.0654	 
111	153.74644	568.24884	 
112	153.80273	574.75555	 
113	153.76265	581.61566	 
114	153.68845	588.64575	 
115	153.67326	595.86633	 
116	153.66216	604.1374	 
117	153.73985	611.1984	 
118	153.9071	605.8716	 
119	153.78172	601.371	 
120	153.98558	597.0565	 
121	153.95146	593.5767	 
122	153.95474	590.3565	 
123	153.91124	587.2056	 
124	154.03275	584.3603	 
125	154.23555	581.8289	 
126	154.22488	579.58514	 
127	154.20264	577.7841	 
128	154.23305	576.2221	 
129	154.2227	574.8581	 
130	154.40456	573.60846	 
131	154.2744	572.72345	 
132	154.42122	572.30743	 
133	154.47609	572.23914	 
134	154.31209	572.44385	 
135	154.43044	573.1609	 
136	154.34683	573.9354	 
137	154.47583	575.23627	 
138	154.46924	576.4934	 
139	154.65965	577.9235	 
140	154.7035	579.84357	 
141	154.58496	581.93353	 
142	154.63129	584.30743	 
143	154.64667	587.1178	 
144	154.52402	590.08514	 
145	154.72173	593.4889	 
146	154.75992	597.43835	 
147	154.7584	601.7542	 
148	154.63008	606.60364	 
149	154.72513	612.4651	 
150	154.64519	610.89746	 
151	154.99396	607.00604	 
152	155.08266	604.4758	 
153	155.10202	602.40704	 
154	155.313	600.54877	 
155	155.4165	599.1456	 
156	155.40167	597.94977	 
157	155.62784	597.1103	 
158	155.8431	596.477	 
159	155.89789	596.4979	 
160	156.0179	596.67896	 
161	156.08125	597.2438	 
162	156.10574	598.1078	 
163	156.25565	599.1612	 
164	156.38821	600.5569	 
165	156.58812	602.0492	 
166	156.68219	603.6761	 
167	156.69763	606.0672	 
168	156.8542	608.5822	 
169	156.90266	612.901	 
170	157.07513	612.20123	 
171	157.0835	609.31573	 
172	157.29807	608.1854	 
173	157.62134	607.4961	 
174	157.55653	607.23486	 
175	157.58806	607.0519	 
176	157.71568	607.37256	 
177	157.88068	607.6992	 
178	158.16927	608.15955	 
179	158.2628	609.54175	 
180	158.52242	612.14484	 
181	158.33618	613.0324	 
182	158.52551	612.4609	 
183	158.62755	611.9507	 
184	158.70175	611.6456	 
185	158.87285	611.73193	 
186	158.99658	612.28326	 
187	159.02632	612.8243	 
188	159.02461	612.96857	 
189	159.06218	612.80664	 
190	159.2644	612.7831	 
191	159.52856	613.0849	 
192	159.5326	612.93054	 
193	159.57376	612.65607	 
194	159.64626	612.66156	 
195	159.71089	612.70746	 
196	159.7415	612.7993	 
197	159.87965	612.57794	 
198	159.95193	612.6079	 
199	159.91554	612.8767	 
200	160.01093	612.81934	 
201	159.98537	612.84595	 
202	159.9527	613.0625	 
203	159.94167	613.07166	 
204	159.99658	612.93854	 
205	160.0069	612.89484	 
206	160.10034	612.70746	 
207	160.2022	612.588	 
208	160.09628	612.647	 
209	160.11824	612.4865	 
210	160.09044	612.5836	 
211	160.07555	612.76825	 
212	160.0512	612.5836	 
213	160.09727	612.8754	 
214	159.98148	612.8081	 
215	159.92615	612.97705	 
216	159.89389	612.899	 
217	159.85751	612.9128	 
218	159.81615	612.69586	 
219	159.7357	612.5225	 
220	159.6414	612.5937	 
221	159.58586	612.5202	 
222	159.4812	612.4607	 
223	159.39131	612.43475	 
224	159.25043	612.5069	 
225	159.13007	612.50336	 
226	159.04807	612.53204	 
227	158.8769	612.5628	 
228	158.81787	612.7251	 
229	158.58061	612.5292	 
230	158.48257	612.669	 
231	158.48138	612.6015	 
232	158.39171	612.3646	 
233	158.18791	612.448	 
234	158.03185	612.247	 
235	157.95515	612.50336	 
236	157.8	612.2052	 
237	157.71576	612.2997	 
238	157.62286	612.4352	 
239	157.47952	612.2287	 
240	157.45052	612.3566	 
241	157.27666	612.42896	 
242	157.13776	612.59015	 
243	157.16553	612.27014	 
244	156.89587	612.3434	 
245	156.96977	612.2081	 
246	156.92833	612.0941	 
247	156.84381	612.04626	 
248	156.69304	612.0061	 
249	156.61632	611.96704	 
250	156.52942	612.0173	 
251	156.5565	611.9178	 
252	156.41187	612.18475	 
253	156.42638	612.06165	 
254	156.28809	612.22504	 
255	156.35788	612.2277	 
256	156.17014	612.3368	 
257	156.11592	612.0467	 
258	156.12906	611.9889	 
259	156.02605	611.94446	 
260	155.98299	611.8707	 
261	155.94691	611.6969	 
262	155.85103	611.6815	 
263	155.79843	611.74255	 
264	155.70761	611.8097	 
265	155.67294	611.8305	 
266	155.64261	611.85223	 
267	155.6209	611.8489	 
268	155.48778	612.02356	 
269	155.40738	612.0506	 
270	155.42014	611.9097	 
271	155.31534	611.6429	 
272	155.30763	611.6941	 
273	155.19138	611.6914	 
274	155.18015	611.5826	 
275	155.02356	611.8717	 
276	155.03793	611.62415	 
277	154.9132	611.59894	 
278	154.91913	611.5835	 
279	154.76004	611.7356	 
280	154.62173	611.79913	 
281	154.58727	611.69025	 
282	154.4376	611.91077	 
283	154.3739	611.6909	 
284	154.18912	611.53973	 
285	154.0193	611.5877	 
286	154.0494	611.5537	 
287	153.8166	611.4239	 
288	153.7569	611.42584	 
289	153.61073	611.47925	 
290	153.5173	611.4152	 
291	153.37762	611.72375	 
292	153.35077	611.79333	 
293	153.28351	611.7543	 
294	153.10893	611.66785	 
295	153.08966	611.8052	 
296	152.9818	611.6369	 
297	152.87088	611.6092	 
298	152.80931	611.41565	 
299	152.70833	611.44446	 
300	152.6406	611.4508	 
301	152.59074	611.3255	 
302	152.46886	611.4637	 
303	152.37206	611.4882	 
304	152.37521	611.46533	 
305	152.34348	611.3348	 
306	152.36063	611.3972	 
307	152.27663	611.58417	 
308	152.13385	611.4309	 
309	152.05263	611.39124	 
310	152.09583	611.5035	 
311	151.96794	611.34924	 
312	151.93379	611.2108	 
313	151.8584	611.0472	 
314	151.94348	611.1661	 
315	151.86014	611.0769	 
316	151.77032	611.13605	 
317	151.83392	611.32074	 
318	151.80405	611.20123	 
319	151.77574	611.3255	 
320	151.77875	611.2317	 
321	151.62698	611.1808	 
322	151.71913	611.147	 
323	151.69333	611.1819	 
324	151.72105	610.9667	 
325	151.65771	611.11523	 
326	151.71754	610.95264	 

Track 	Length	Distance traveled	Nr of Frames
1	772.9522	403.1162	326
