Frame	X1	Y1	Flag1
Tracks 1 to 1
1	129.21248	27.112862	 
2	129.17557	27.199745	 
3	129.06764	27.19153	 
4	127.96438	26.91161	 
5	128.8488	27.1399	 
6	128.68765	27.013853	 
7	129.41208	27.317585	 
8	130.46758	27.441893	 
9	128.91818	27.122078	 
10	128.86093	27.462484	 
11	128.19261	27.248379	 
12	128.65276	27.41656	 
13	128.97777	27.407242	 
14	128.13008	27.35908	 
15	127.84524	27.157408	 
16	128.65816	27.447704	 
17	130.3011	27.350828	 
18	128.05394	27.147367	 
19	128.76459	27.357328	 
20	127.70366	26.924282	 
21	128.56258	27.266623	 
22	129.8981	27.387228	 
23	128.3038	27.13924	 
24	128.44765	27.634817	 
25	129.79752	27.599174	 
26	128.09566	27.40944	 
27	127.84987	27.660574	 
28	128.04533	27.538315	 
29	127.4238	27.584225	 
30	127.57301	27.808996	 
31	127.77646	28.068783	 
32	129.3935	28.149408	 
33	129.99513	28.309458	 
34	128.50653	28.455614	 
35	128.23955	28.75776	 
36	127.68255	29.322819	 
37	128.83636	30.035065	 
38	129.53172	30.970812	 
39	129.67705	31.97619	 
40	129.51625	33.4775	 
41	129.31448	34.611816	 
42	128.97656	36.489582	 
43	132.83838	46.333332	 
44	129.24445	40.18642	 
45	134.3691	57.248928	*
46	134.24722	61.13858	*
47	134.08109	65.29279	*
48	134.0302	69.76622	 
49	133.9519	74.48434	 
50	133.87097	79.4447	 
51	133.80698	84.79302	 
52	133.63658	90.34954	 
53	133.50719	96.157074	 
54	133.20024	102.27458	 
55	133.26675	108.85732	 
56	133.14949	115.57217	 
57	132.99239	122.56091	 
58	132.92819	129.95432	 
59	132.82973	137.55676	 
60	132.60243	145.57817	 
61	132.50272	153.94986	 
62	132.35054	162.38858	 
63	132.38397	171.20995	 
64	132.07143	180.45143	 
65	132.02312	189.92775	 
66	131.91087	199.49094	 
67	131.8512	209.58333	 
68	131.71101	219.99847	 
69	131.4306	230.73344	 
70	131.40373	241.5	 
71	131.14102	252.73077	 
72	131.17657	264.20627	 
73	131.12962	276.02188	 
74	130.87874	288.21762	 
75	130.61644	300.51028	 
76	130.47543	313.21228	 
77	130.36957	326.31158	 
78	130.41304	339.67755	 
79	130.01515	353.14774	 
80	130.08868	367.12265	 
81	129.96469	381.05017	 
82	129.78854	395.59882	 
83	129.74498	410.33936	 
84	129.91202	425.3927	 
85	129.37448	440.67154	 
86	129.36441	456.0678	 
87	129.32701	471.85864	 
88	129.03912	488.2	 
89	128.96053	504.54825	 
90	128.69556	521.11334	 
91	128.56511	538.0628	 
92	128.39201	555.28876	 
93	128.38942	572.7789	 
94	128.4155	590.4765	 
95	128.19026	602.22125	 
96	127.895226	593.2878	 
97	127.62534	584.7534	 
98	127.37088	576.28296	 
99	126.810814	568.5135	 
100	126.5	560.66754	 
101	126.24332	553.115	 
102	126.05703	545.9005	 
103	125.69841	539.08466	 
104	125.427086	532.65625	 
105	125.03886	526.34973	 
106	124.646904	520.45874	 
107	124.19768	515.0168	 
108	123.86776	509.4194	 
109	123.5201	504.2211	 
110	123.41832	499.08664	 
111	123.141975	494.38147	 
112	122.85714	490.25122	 
113	122.33538	486.25922	 
114	122.13171	483.03903	 
115	121.65422	479.65903	 
116	121.28519	476.66544	 
117	121.066986	473.8756	 
118	120.7114	471.19595	 
119	120.42978	469.1271	 
120	119.98921	466.9772	 
121	119.71191	465.31668	 
122	119.24272	464.02426	 
123	118.96683	462.7583	 
124	118.67102	461.96555	 
125	118.36571	461.5887	 
126	118.11793	461.52124	 
127	117.78236	461.83176	 
128	117.118706	462.488	 
129	116.78434	463.11688	 
130	116.62919	464.2512	 
131	116.36298	465.34857	 
132	115.86298	466.9207	 
133	115.606636	468.78436	 
134	115.20192	470.88702	 
135	114.81127	473.32843	 
136	114.49758	475.8285	 
137	114.05529	479.1178	 
138	113.90723	482.42288	 
139	113.50494	486.15433	 
140	113.11139	490.349	 
141	112.86207	494.70935	 
142	112.35037	499.25812	 
143	112.052826	503.91278	 
144	111.68844	508.97235	 
145	111.45202	514.3813	 
146	111.10925	520.063	 
147	110.69743	526.0077	 
148	110.37273	532.32336	 
149	110.02941	538.615	 
150	109.63989	545.4482	 
151	109.34777	552.4921	 
152	109.031166	559.99054	 
153	108.57438	567.8113	 
154	108.397575	576.0984	 
155	107.931694	584.30054	 
156	107.53916	592.78723	 
157	107.30585	603.1555	 
158	107.00108	601.7246	 
159	106.58018	597.10803	 
160	106.13466	592.82086	 
161	105.87123	589.01044	 
162	105.49087	585.71	 
163	104.99172	582.5496	 
164	104.7133	579.6147	 
165	104.53197	577.31964	 
166	104.08469	575.20764	 
167	103.61061	573.658	 
168	103.302246	572.1427	 
169	102.91109	570.89954	 
170	102.43394	569.75055	 
171	102.06036	568.9191	 
172	101.910835	568.49097	 
173	101.60245	568.05676	 
174	101.23424	568.1329	 
175	100.80159	568.60657	 
176	100.41629	569.3439	 
177	100.00679	570.4796	 
178	99.58486	571.76373	 
179	99.34354	573.53174	 
180	98.84467	575.6383	 
181	98.53603	577.8761	 
182	98.06854	580.36743	 
183	97.795044	583.1622	 
184	97.470184	585.83026	 
185	97.20548	589.22833	 
186	96.77517	592.849	 
187	96.37905	597.01404	 
188	95.97561	602.3943	 
189	95.69963	605.463	 
190	95.28261	603.76465	 
191	95.0	601.3171	 
192	94.6446	600.1558	 
193	94.31367	599.18115	 
194	93.9125	598.51874	 
195	93.55726	598.15234	 
196	93.26907	598.00104	 
197	92.95248	598.0971	 
198	92.60162	598.38617	 
199	92.24696	599.25305	 
