Frame,X1,Y1,Flag1,X2,Y2,Flag2
Tracks,1,to,2,,,
1,74.87753,218.40056,,,,
2,75.182396,218.70871,,,,
3,74.833336,218.61957,,,,
4,74.878426,218.69379,,,,
5,74.587036,218.8,,,,
6,74.57804,218.89928,,,,
7,74.42182,218.96,,,,
8,74.50741,219.19073,,,,
9,74.53636,219.2709,,,,
10,74.64882,219.56897,,,,
11,75.03247,219.88034,,,,
12,74.621155,219.85985,,,,
13,74.7011,220.07196,,,,
14,74.16786,219.95062,,,,
15,73.928055,220.0847,,,,
16,74.1241,220.29857,,,,
17,73.93978,220.5073,,,,
18,73.93069,220.51848,,,,
19,73.60036,220.5914,,,,
20,73.76344,220.69534,,,,
21,73.823586,220.95886,,,,
22,74.36289,221.1947,,,,
23,73.867386,221.14157,,,,
24,73.45105,221.32518,,,,
25,73.79078,221.47517,,,,
26,73.62743,221.55133,,,,
27,73.83877,221.92572,,,,
28,73.44276,221.79875,,,,
29,73.16549,221.75352,,,,
30,72.820076,221.83997,,,,
31,73.45053,222.106,,,,
32,72.836876,221.95567,,,,
33,72.63322,222.04175,,,,
34,72.25,221.84247,,,,
35,72.52726,222.10988,,,,
36,72.0507,222.0979,,,,
37,72.26842,222.31229,,,,
38,72.5378,222.51031,,,,
39,71.929825,222.56316,,,,
40,72.13185,222.63185,,,,
41,72.041664,222.60417,,,,
42,71.2582,222.6278,,,,
43,71.527214,222.66327,,,,
44,71.39004,222.98625,,,,
45,71.22414,222.96799,,,,
46,71.17438,223.21736,,,,
47,70.73461,223.25374,,,,
48,71.11246,223.89966,,,,
49,70.51672,223.70235,,,,
50,70.57617,223.9927,,,,
51,70.17869,223.99016,,,,
52,70.133385,224.15303,,,,
53,69.91451,224.37419,,,,
54,69.9968,224.46486,,,,
55,69.39141,224.59563,,,,
56,69.72059,224.63072,,,,
57,69.569244,224.59018,,,,
58,69.51631,224.85237,,,,
59,69.67496,224.7504,,,,
60,69.8434,224.76868,,,,
61,69.57472,224.77345,,,,
62,69.1864,224.7512,,,,
63,70.37561,225.40016,,,,
64,69.75767,224.78835,,,,
65,69.42997,224.95929,,,,
66,70.36624,225.00319,,,,
67,69.93016,224.93333,,,,
68,69.76266,225.03639,,,,
69,69.94356,224.95787,,,,
70,69.5859,224.96515,,,,
71,69.255554,224.84126,,,,
72,69.940994,224.95963,,,,
73,69.817184,224.90312,,,,
74,69.8184,225.0984,,,,
75,70.24582,225.40302,,,,
76,69.87898,225.21974,,,,
77,70.55763,225.22586,,,,
78,70.39079,225.26599,,,,
79,70.03933,225.28651,,,,
80,70.08758,225.27707,,,,
81,70.15831,225.22101,,,,
82,70.55928,225.37831,,,,
83,70.32236,225.22128,,,,
84,70.01923,225.40384,,,,
85,70.52804,225.5483,,,,
86,70.815384,225.62308,,,,
87,70.79096,225.58116,,,,
88,70.825226,225.62766,,,,
89,70.65969,225.74806,,,,
90,70.53686,225.66507,,,,
91,70.75,225.69255,,,,
92,70.94357,225.84639,,,,
93,70.70096,225.8158,,,,
94,71.14577,225.7837,,,,
95,70.8271,225.60435,,,,
96,71.20776,225.61264,,,,
97,71.1,225.55272,,,,
98,70.956924,225.46924,,,,
99,71.07473,225.44453,,,,
100,71.29522,225.3849,,,,
101,71.217064,225.27994,,,,
102,71.572945,225.32066,,,,
103,71.90031,225.38408,,,,
104,71.514015,225.32243,,,,
105,71.82972,225.32198,,,,
106,72.16052,225.52458,,,,
107,71.8558,225.4185,,,,
108,72.041664,225.40587,,,,
109,71.76687,225.30061,,,,
110,72.21582,225.48924,,,,
111,72.47685,225.77623,,,,
112,72.27523,225.7263,,,,
113,71.98372,225.6845,,,,
114,72.15356,225.65129,,,,
115,72.04559,225.85411,,,,
116,72.13817,225.89542,,,,
117,72.09545,225.78787,,,,
118,72.24461,225.98154,,,,
119,72.29908,226.10123,,,,
120,72.20615,226.02924,,,,
121,72.44675,226.08136,,,,
122,72.67463,226.39851,,,,
123,72.368065,226.15218,,,,
124,72.29377,226.29228,,,,
125,72.6045,226.36792,,,,
126,72.49854,226.41133,,,,
127,72.25288,226.25,,,,
128,72.299706,226.57658,,,,
129,72.09222,226.43948,,,,
130,72.281975,226.41714,,,,
131,72.129845,226.52438,,,,
132,72.214485,226.52557,,,,
133,71.93631,226.67131,,,,
134,72.26801,226.82565,,,,
135,72.024895,226.79445,,,,
136,72.05899,226.92276,,,,
137,71.88156,227.00354,,,,
138,72.06863,227.32913,,,,
139,72.24167,227.54306,,,,
140,72.088646,227.63712,,,,
141,71.99931,227.77435,,,,
142,71.919044,228.19116,,,,
143,71.95946,228.35947,,,,
144,72.29256,229.01596,,,,
145,72.57172,229.73373,,,,
146,72.34923,230.31702,,,,
147,72.79634,231.40416,,,,
148,73.02233,232.58437,,,,
149,73.10048,233.67105,,,,
150,73.36277,235.22673,,,,
151,80.08837,250.12791,*,,,
152,80.298615,253.60648,*,,,
153,80.289474,257.28946,*,,,
154,80.34988,261.2942,*,,,
155,80.46897,265.53104,*,,,
156,80.38264,269.9939,,,,
157,80.41219,274.81464,,,,
158,80.388885,279.82098,,,,
159,80.617645,285.27695,,,,
160,80.50754,290.92212,,,,
161,80.64616,296.89487,,,,
162,80.660805,303.34924,,,,
163,80.68653,309.82382,,,,
164,80.66449,316.5757,,,,
165,80.758484,323.7846,,,,
166,80.78912,331.08887,,,,
167,80.78494,338.9758,,,,
168,80.847824,346.89944,,,,
169,80.93869,355.23843,,,,
170,80.943504,363.94632,,,,
171,81.03714,372.72,,,,
172,81.1533,382.1447,,,,
173,81.114494,391.529,,,,
174,81.161674,401.31735,,,,
175,81.10182,411.40274,,,,
176,81.225,421.80313,,,,
177,81.43104,432.56897,,,,
178,81.32407,443.3395,,,,
179,81.484024,454.84186,,,,
180,81.50649,466.16882,,,,
181,81.35382,477.98172,,,,
182,81.566666,490.14334,,,,
183,81.77853,502.32886,,,,
184,81.62543,515.11694,,,,
185,81.62245,528.034,,,,
186,81.81119,541.2273,,,,
187,81.751724,554.7621,,,,
188,81.82168,568.4965,,,,
189,81.836914,582.4462,,,,
190,82.01536,596.94025,,,,
191,82.08733,603.44104,,,,
192,81.81514,595.21466,,,,
193,81.706985,588.2606,,,,
194,81.497475,581.3308,,,,
195,81.33871,574.8077,,,,
196,81.39646,568.3737,,,,
197,81.061714,562.3514,,,,
198,80.98522,556.75616,,,,
199,80.870735,551.51953,,,,
200,80.674446,546.41644,,,,
201,80.55012,541.7721,,,,
202,80.463684,537.37164,,,,
203,80.226395,532.97943,,,,
204,80.10426,529.09,,,,
205,79.94496,525.38525,,,,
206,79.78302,521.88916,,,,
207,79.718094,518.7088,,,,
208,79.61475,515.9777,,,,
209,79.43272,513.54175,,,,
210,79.25406,511.54642,,,,
211,79.03133,509.84802,,,,
212,78.92202,508.35092,,,,
213,78.80093,507.00232,,,,
214,78.76207,506.07013,,,,
215,78.57425,505.3144,,,,
216,78.31007,504.80893,,,,
217,78.202515,504.59152,,,,
218,78.17448,504.70844,,,,
219,77.90281,505.10187,,,,
220,77.96453,505.78375,,,,
221,77.75714,506.84525,,,,
222,77.60648,508.38196,,,,
223,77.288734,509.92722,,,,
224,77.200935,512.1682,,,,
225,77.048615,514.3958,,,,
226,77.04673,516.95795,,,,
227,76.964455,519.5308,,,,
228,76.71583,522.76855,,,,
229,76.57674,525.9628,,,,
230,76.63064,529.52136,,,,
231,76.40602,533.5313,,,,
232,76.2578,537.6151,,,,
233,76.01574,542.23364,,,,
234,75.93446,546.92474,,,,
235,75.871635,552.2946,,,,
236,75.689186,557.79486,,,,
237,75.427315,563.5301,,,,
238,75.30149,569.5918,,,,
239,75.2925,575.7625,,,,
240,75.31566,582.36615,,,,
241,75.109695,589.20917,,,,
242,74.96366,596.3822,,,,
243,74.80755,605.3151,,,,
244,74.74738,602.3029,,,,
245,74.44541,598.0655,,,,
246,74.45056,594.3764,,,,
247,74.32774,591.3367,,,,
248,74.12156,588.5206,,,,
249,73.97855,586.0214,,,,
250,73.8296,583.6569,,,,
251,73.51588,581.8628,,,,
252,73.5,580.32886,,,,
253,73.40433,578.9487,,,,
254,73.26457,577.8946,,,,
255,73.098656,577.03815,,,,
256,72.92729,576.5179,,,,
257,72.872765,576.33704,,,,
258,72.5975,576.31177,,,,
259,72.6009,576.31616,,,,
260,72.60155,576.9746,,,,
261,72.41537,577.97217,,,,
262,72.24833,579.32184,,,,
263,72.10268,581.2031,,,,
264,72.05982,583.20654,,,,
265,71.96861,585.29596,,,,
266,71.87194,587.60693,,,,
267,71.72748,590.232,,,,
268,71.60421,593.29376,,,,
269,71.40969,596.6079,,,,
270,71.1589,600.3877,,,,
271,71.13469,605.3505,,,,
272,71.11808,604.6255,,,,
273,70.94514,602.06525,,,,
274,70.879456,600.51465,,,,
275,70.78184,599.8194,,,,
276,70.58996,599.24475,,,,
277,70.51039,598.8202,,,,
278,70.4392,598.8585,,,,
279,70.390755,598.8109,,,,
280,70.27273,599.44006,,,,
281,70.13825,600.1175,,,,
282,70.02869,601.125,,,,
283,69.91887,603.383,,,,
284,69.752266,605.1788,,,,
285,69.65985,605.1543,,,,
286,69.6469,604.53577,,,,
287,69.675804,604.3034,,,,
288,69.43409,604.3211,,,,
289,69.228935,604.96155,,,,
290,69.18868,605.53394,,,,
291,69.083336,605.6148,,,,
292,69.012146,605.2794,,,,
293,69.001854,605.27594,,,,
294,68.84935,605.2338,,,,
295,68.78991,605.111,,,,
296,68.74678,605.0525,,,,
297,68.62022,605.1102,,,,
298,68.4783,605.0588,,,,
299,68.62454,604.9634,,,,
300,68.406075,604.95856,,,,
301,68.33272,605.04047,,,,
302,68.26611,605.20715,,,,
303,68.18148,605.4574,,,,
304,68.01287,605.55884,,,,
305,67.982635,605.5823,,,,
306,67.99162,605.1834,,,,
307,67.91712,605.2195,,,,
308,67.83271,605.09106,,,,
309,67.692726,605.0473,,,,
310,67.65867,604.82104,,,,
311,67.425316,604.88434,,,,
312,67.43784,604.8382,,,,
313,67.425316,604.84607,,,,
314,67.28205,605.0293,,,,
315,67.26727,605.1309,,,,
316,67.04376,605.1946,,,,
317,67,605.29553,,,,
318,66.84888,605.23883,,,,
319,66.88692,605.2215,,,,
320,66.83087,605.0379,,,,
321,66.79779,604.95404,,,,
322,66.70073,604.80475,,,,
323,66.63661,604.87524,,,,
324,66.5367,604.77704,,,,
325,66.48897,604.8217,,,,
326,66.545784,604.8333,,,,
327,66.35872,605.0266,,,,
328,66.3734,604.97156,,,,
329,66.20459,605.10736,,,,
330,66.1476,605.34686,,,,
331,66.15867,605.1808,,,,
332,66.081184,605.0572,,,,
333,66.04898,605.00275,,,,
334,65.982506,604.92175,,,,
335,66.001816,604.7127,,,,
336,65.75,604.63806,,,,
337,65.799255,604.65985,,,,
338,65.70626,604.59576,,,,
339,65.74584,604.72363,,,,
340,65.70265,604.6477,,,,
341,65.5452,604.694,,,,
342,65.586555,604.9291,,,,
343,65.4652,605.0293,,,,
344,65.47615,605.1275,,,,
345,65.33303,604.9624,,,,
346,65.3515,604.8741,,,,
347,65.38909,604.76,,,,
348,65.227776,604.52405,,,,
349,65.313995,604.55524,,,,
350,65.23849,604.39685,,,,
351,65.245384,604.37085,,,,
352,65.119484,604.4651,,,,
353,65.10555,604.5296,,,,
354,65.12182,604.6673,,,,
355,65.02,604.7073,,,,
356,64.91144,604.8856,,,,
357,64.93094,604.8333,,,,
358,64.85926,604.8333,,,,
359,64.88122,604.78546,,,,
360,64.81676,604.7523,,,,
361,64.91865,604.5165,,,,
362,64.74497,604.4433,,,,
363,64.771736,604.3333,,,,
364,64.75865,604.24133,,,,
365,64.71755,604.4214,,,,
366,64.69963,604.489,,,,
367,64.56679,604.73193,,,,
368,64.55893,604.7486,,,,
369,64.60166,604.81793,,,,
370,64.551285,604.9487,,,,
371,64.550186,604.70074,,,,
372,64.55667,604.6042,,,,
373,64.470695,604.5073,,,,
374,64.466606,604.36273,,,,
Track,Length,Distance,traveled,Nr,of,Frames
1,333.2128,10.458531,374,,,
2,639.48706,354.5791,224,,,
