Frame	X1	Y1	Flag1	X2	Y2	Flag2
Tracks 1 to 2
1	191.17787	30.30207	 	 	 	 
2	191.39351	30.342857	 	 	 	 
3	191.25098	30.2588	 	 	 	 
4	191.5379	30.337908	 	 	 	 
5	191.95921	30.639473	 	 	 	 
6	191.68954	30.535294	 	 	 	 
7	191.69035	30.639505	 	 	 	 
8	192.03342	30.983618	 	 	 	 
9	192.15831	31.08707	 	 	 	 
10	192.44133	31.34876	 	 	 	 
11	193.52264	32.258987	 	 	 	 
12	192.41339	31.654856	 	 	 	 
13	192.59505	32.10026	 	 	 	 
14	193.00839	32.832905	 	 	 	 
15	193.22137	33.507633	 	 	 	 
16	193.43283	34.410446	 	 	 	 
17	194.00737	35.58845	 	 	 	 
18	194.25476	36.513096	 	 	 	 
19	194.66916	37.880898	 	 	 	 
20	194.89206	39.25029	 	 	 	 
21	198.58	54.434	*	189.2855	21.505796	 
22	198.82304	57.746914	*	189.85464	21.139534	 
23	198.90495	61.417355	*	189.79276	20.633333	 
24	199.0304	65.445496	*	189.97159	20.076704	 
25	199.05368	69.75474	*	190.7	19.930986	 
26	199.2799	74.23505	 	190.43593	19.519499	 
27	199.26457	79.27106	 	191.25287	19.29023	 
28	199.51529	84.36681	 	191.56534	19.213068	 
29	199.5	89.840706	 	191.0073	18.774052	 
30	199.65884	95.5962	 	191.69943	18.924158	 
31	199.86385	101.63393	 	191.29776	18.786516	 
32	199.90091	107.925964	 	191.64488	18.758522	 
33	200.16515	114.689064	 	191.2337	18.729462	 
34	200.28241	121.53935	 	191.11581	18.782486	 
35	200.3894	128.78941	 	191.539	18.993036	 
36	200.5146	136.27615	 	191.18857	18.897142	 
37	200.67604	144.16504	 	191.02602	19.239885	 
38	200.71663	152.2204	 	190.7819	19.262611	 
39	200.8425	160.5375	 	190.97041	19.60355	 
40	200.9197	169.35751	 	190.95534	19.776657	 
41	201.08311	178.32321	 	190.04626	19.69403	 
42	201.15263	187.53947	 	190.20255	19.941927	 
43	201.27869	197.19125	 	189.56451	19.875366	 
44	201.33018	207.10107	 	190.02873	20.143679	 
45	201.41292	217.22191	 	190.09117	20.285294	 
46	201.45726	227.68803	 	190.15074	20.243284	 
47	201.79344	238.51994	 	189.68106	20.079388	 
48	201.73442	249.56528	 	189.71512	20.061047	 
49	201.88554	260.96686	 	190.01312	20.039358	 
50	201.88461	272.7	 	189.42982	19.777779	 
51	202.1125	284.51874	 	189.54082	19.578716	 
52	202.32043	296.6641	 	189.82948	19.390173	 
53	202.21565	309.13898	 	190.25801	19.298834	 
54	202.48701	322.0552	 	190.26205	19.271084	 
55	202.4281	334.98038	 	190.13957	19.109756	 
56	202.59798	348.56418	 	190.0	18.777143	 
57	202.7483	362.20068	 	190.20207	18.718288	 
58	202.76936	376.19025	 	189.98726	18.61898	 
59	202.63669	390.30936	 	190.16667	18.564327	 
60	202.93109	404.8887	 	190.26666	18.561111	 
61	202.88112	419.58392	 	190.76462	18.753483	 
62	202.93431	434.79562	 	190.17046	18.633522	 
63	202.91544	450.0147	 	190.22981	18.516712	 
64	203.1353	465.6059	 	189.21672	18.34986	 
65	203.23746	481.64285	 	189.54816	18.553823	 
66	203.11417	497.62204	 	189.63055	18.775	 
67	203.30408	514.2551	 	189.53978	18.87784	 
68	203.48361	530.89343	 	189.18976	19.11773	 
69	203.42369	547.96185	 	189.09616	19.291208	 
70	203.67131	565.04584	 	189.12184	19.365545	 
71	203.76953	582.6367	 	188.65274	19.419308	 
72	203.66576	600.1413	 	188.70728	19.735294	 
73	203.69603	597.5149	 	188.03482	19.569637	 
74	203.87628	587.72424	 	188.7652	19.977901	 
75	203.93684	578.47107	 	188.75284	19.988636	 
76	203.95103	569.38403	 	187.81728	19.783287	 
77	204.05968	560.7334	 	188.14462	19.97383	 
78	204.17105	552.16315	 	188.53125	20.005682	 
79	204.28534	543.91626	 	187.98863	19.81534	 
80	204.51007	536.2154	 	188.21509	19.902235	 
81	204.37823	528.6451	 	188.45454	19.803978	 
82	204.33589	521.4667	 	188.76988	19.982954	 
83	204.54774	514.5176	 	188.34616	19.930199	 
84	204.34422	508.14572	 	187.90923	19.747839	 
85	204.40932	501.67157	 	188.1243	19.751413	 
86	204.51474	495.3624	 	188.02942	19.721289	 
87	204.67369	489.36353	 	188.38103	19.468838	 
88	204.87897	483.66626	 	188.55084	19.268362	 
89	204.93132	478.26627	 	188.73796	19.145893	 
90	205.04695	473.5493	 	189.07866	19.179775	 
91	204.92488	469.02582	 	188.63611	19.152779	 
92	204.95688	464.78903	 	188.29178	19.152056	 
