Frame	X1	Y1	Flag1	X2	Y2	Flag2
Tracks 1 to 2
1	73.60896	271.03076	 	 	 	 
2	73.420135	271.0243	 	 	 	 
3	73.91595	271.26776	 	 	 	 
4	73.955345	271.20752	 	 	 	 
5	74.03558	271.33984	 	 	 	 
6	73.885414	271.37674	 	 	 	 
7	73.76724	271.46896	 	 	 	 
8	74.454544	271.8514	 	 	 	 
9	73.64017	271.65213	 	 	 	 
10	73.71565	271.8548	 	 	 	 
11	73.61532	272.1506	 	 	 	 
12	73.80502	272.2383	 	 	 	 
13	73.48485	272.37543	 	 	 	 
14	73.8157	272.81912	 	 	 	 
15	73.636055	272.87924	 	 	 	 
16	73.51173	273.02094	 	 	 	 
17	73.43074	273.31757	 	 	 	 
18	73.51855	273.49158	 	 	 	 
19	73.32017	273.71176	 	 	 	 
20	73.48821	273.83334	 	 	 	 
21	73.181595	274.08374	 	 	 	 
22	73.16161	274.4293	 	 	 	 
23	73.066666	274.50333	 	 	 	 
24	72.933334	274.75	 	 	 	 
25	72.95101	275.2669	 	 	 	 
26	72.98609	275.5	 	 	 	 
27	72.192924	275.54663	 	 	 	 
28	72.891014	276.12396	 	 	 	 
29	72.7432	276.3496	 	 	 	 
30	72.26471	276.5779	 	 	 	 
31	71.8746	276.84128	 	 	 	 
32	72.236244	277.25244	 	 	 	 
33	71.78393	277.3908	 	 	 	 
34	71.692955	277.6654	 	 	 	 
35	71.6838	277.9081	 	 	 	 
36	72.11574	278.2608	 	 	 	 
37	71.853035	278.45023	 	 	 	 
38	71.81193	278.53363	 	 	 	 
39	71.78086	278.84415	 	 	 	 
40	71.96012	278.95245	 	 	 	 
41	71.62575	279.02097	 	 	 	 
42	71.54401	279.22382	 	 	 	 
43	71.61011	279.28583	 	 	 	 
44	71.84709	279.57187	 	 	 	 
45	71.28681	279.67178	 	 	 	 
46	71.45195	279.83633	 	 	 	 
47	71.169655	280.00372	 	 	 	 
48	71.4837	280.41406	 	 	 	 
49	71.32222	281.06445	 	 	 	 
50	71.62482	281.88782	 	 	 	 
51	71.58683	282.7243	 	 	 	 
52	71.78794	283.3539	 	 	 	 
53	71.76105	284.7997	 	 	 	 
54	71.87433	285.82486	 	 	 	 
55	79.71247	298.80255	*	60.00345	271.0207	 
56	79.74362	302.029	*	60.179867	270.83994	 
57	79.99409	305.52127	*	59.19718	270.2007	 
58	79.89524	309.23572	*	59.455173	269.93448	 
59	79.95366	313.2122	*	58.82353	269.57352	 
60	79.95874	317.39563	*	58.79151	269.35608	 
61	80.06511	321.91522	 	58.979855	269.26556	 
62	80.113464	326.75186	 	58.798893	269.10147	 
63	80.05867	331.78317	 	59.339695	269.32062	 
64	80.05639	337.40726	 	59.151245	269.20108	 
65	80.11818	343.07144	 	58.70152	268.77756	 
66	80.018326	348.98428	 	59.062737	268.95248	 
67	80.22895	355.4079	 	58.992645	268.77573	 
68	80.23753	361.9672	 	58.87729	268.62454	 
69	80.21504	368.7137	 	59.10949	268.74817	 
70	80.29836	376.02588	 	59.492676	268.96155	 
71	80.43188	383.39645	 	59.1139	268.67374	 
72	80.5195	391.15182	 	59.891792	269.2985	 
73	80.47479	399.16107	 	59.30074	268.91327	 
74	80.39275	407.34637	 	59.122566	268.83075	 
75	80.33578	415.93988	 	59.944042	269.3159	 
76	80.34036	424.95782	 	60.167885	269.5803	 
77	80.43374	434.25302	 	59.435608	269.24243	 
78	80.52736	443.59726	 	59.10223	269.12827	 
79	80.58709	453.3168	 	60.376404	269.85205	 
80	80.50621	463.30435	 	59.426357	269.34885	 
81	80.53797	473.75632	 	59.992424	269.85986	 
82	80.76899	484.4557	 	60.05	269.84232	 
83	80.62539	495.16458	 	60.148853	269.90076	 
84	80.846275	506.4903	 	59.38506	269.49234	 
85	80.82698	517.83014	 	59.94151	269.7566	 
86	80.82119	529.5	 	59.929604	269.6877	 
87	80.879196	541.4698	 	60.539425	269.96237	 
88	80.92321	553.7867	 	60.182835	269.77985	 
89	80.96801	566.3754	*	60.3741	269.8597	 
90	80.905495	579.18726	*	60.083645	269.53345	 
91	81.14667	592.35	 	60.26753	269.66605	 
92	81.14396	605.89343	 	59.7907	269.39148	 
93	80.95673	601.47595	 	60.01751	269.43774	 
94	80.76382	594.6608	 	59.917625	269.2586	 
95	80.569824	588.3753	*	60.18889	269.37778	 
96	80.283714	582.7087	*	60.134922	269.36905	 
97	80.178215	577.11884	 	60.180607	269.29086	 
98	79.82581	571.6028	*	59.928032	268.9697	 
99	79.60422	566.6985	*	59.606464	268.77756	 
100	79.5321	561.9889	*	60.132183	268.9291	 
101	79.26617	557.50995	*	60.178432	268.8412	 
