Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
1	82.41166	206.21043	 	12.125	628.01044	 	 	 	 
2	82.49754	206.44342	 	12.202797	628.1014	 	 	 	 
3	81.863304	205.71306	 	11.613553	628.0897	 	 	 	 
4	82.16585	206.19667	 	12.278146	627.8079	 	 	 	 
5	81.678444	205.83174	 	11.954861	627.941	 	 	 	 
6	82.26989	206.4853	 	11.642858	628.15	 	 	 	 
7	82.599754	207.28928	 	11.898602	628.021	 	 	 	 
8	83.10296	207.95499	 	12.124574	627.94366	 	 	 	 
9	82.96946	208.36827	 	12.019573	627.9982	 	 	 	 
10	83.17225	209.16388	 	12.203448	628.0517	 	 	 	 
11	83.836136	210.64886	 	11.723404	628.078	 	 	 	 
12	85.078575	212.80833	 	11.7296295	628.063	 	 	 	 
13	84.4426	213.02469	 	12.207317	627.946	 	 	 	 
14	96.54918	234.28484	*	11.930657	628.28467	 	67.05892	186.61447	 
15	96.578354	237.51031	 	11.918367	627.9864	 	65.35152	183.85454	 
16	96.660164	241.077	 	11.918685	627.9671	 	65.94516	183.2871	 
17	96.73256	244.95244	 	11.7835245	628.27014	 	66.33226	182.63548	 
18	96.951065	249.28723	 	11.503704	628.08887	 	67.960754	183.19283	 
19	97.02258	253.56667	 	12.185715	628.25	 	67.6579	181.6842	 
20	97.20022	258.3293	 	11.954874	628.08124	 	67.905594	181.04546	 
21	97.360565	263.49127	 	12.034296	628.07404	 	68.17796	180.24237	 
22	97.30089	268.74338	 	11.542146	628.27014	 	69.134056	180.37682	 
23	97.38571	274.47583	 	11.931893	627.8156	 	69.25685	179.57877	 
24	97.44131	280.4526	 	11.871841	628.1787	 	69.903336	179.43333	 
25	97.682625	286.74277	 	12.119529	627.93097	 	69.97766	178.75774	 
26	97.71219	293.16367	 	11.902778	627.94446	 	70.35526	178.45065	 
27	97.793304	300.15356	 	11.873188	627.9783	 	70.6312	178.35461	 
28	97.874115	307.3447	 	11.9	627.82983	 	70.76428	177.93571	 
29	98.00233	314.71164	 	11.986486	627.8986	 	69.83115	176.60164	 
30	97.99403	322.39737	 	12.07554	628.0036	 	71.410034	177.98097	 
31	98.13461	330.5	 	11.882456	627.9035	 	69.853355	176.24205	 
32	98.3134	338.933	 	11.946428	627.97144	 	71.197914	177.3507	 
33	98.41525	347.63074	 	11.955516	627.9804	 	71.02688	177.30646	 
34	98.350746	356.55225	 	11.908602	628.14514	 	69.89101	176.37543	 
35	98.61414	365.6588	 	11.67037	628.2296	 	70.55085	177.22203	 
36	98.642494	375.14886	 	11.855072	628.2536	 	70.347176	177.16777	 
37	98.75628	385.01257	 	11.912752	627.8356	 	71.02715	177.88339	 
38	98.933334	395.02307	 	11.661172	628.0604	 	70.349495	177.53345	 
39	98.9349	405.53384	 	12.356187	627.97156	 	70.24683	177.74684	 
40	99.14227	416.35907	 	12.130363	627.8696	 	70.983765	178.72403	 
41	99.209236	427.394	 	12.268421	628.09296	 	70.03651	178.21745	 
42	99.259	438.49445	 	11.950909	628.16907	 	70.46722	178.91968	 
43	99.26751	450.2227	 	12.05862	627.9724	 	69.43527	178.17638	 
44	99.412674	462.0183	 	12.27377	627.7295	 	69.024536	177.94171	 
45	99.44302	474.17807	 	11.807693	628.1007	 	69.84106	178.98676	 
46	99.46522	486.5493	 	11.971631	628.1064	 	69.361115	178.49074	 
47	99.746376	499.32318	 	11.687726	628.09564	 	68.71148	177.88368	 
48	99.713875	512.21674	 	12.05914	628.0412	 	69.47879	178.6909	 
49	99.91716	525.68933	 	12.118182	628.08545	 	69.931816	179.22728	 
50	100.041176	539.09705	 	12.262069	628.0621	 	69.80864	179.02469	 
51	100.08735	553.0392	 	12.07197	628.32196	 	69.48718	178.71474	 
52	100.125374	567.0015	 	11.620996	628.0587	 	69.531845	178.74841	 
53	100.32121	581.5333	 	12.404762	627.9558	 	68.85046	177.8444	 
54	100.41813	596.14325	 	12.302631	627.898	 	69.001564	177.98276	 
55	100.615944	611.1602	 	12.1947365	628.16315	 	68.9321	177.84567	 
56	100.79019	602.9196	 	11.7	628.0091	 	69.4644	178.27347	 
57	100.8871	593.81335	 	11.909253	628.1121	 	69.19304	177.90506	 
58	101.04023	585.8632	 	12.008711	628.01917	 	68.83226	177.37743	 
59	101.13636	578.425	 	12.225424	627.88306	 	69.71698	178.05661	 
60	101.325	570.9659	 	12.020134	628.0067	 	69.52484	177.85094	 
61	101.45692	563.822	 	12.236301	627.9486	 	69.980484	177.90541	 
62	101.5962	557.19574	 	12.108059	628.2399	 	68.202614	176.36928	 
63	101.80248	550.8567	 	11.962094	628.139	 	68.48033	176.4541	 
64	101.87556	544.7022	 	12.187943	628.0496	 	68.11829	176.09937	 
65	102.08606	538.9815	 	12.080756	627.91235	 	68.77385	176.63846	 
66	102.27925	533.5751	 	12.205674	628.1454	 	67.78115	175.98242	 
67	102.31111	528.38446	 	11.694244	628.0899	 	68.46381	176.72697	 
68	102.27899	523.4365	 	12.081081	627.8345	 	68.33912	176.42744	 
69	102.705185	518.63605	 	11.840824	628.27155	 	68.53311	176.69867	 
70	102.806694	514.23004	 	11.945206	627.9247	 	69.50955	177.10828	 
71	102.94754	509.94754	 	12.352843	628.02844	 	68.23786	175.92719	 
72	103.07356	506.23135	 	12.688552	628.1869	 	68.3127	175.84921	 
73	103.182976	502.83405	 	11.934629	628.1219	 	67.92857	175.902	 
74	103.43038	499.78058	 	12.060715	627.9643	 	68.28218	176.5825	 
75	103.52092	496.96863	 	11.481343	628.08954	 	68.35017	176.79317	 
76	103.57276	494.658	 	11.677305	628.0319	 	68.27365	176.91216	 
77	103.75159	492.23572	 	11.725352	628.1373	 	67.54934	176.36842	 
78	103.918945	490.0979	 	11.51107	628.131	 	67.66054	176.38629	 
79	104.14916	488.51892	 	11.7703705	628.1667	 	67.49664	176.36241	 
80	104.17917	487.12708	 	12.042955	628.0017	 	67.63826	176.52895	 
81	104.268265	485.94467	 	11.923792	628.1952	 	67.175865	176.33794	 
82	104.455696	485.0	 	11.153543	628.0748	 	65.47643	174.64142	 
83	104.776505	484.57068	 	12.24183	627.8333	 	66.45556	175.46507	 
84	104.80544	484.22385	 	11.984321	627.96344	 	66.34314	175.33661	 
85	105.00105	484.35474	 	12.111307	628.07245	 	66.60164	175.50984	 
86	105.04622	484.7248	 	12.421769	628.051	 	65.90803	175.08528	 
87	105.325	485.60834	 	12.146464	627.92426	 	66.76246	176.14452	 
88	105.23418	486.79324	 	11.994424	628.1766	 	65.991806	175.4869	 
