Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4
Tracks,1,to,4,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,140.9347,59.332653,,,,,,,,,,
19,140.95,63.225,*,,,,,,,,,
20,140.81847,67.34926,*,,,,,,,,,
21,140.85608,71.8113,*,,,,,,,,,
22,140.80937,76.447716,,,,,,,,,,
23,140.66228,81.38158,,,,,,,,,,
24,140.63597,86.552635,,,,,,,,,,
25,140.60538,92.18162,,,,,,,,,,
26,140.47711,98.0286,,,,,,,,,,
27,140.42757,104.01636,,,,,,,,,,
28,140.25838,110.61005,,,,,,,,,,
29,140.17464,117.17703,,,,,,,,,,
30,140.0523,124.332115,,,,,,,,,,
31,139.9725,131.6325,,,,,,,,,,
32,140.00127,139.25949,,,,,,,,,,
33,139.9653,147.19666,,,,,,,,,,
34,139.76894,155.57571,,,,,,,,,,
35,139.84048,164.02815,,,,,,,,,,
36,139.58968,172.77989,280.512,628.916,,,,,,,,
37,139.5697,181.9075,277.7946,629.2713,,,,,,,,
38,139.51358,191.33424,279.25735,628.75366,,,,,,,,
39,139.43593,201.11838,277.19083,629.25574,,,,,,,,
40,139.42592,211.04985,281.22983,628.8306,,,,,,,,
41,139.32648,221.5,276.4957,629.931,,,,,,,,
42,139.14809,232.11877,278.98276,629.06323,,,,,,,,
43,138.90237,243.01184,277.79562,629.20074,,,,,,,,
44,138.9494,254.1369,278.08582,628.90674,,,,,,,,
45,138.78963,265.5945,271.5275,629.36597,,,,,,,,
46,138.8109,277.51282,278.97308,628.95,,,,,,,,
47,138.71338,289.6688,278.16788,628.9332,,,,,,,,
48,138.42581,302.1226,277.78372,628.83215,,,,,,,,
49,138.40067,314.8477,267.3484,629.70325,,,,,,,,
50,138.29523,327.8686,278.85458,629.0498,,,,,,,,
51,138.39348,341.07043,277.8885,629.02875,,,,,,,,
52,138.35263,354.7386,278.27866,629.1957,,,,,,,,
53,138.09583,368.75436,281.09015,628.7951,,,,,,,,
54,138.00177,382.84628,277.74014,628.93726,,,,,,,,
55,137.9945,397.3095,277.3609,629.2707,,,,,,,,
56,138.1854,411.79962,277.63513,629.1564,,,,,,,,
57,137.82567,427.18582,280.63934,628.81146,,,,,,,,
58,137.66667,442.36047,277.66666,629.1061,,,,,,,,
59,137.67064,457.86905,278.84155,629.70166,,,,,,,,
60,137.46341,473.81302,278.3852,629.0333,,,,,,,,
61,137.43306,490.03973,277.63654,629.1753,,,,,,,,
62,137.08507,506.55396,278.6081,629.0444,,,,,,,,
63,137.11702,523.0319,277.60294,629.02203,,,,,,,,
64,137.05649,540.0649,279.1171,628.96466,,,,,,,,
65,136.97322,557.39734,276.76337,629.7757,,,,,,,,
66,136.88696,574.9087,277.40762,629.4478,,,,,,,,
