Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4
Tracks,1,to,4,,,,,,,,,
1,98.047585,243.97292,1.9424243,564.6556,,,,,,,,
2,97.96608,244.56047,1.8742331,563.2117,,,,,,,,
3,97.88427,244.9184,1.9047152,560.63947,,,,,,,,
4,97.53782,245.27913,1.7659575,564.3319,,,,,,,,
5,97.55979,245.51794,1.9626262,563.41315,,,,,,,,
6,97.408,246.01433,1.694332,558.3239,,,,,,,,
7,97.22399,246.29913,1.8525773,564.44434,,,,,,,,
8,97.19516,246.70085,2.0768464,566.30237,,,,,,,,
9,97.44143,247.28429,1.843254,560.2976,,,,,,,,
10,97.126114,247.81009,1.8609341,566.62103,,,,,,,,
11,96.82413,248.28488,1.9054054,565.5208,,,,,,,,
12,97.0289,248.91908,1.9626555,566.9253,,,,,,,,
13,96.89595,249.35115,1.8072034,565.76483,,,,,,,,
14,96.56383,250.0078,1.838843,565.02893,,,,,,,,
15,96.52009,250.81134,1.8207548,564.5503,,,,,,,,
16,96.54596,251.46379,1.8817427,565.8216,,,,,,,,
17,96.74302,252.98325,1.8194444,559.8095,,,,,,,,
18,97.19798,254.22215,1.7761341,557.1371,,,,,,,,
19,96.902374,255.68866,1.7989473,565.3905,,,,,,,,
20,97.21282,257.16666,1.7568421,563.53577,,,,,,,,
21,99.69507,269.9462,*,1.7575108,565.2017,,,,,,,
22,99.37778,273.44888,*,1.7474438,560.77606,,,,,,,
23,99.29128,277.22705,*,1.7212766,563.5298,,,,,,,
24,99.08957,281.19843,*,1.9372469,565.4454,,,,,,,
25,98.866356,285.3963,*,1.7545455,558.92224,,,,,,,
26,98.654564,289.9637,*,1.7357894,563.55896,279.3423,630.78314,,,,,
27,98.61294,294.93295,*,1.8816327,565.0041,279.9,630.74664,,,,,
28,98.4351,300.10095,1.8965884,567.39124,279.9863,630.5753,,,,,,
29,98.27991,305.49042,1.7515593,562.9449,269.4569,631.1983,,,,,,
30,98.118706,311.34653,1.8041667,564.1104,279.34436,630.5464,91.54,241.31091,,,,
31,97.88995,317.26794,1.9601942,561.30774,269.70114,631.17706,91.19153,241.06271,,,,
32,97.85784,323.6201,1.9591837,566.1429,279.05304,630.5997,91.17219,240.9702,,,,
33,97.58271,330.2945,1.7968421,564.04315,279.92142,630.70404,91.99286,241.00714,,,,
34,97.49,337.2925,1.855372,564.9793,269.94186,631.2297,91.916664,241.125,,,,
35,97.231346,344.57214,1.8562232,567,269.5,631.27545,81.21981,239.30676,,,,
36,97.1188,352.01175,1.8485477,564.69086,279.48245,630.7982,91.76643,240.75606,,,,
37,96.991005,359.88303,1.8634497,564.72174,270.11722,631.2181,79.75728,238.66019,,,,
38,96.81759,367.94095,1.8507752,558.5,268.88617,631.24066,92.81447,241.22012,,,,
39,96.54558,376.51608,2.018595,567.60535,279.23825,630.8087,92.21429,240.89024,,,,
40,96.42973,385.15405,1.8408164,563.6306,270.1523,631.24426,92.125,241.08446,,,,
41,96.133156,394.12228,2.0313132,565.7808,280.33334,630.61224,91.95183,240.69269,,,,
42,95.94086,403.28763,1.8824092,558.2017,271.02814,630.9155,93.07958,241.41292,,,,
43,95.87571,412.9633,1.8408164,563.4796,270.46902,631.1704,92.683945,241.21571,,,,
44,95.7,422.99713,1.7383966,562.61816,269.82,631.12,92.28571,241.28572,,,,
45,95.54985,433.3475,1.8786008,564.3395,280.4592,630.5034,92.46809,241.35461,,,,
46,95.1974,443.56628,1.8529412,560.2196,269.32236,631.3338,93.14495,241.52606,,,,
47,95.13988,454.25595,1.7987552,563.9066,269.82642,631.2478,93.117546,241.56316,,,,
48,94.94058,465.36667,2.0272727,565.7505,268.7289,631.46387,92.38705,241.48338,,,,
49,94.836334,476.82132,1.9838057,565.52026,280.2767,630.3576,92.50334,241.70067,,,,
50,94.7012,488.33182,1.7938856,558.64795,279.9221,630.5195,93.19281,242.01308,,,,
51,94.5184,500.14725,1.928866,565.6876,280.26654,630.58014,92.5662,241.72997,,,,
52,94.3642,512.53394,1.8238866,561.2146,269.53333,631.4667,92.5,241.89726,,,,
53,94.1478,524.8679,1.8463918,564.1701,270.0638,631.0727,92.639534,241.92192,,,,
54,94.03698,537.6286,1.8228512,564.69495,280.1357,630.8,92.793106,241.84483,,,,
55,93.76948,550.68506,1.7229167,562.8271,268.9418,631.52985,92.236664,242.16,,,,
56,93.61613,563.91614,1.8382046,564.6273,282.30072,630.5,92.164314,242.23145,,,,
57,93.4375,577.4572,1.9635627,564.75305,279.6365,630.61945,92.71381,242.2204,,,,
58,93.413734,591.3403,1.8305786,564.4091,279.98495,630.5502,80.78378,240.35585,,,,
59,93.15493,605.89905,1.6726907,556.93976,269.93234,631.2088,92.0623,242.1262,,,,
60,92.90564,604.1464,1.862,562.306,271.38828,631.00836,92.29804,242.15146,,,,
61,92.52138,596.04156,1.9930418,563.0149,269.30234,631.14825,92.77922,242.24675,,,,
62,92.16038,588.96936,2.040918,565.6497,270.50568,631.06537,92.29672,242.1623,,,,
63,91.832535,582.10767,1.9274354,561.86975,279.67288,630.65594,92.31433,242.21986,,,,
64,91.55399,575.61035,1.8408624,563.8183,275.14743,630.87085,92.75418,242.27592,,,,
65,91.14066,569.2707,1.785124,563.3409,280.00522,630.70905,92.40508,242.26271,,,,
66,90.68894,563.371,1.8995901,565.0266,267.64517,631.3011,92.63497,242.05522,,,,
67,90.34778,557.8677,1.746124,555.92633,267.86874,631.4587,92.05369,242.02348,,,,
68,90.12014,552.45654,1.889414,558.2467,268.5413,631.441,92.00485,242.27023,,,,
69,89.711624,547.5488,1.8156823,561.5774,279,630.8333,92.46622,242.32433,,,,
70,89.40553,542.8502,1.7279261,561.81006,280.40668,630.55664,92.19329,242.49681,,,,
71,88.84247,538.54565,1.9353182,565.0113,281.76102,630.18475,92.67685,242.38103,,,,
72,88.54091,534.25684,1.8227848,564,280.60037,630.6636,92.013336,242.29666,,,,
73,88.30134,530.51337,1.9854772,565.7054,279.97137,630.49664,91.96104,242.1526,,,,
74,88.01481,526.7369,1.7356558,560.61884,268.34952,631.7884,92.16552,242.1138,,,,
75,87.63556,523.2889,1.889662,563.52985,267.07065,631.2663,91.84967,241.64378,,,,
76,87.35555,520.1889,1.9190476,559.19714,266.075,631.6055,92.31544,241.8557,,,,
77,86.99227,517.65894,1.8610039,558.4595,268.54596,631.2108,92.56622,241.95364,,,,
78,86.46923,515.4385,1.842,561.454,269.1,631.1301,92.19334,242.13667,,,,
79,86.10619,513.3894,1.8195021,563.34235,280.3644,630.5102,92.490326,242.18065,,,,
80,85.767395,511.73697,2.027559,562.8189,280.64093,630.39264,91.960785,242.31372,,,,
81,85.46239,510.40045,1.7995781,564.4114,283.6863,630.0703,92.19395,242.31494,,,,
82,85.12174,509.00217,1.7885375,558.8755,274.10855,630.97705,92.140526,241.98692,,,,
83,84.76258,508.05362,1.7281059,560.7485,280.63733,630.493,91.994736,242.12807,,,,
84,84.48472,507.42795,1.8262548,558.1486,279.4437,630.6424,91.938126,241.91806,,,,
85,83.99231,507.1154,1.8098291,566.3932,274.8537,631.0852,91.667274,241.68546,,,,
86,83.680824,506.91177,1.8039832,565.07654,269.12222,631.2889,92.91695,242.22203,,,,
87,83.23638,507.20807,1.8913934,564.6967,268.5525,631.174,92.400955,241.70767,,,,
88,83.05677,507.54803,1.8835342,563.9679,268.91315,631.04736,92.57818,241.83876,,,,
89,82.64538,508.35022,1.7857143,560.2242,267.79858,631.3704,92.09247,241.58562,,,,
90,82.41267,509.69434,1.8892215,563.3483,268.33334,631.27325,92.22581,241.60645,,,,
91,81.86484,511.2802,1.8411765,559.0333,268.10175,631.31976,91.85179,241.86156,,,,
92,81.55044,513.1294,1.7262156,563.8531,279.9256,630.5519,92.06463,242.01021,,,,
93,81.25711,515.2352,1.8976609,559.47076,281.56494,630.17535,92.01887,242.07547,,,,
94,80.824615,517.5501,2.0171757,558.8931,282,630.23425,92.539604,242.28218,,,,
95,80.5329,520.0504,1.6413044,563.7174,280.33755,630.7347,92.231445,242.11838,,,,
96,80.12222,522.79553,1.9841269,563.3988,279.66263,630.5519,92.23841,241.83444,,,,
97,79.85794,525.99664,1.8665987,563.3411,280.03192,630.6099,91.87541,241.61627,,,,
98,79.43708,529.4236,1.8144654,564.6572,267.96686,631.57227,92.66013,242.06209,,,,
99,79.208145,533.1878,1.9609053,566.0905,269.07513,631.4162,91.96179,241.84883,,,,
100,78.83708,537.21686,1.8366734,561.1493,267.27936,631.55444,92.442955,241.71477,,,,
101,78.29681,541.5845,1.7484848,560.0535,267.90677,631.28534,92.4398,241.64716,,,,
102,78.06947,546.15607,1.9523809,564.2798,268.74127,631.18097,92.35623,241.6853,,,,
103,77.71311,551.11127,1.7761506,564.4812,267.41837,631.45917,92.56029,241.65248,,,,
104,77.35781,556.6422,1.7972972,563.75574,269.72675,631.20056,91.85644,241.6188,,,,
105,77.033646,562.2053,1.9455253,559.94745,280.4,630.5133,92.421135,241.9101,,,,
106,76.70188,568.05164,1.8158996,564.1653,280.58896,630.65656,91.63725,241.99347,,,,
107,76.303276,574.05505,6.794849,575.06305,281.98163,630.3934,91.86545,241.8289,,,,
108,76.02731,580.63776,1.8156862,558.49805,91.85555,241.84285,,,,,,
109,75.80162,587.1079,2.1876156,561.91034,92.69939,242.02454,,,,,,
110,75.39436,594.1549,1.8294348,558.9776,92.293846,241.91846,,,,,,
111,75.01982,601.95374,1.7579365,559.15875,92.611465,242.07643,,,,,,
112,74.605354,609.08203,2.110998,566.7831,91.928116,241.9984,,,,,,
113,74.19819,604.39136,1.973251,565.6893,91.65434,241.6865,,,,,,
114,73.8,600.2714,1.9206185,565.34534,91.19032,241.49033,,,,,,
115,73.39684,596.54,1.8888888,558.8237,92.92073,242.0183,,,,,,
116,72.919495,593.2839,2.080827,559.0489,92.1,241.75937,,,,,,
117,72.38248,590.40173,1.8099173,564.8492,91.882835,242.13696,,,,,,
118,71.87579,588.0605,1.8438735,559.8142,91.886795,241.72955,,,,,,
119,71.308014,585.70044,1.8109244,564.59875,91.07843,241.9804,,,,,,
120,70.93277,583.7164,1.858871,563.6391,93.086754,242.4369,,,,,,
121,70.557205,581.9343,2.0873015,565.89484,90.640465,241.59698,,,,,,
122,70.10587,580.5818,1.7545825,561.91956,91.71568,241.73529,,,,,,
123,69.56329,579.51056,1.7917466,557.3887,91.225426,241.87288,,,,,,
124,69.2625,578.6937,1.8651116,563.79614,91.61726,241.78014,,,,,,
125,68.61555,578.0021,1.6855011,563.065,91.51307,241.87582,,,,,,
126,68.16318,577.7427,1.9057971,565.9182,91.24214,241.9088,,,,,,
127,67.79979,577.6782,1.9079208,561.48413,91.36984,241.76666,,,,,,
128,67.37552,577.75726,1.806391,554.3778,91.50938,241.675,,,,,,
129,66.97369,578.2895,1.8963302,555.7422,91.448555,241.5225,,,,,,
130,66.537895,579.47473,1.8196262,554.95044,89.89721,241.39548,,,,,,
131,66.078285,580.7756,2.325516,563.79083,91.3625,241.80313,,,,,,
132,65.508385,582.5042,1.875,564.96875,92.41962,242.12057,,,,,,
133,65.05532,584.2286,1.8850932,565.00726,91.2517,241.9932,,,,,,
134,64.5,586.44165,1.7636917,560.83673,91.11667,242.11,,,,,,
135,64.17373,588.714,1.8281554,558.3039,90.96128,241.98822,,,,,,
136,63.75053,591.2431,1.8397313,557.2274,91.0098,241.74184,,,,,,
137,63.406445,594.1882,1.9653846,560.55194,91.44949,241.72559,,,,,,
138,62.829193,597.54553,1.9361055,564.04565,91.251656,241.66887,,,,,,
139,62.41734,601.3629,1.8839836,565.04004,91.54487,241.78526,,,,,,
140,61.885418,607.0399,1.9254032,565.248,91.93533,241.87224,,,,,,
141,61.515152,608.8737,1.9055046,556.6927,91.791664,241.65384,,,,,,
142,61.20435,606.9035,1.787594,554.0808,90.473595,241.38779,,,,,,
143,60.799805,604.0203,1.9143126,559.5772,91.5954,241.875,,,,,,
144,60.43713,602.92633,1.8402061,564.234,90.1436,241.88408,,,,,,
145,59.8556,602.0756,1.9897959,565.7898,91.74753,242.3944,,,,,,
146,59.578278,601.34735,1.8760163,562.86584,91.02475,242.07426,,,,,,
147,59.173744,600.8803,2.0887096,565.77014,90.96844,242.34386,,,,,,
148,58.81021,600.65027,2.0029821,564.88965,90.459045,242.04608,,,,,,
149,58.450787,600.71454,1.8215686,560.28625,91.17524,241.97589,,,,,,
150,57.88716,601.1537,1.9713494,557.24304,91.43137,242.18954,,,,,,
151,57.552425,601.8961,1.824165,560.2092,90.973335,241.78334,,,,,,
152,57.234226,602.8155,1.9573171,566.0854,91.14667,242.05,,,,,,
153,56.839767,604.42664,1.8736953,566.2474,91.07,241.87,,,,,,
154,56.326447,607.87854,1.860161,563.7294,90.72951,241.75902,,,,,,
155,55.96077,608.8272,1.8957936,559.2935,91.19055,242.11563,,,,,,
156,55.533222,608.3621,1.7806027,554.7599,90.63289,242.04817,,,,,,
157,55.194492,607.99084,1.8326997,557.1445,90.78432,242.0915,,,,,,
158,54.835526,607.91943,2.271639,561.63446,90.75317,242.1519,,,,,,
