Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6
Tracks 1 to 6
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
39	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
44	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
59	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
64	162.54782	8.961538	 	159.82259	42.262905	 	 	 	 	 	 	 	 	 	 	 	 	 
65	163.06674	8.710472	*	160.06026	45.757328	*	 	 	 	 	 	 	 	 	 	 	 	 
66	184.49516	8.336957	*	160.26749	49.482113	*	 	 	 	 	 	 	 	 	 	 	 	 
67	163.68639	8.096859	*	160.45357	53.51161	 	 	 	 	 	 	 	 	 	 	 	 	 
68	185.99576	7.829697	 	160.6407	57.734505	*	 	 	 	 	 	 	 	 	 	 	 	 
69	165.16216	7.6334724	 	160.7354	62.399834	 	 	 	 	 	 	 	 	 	 	 	 	 
70	165.26495	7.532529	 	161.0	67.41554	 	 	 	 	 	 	 	 	 	 	 	 	 
71	165.15031	7.4645095	 	161.18878	72.62585	 	 	 	 	 	 	 	 	 	 	 	 	 
72	165.43835	7.361024	 	161.34828	78.18965	 	 	 	 	 	 	 	 	 	 	 	 	 
73	166.19078	7.0901465	 	161.45993	84.083626	 	 	 	 	 	 	 	 	 	 	 	 	 
74	165.80095	7.0850053	 	161.7407	90.29646	 	 	 	 	 	 	 	 	 	 	 	 	 
75	166.04062	7.053125	 	161.82744	96.77965	 	 	 	 	 	 	 	 	 	 	 	 	 
76	165.99525	6.982613	 	161.99184	103.64519	 	 	 	 	 	 	 	 	 	 	 	 	 
77	165.88348	7.0736675	 	162.22496	110.773224	 	 	 	 	 	 	 	 	 	 	 	 	 
78	166.14122	6.967573	 	162.35924	118.309875	 	 	 	 	 	 	 	 	 	 	 	 	 
79	166.05916	6.953403	 	162.50931	126.09032	 	 	 	 	 	 	 	 	 	 	 	 	 
80	165.9634	6.9361925	 	162.75282	134.14717	 	 	 	 	 	 	 	 	 	 	 	 	 
81	165.82109	6.957503	 	162.86641	142.57443	 	 	 	 	 	 	 	 	 	 	 	 	 
82	187.07419	6.677322	 	163.04263	151.27907	 	 	 	 	 	 	 	 	 	 	 	 	 
83	165.69518	6.9994755	 	163.21735	160.34406	 	 	 	 	 	 	 	 	 	 	 	 	 
84	165.35428	7.000528	 	163.43813	169.72356	 	 	 	 	 	 	 	 	 	 	 	 	 
85	165.30713	7.039832	 	163.51222	179.4939	 	 	 	 	 	 	 	 	 	 	 	 	 
86	165.15717	7.0770044	 	163.58147	189.48778	 	 	 	 	 	 	 	 	 	 	 	 	 
87	165.1353	7.062368	 	163.76132	199.75926	 	 	 	 	 	 	 	 	 	 	 	 	 
88	164.87804	7.0881734	 	163.94843	210.38843	 	 	 	 	 	 	 	 	 	 	 	 	 
89	165.16878	7.0354495	 	164.13347	221.3411	 	 	 	 	 	 	 	 	 	 	 	 	 
90	165.04268	7.129083	 	164.20752	232.60323	 	 	 	 	 	 	 	 	 	 	 	 	 
91	164.90529	7.105291	 	164.2961	244.20282	 	 	 	 	 	 	 	 	 	 	 	 	 
92	164.8622	7.1156282	 	164.51102	256.0859	 	 	 	 	 	 	 	 	 	 	 	 	 
93	165.02003	7.0516877	 	164.69684	268.29413	 	 	 	 	 	 	 	 	 	 	 	 	 
94	164.97157	7.0273685	 	164.93936	280.85242	 	 	 	 	 	 	 	 	 	 	 	 	 
95	165.0	7.0168066	 	165.00688	293.6858	 	 	 	 	 	 	 	 	 	 	 	 	 
96	164.8561	6.9810925	 	165.14954	306.8084	 	 	 	 	 	 	 	 	 	 	 	 	 
97	164.95886	6.974684	 	165.27725	320.3602	 	 	 	 	 	 	 	 	 	 	 	 	 
98	164.97629	6.934141	 	165.38107	334.10437	 	 	 	 	 	 	 	 	 	 	 	 	 
99	164.93372	6.872216	 	165.5344	348.10443	 	 	 	 	 	 	 	 	 	 	 	 	 
100	165.08034	6.8382664	 	165.735	362.6475	 	 	 	 	 	 	 	 	 	 	 	 	 
101	165.0913	6.7738853	 	165.82669	377.30298	 	 	 	 	 	 	 	 	 	 	 	 	 
102	165.11874	6.7428117	 	165.94615	392.29486	 	 	 	 	 	 	 	 	 	 	 	 	 
103	165.09062	6.7547975	 	166.17949	407.5359	 	 	 	 	 	 	 	 	 	 	 	 	 
104	165.17876	6.729456	 	166.26378	423.25067	 	 	 	 	 	 	 	 	 	 	 	 	 
105	165.08467	6.728967	 	166.50804	439.0469	 	 	 	 	 	 	 	 	 	 	 	 	 
106	165.03633	6.7115383	 	166.62163	455.25406	 	 	 	 	 	 	 	 	 	 	 	 	 
107	189.12152	6.463291	 	166.69618	471.6553	 	 	 	 	 	 	 	 	 	 	 	 	 
108	165.02132	6.6865673	 	166.7295	488.459	 	 	 	 	 	 	 	 	 	 	 	 	 
109	186.00185	6.2803683	 	167.0	505.5	 	 	 	 	 	 	 	 	 	 	 	 	 
110	164.65196	6.7731137	 	167.05014	522.9011	 	 	 	 	 	 	 	 	 	 	 	 	 
111	164.82127	6.6840425	 	167.31686	540.3721	 	 	 	 	 	 	 	 	 	 	 	 	 
112	164.96864	6.6891603	 	167.39536	558.23834	 	 	 	 	 	 	 	 	 	 	 	 	 
113	164.7622	6.7314224	 	167.5503	576.54736	 	 	 	 	 	 	 	 	 	 	 	 	 
114	164.74051	6.7700424	 	167.54385	594.97955	 	 	 	 	 	 	 	 	 	 	 	 	 
115	164.37196	6.8513227	 	167.62094	613.71826	 	 	 	 	 	 	 	 	 	 	 	 	 
116	164.24867	6.8828206	 	167.9289	634.69867	 	 	 	 	 	 	 	 	 	 	 	 	 
117	164.6672	6.78967	 	168.02486	641.13306	 	 	 	 	 	 	 	 	 	 	 	 	 
118	164.53818	6.854189	 	167.98619	628.2643	 	 	 	 	 	 	 	 	 	 	 	 	 
119	164.42683	6.8626723	 	168.02486	618.16003	 	 	 	 	 	 	 	 	 	 	 	 	 
120	164.21172	6.9498415	 	168.15948	609.2554	 	 	 	 	 	 	 	 	 	 	 	 	 
121	166.05743	6.648577	 	168.08743	600.7888	 	 	 	 	 	 	 	 	 	 	 	 	 
122	166.02356	6.5214133	 	168.29256	592.1673	 	 	 	 	 	 	 	 	 	 	 	 	 
123	189.95418	7.000664	 	168.46124	584.01355	 	 	 	 	 	 	 	 	 	 	 	 	 
124	189.7163	7.02737	 	168.64313	576.2939	 	 	 	 	 	 	 	 	 	 	 	 	 
125	187.25815	6.8095236	 	168.60286	568.8943	 	 	 	 	 	 	 	 	 	 	 	 	 
126	164.77597	6.8788037	 	168.5113	561.86536	 	 	 	 	 	 	 	 	 	 	 	 	 
127	164.75	6.8618145	 	168.55493	555.0019	 	 	 	 	 	 	 	 	 	 	 	 	 
