Frame X1 Y1 Flag1 X2 Y2 Flag2 X3 Y3 Flag3 X4 Y4 Flag4 X5 Y5 Flag5 X6 Y6 Flag6 X7 Y7 Flag7 X8 Y8 Flag8
Tracks 1 to 8                     
1 160.42212 22.299463 252.44667 0.9266667                    
2 160.42928 22.312891 251.06828 0.9140969                    
3 160.44023 22.367083 251.91176 0.9027149                    
4 160.36708 22.356379 251.46902 0.9159292                    
5 160.22089 22.342667 252.6892 0.9189189                    
6 160.27196 22.357143 252.8801 0.91628957                    
7 160.3435 22.388594 251.68303 0.91071427                    
8 160.35866 22.45318 251.49103 0.90358746                    
9 160.38605 22.484098 253.0591 0.9136364                    
10 160.35979 22.487654 251.26106 0.91150445                    
11 160.25902 22.490326 251.63274 0.9159292                    
12 160.26897 22.518518 251.8689 0.9177778                    
13 160.29453 22.521164 251.86 0.9177778                    
14 160.2723 22.552958 251.8689 0.9177778                    
15 160.33777 22.513298 251.8689 0.9177778                    
16 160.3177 22.530973 251.44714 0.9185022                    
17 160.40337 22.534575 252.6892 0.9189189                    
18 160.45749 22.523914 251.8689 0.9177778                    
19 160.43251 22.50888 251.7018 0.90807176                    
20 160.43777 22.502666 252.28027 0.91704035                    
21 160.476 22.526667 252.90454 0.9136364                    
22 160.52309 22.50533 251.0689 0.90444446                    
23 160.48933 22.534666 252.1036 0.9099099                    
24 160.52576 22.550621 252.08296 0.91255605                    
25 160.50624 22.551693 251.7018 0.90807176                    
26 160.51068 22.559608 251.64978 0.9229075                    
27 160.53737 22.590748 252.24222 0.9222222                    
28 160.53372 22.636646 251.26106 0.91150445                    
29 160.53117 22.698576 251.28223 0.9088889                    
30 160.39038 22.734404 251.68303 0.91071427                    
31 160.36287 22.808104 251.28223 0.9088889                    
32 160.30838 22.844028 250.68062 0.90969163                    
33 160.29414 22.860249 251.28223 0.9088889                    
34 160.35168 22.936945 251.509 0.9009009                    
35 160.36476 22.969751 252.28923 0.91704035                    
36 160.38582 23.061998 251.91176 0.9027149                    
37 160.20384 23.052185 252.6892 0.9189189                    
38 160.0601 23.04853 251.68303 0.91071427                    
39 160.01158 23.13458 252.31363 0.9045454                    
40 159.874 23.169636 252.6892 0.9189189                    
41 159.86348 23.313787 252.8801 0.91628957                    
42 159.77216 23.380932 251.68303 0.91071427                    
43 159.60437 23.390276 252.1036 0.9099099                    
44 159.5 23.400982 252.24222 0.9222222                    
