Frame	X1	Y1	Flag1	X2	Y2	Flag2
Tracks 1 to 2
1	169.5642	22.767683	 	 	 	 
2	169.38358	22.770947	 	 	 	 
3	169.34708	22.849241	 	 	 	 
4	169.15297	22.82865	 	 	 	 
5	169.15405	22.842703	 	 	 	 
6	169.18797	22.831528	 	 	 	 
7	169.26598	22.894365	 	 	 	 
8	169.29414	22.821777	 	 	 	 
9	169.31473	22.74702	 	 	 	 
10	169.4078	22.755966	 	 	 	 
11	169.48909	22.697382	 	 	 	 
12	169.63472	22.68839	 	 	 	 
13	169.73627	22.675825	 	 	 	 
14	169.85573	22.6674	 	 	 	 
15	169.95494	22.616484	 	 	 	 
16	170.07506	22.662252	 	 	 	 
17	170.11172	22.675884	 	 	 	 
18	170.00221	22.63797	 	 	 	 
19	170.0711	22.648842	 	 	 	 
20	170.01765	22.658941	 	 	 	 
21	170.05089	22.682522	 	 	 	 
22	169.95193	22.687845	 	 	 	 
23	169.8989	22.735165	 	 	 	 
24	169.85715	22.754946	 	 	 	 
25	169.84389	22.786026	 	 	 	 
26	169.68073	22.796824	 	 	 	 
27	169.6374	22.826063	 	 	 	 
28	169.5917	22.811136	 	 	 	 
29	169.50981	22.851145	 	 	 	 
30	169.488	22.82061	 	 	 	 
31	169.38684	22.795975	 	 	 	 
32	169.54347	22.784782	 	 	 	 
33	169.60258	22.676025	 	 	 	 
34	169.6828	22.626225	 	 	 	 
35	169.8417	22.58297	 	 	 	 
36	169.80879	22.453846	 	 	 	 
37	169.99564	22.32462	 	 	 	 
38	170.11726	22.155973	 	 	 	 
39	170.21602	22.011602	 	 	 	 
40	170.53833	21.8954	 	 	 	 
41	170.63025	21.762693	 	 	 	 
42	170.84254	21.725414	 	 	 	 
43	171.11862	21.583149	 	 	 	 
44	171.1317	21.517857	 	 	 	 
45	171.2239	21.494389	 	 	 	 
46	171.23845	21.435738	 	 	 	 
47	171.48991	21.441704	 	 	 	 
48	171.4944	21.37794	 	 	 	 
49	171.56975	21.31215	 	 	 	 
50	171.46284	21.259008	 	 	 	 
51	171.41704	21.243273	 	 	 	 
52	171.38553	21.227272	 	 	 	 
53	171.37598	21.194973	 	 	 	 
54	171.35458	21.177853	 	 	 	 
55	171.30403	21.117022	 	 	 	 
56	171.30963	21.110302	 	 	 	 
57	171.28436	21.125698	 	 	 	 
58	171.28436	21.125698	 	 	 	 
59	171.22116	21.118141	 	 	 	 
60	171.21237	21.148829	 	 	 	 
61	171.21603	21.157015	 	 	 	 
62	171.16927	21.1804	 	 	 	 
63	171.19154	21.163696	 	 	 	 
64	171.0657	21.193764	 	 	 	 
65	171.12459	21.250837	 	 	 	 
66	171.12598	21.25924	 	 	 	 
67	170.98543	21.263453	 	 	 	 
68	171.00899	21.261797	 	 	 	 
69	170.96292	21.26517	 	 	 	 
70	170.90741	21.315937	 	 	 	 
71	170.88358	21.34027	 	 	 	 
72	170.83632	21.339685	 	 	 	 
73	170.83557	21.378788	 	 	 	 
74	170.76591	21.407263	 	 	 	 
75	170.63179	21.45349	 	 	 	 
76	170.65633	21.488913	 	 	 	 
77	170.66833	21.518826	 	 	 	 
78	170.55882	21.508879	 	 	 	 
79	170.51772	21.513288	 	 	 	 
80	170.45796	21.506638	 	 	 	 
81	170.42802	21.515503	 	 	 	 
82	170.32489	21.482378	 	 	 	 
83	170.22928	21.5	 	 	 	 
84	170.2031	21.458057	 	 	 	 
85	170.13937	21.461283	 	 	 	 
86	169.99945	21.453384	 	 	 	 
87	169.94456	21.4102	 	 	 	 
88	169.90758	21.445435	 	 	 	 
89	169.90402	21.427456	 	 	 	 
90	169.88649	21.432447	 	 	 	 
91	169.85588	21.431263	 	 	 	 
92	169.87915	21.456762	 	 	 	 
93	169.87486	21.507786	 	 	 	 
94	169.82031	21.489956	 	 	 	 
95	169.84456	21.507856	 	 	 	 
96	169.74496	21.478746	 	 	 	 
97	169.76958	21.473154	 	 	 	 
98	169.87108	21.503363	 	 	 	 
99	169.875	21.477478	 	 	 	 
100	169.84534	21.491001	 	 	 	 
101	169.90791	21.424294	 	 	 	 
102	169.96248	21.392498	 	 	 	 
103	170.07047	21.406425	 	 	 	 
104	170.11148	21.375	 	 	 	 
105	170.19966	21.34027	 	 	 	 
106	170.25533	21.291246	 	 	 	 
107	170.2545	21.292793	 	 	 	 
108	170.48094	21.295963	 	 	 	 
109	170.5752	21.286757	 	 	 	 
110	170.43631	21.206144	 	 	 	 
111	170.462	21.1838	 	 	 	 
112	170.4944	21.198431	 	 	 	 
113	170.59932	21.230247	 	 	 	 
114	170.55989	21.232203	 	 	 	 
115	170.57344	21.225424	 	 	 	 
116	170.52142	21.23168	 	 	 	 
117	170.45932	21.226553	 	 	 	 
118	170.45593	21.261581	 	 	 	 
119	170.42316	21.236723	 	 	 	 
120	170.33824	21.22172	 	 	 	 
121	170.33882	21.277525	 	 	 	 
122	170.3157	21.299772	 	 	 	 
123	170.2681	21.255655	 	 	 	 
124	170.29909	21.3252	 	 	 	 
125	170.23492	21.263367	 	 	 	 
126	170.32767	21.283447	 	 	 	 
127	170.36734	21.307257	 	 	 	 
128	170.34407	21.325989	 	 	 	 
129	170.38249	21.388136	 	 	 	 
130	170.4208	21.390272	 	 	 	 
131	170.59627	21.42752	 	 	 	 
132	170.56966	21.37191	 	 	 	 
133	170.56221	21.384615	 	 	 	 
134	170.55789	21.388763	 	 	 	 
135	170.56462	21.336735	 	 	 	 
136	170.55975	21.31398	 	 	 	 
137	170.70659	21.346766	 	 	 	 
138	170.80193	21.321793	 	 	 	 
139	170.78685	21.318594	 	 	 	 
140	170.75708	21.292751	 	 	 	 
141	170.81932	21.314774	 	 	 	 
142	170.69751	21.319523	 	 	 	 
143	170.61877	21.290724	 	 	 	 
144	170.58957	21.358276	 	 	 	 
145	170.5524	21.430525	 	 	 	 
146	170.40056	21.454802	 	 	 	 
147	170.29115	21.551079	 	 	 	 
148	170.22902	21.672335	 	 	 	 
149	170.12712	21.710169	 	 	 	 
150	170.03273	21.858917	 	 	 	 
151	169.91844	21.875704	 	 	 	 
152	169.93114	21.982643	 	 	 	 
153	169.53262	22.028685	 	 	 	 
154	169.45828	22.180946	 	 	 	 
155	169.29955	22.238739	 	 	 	 
156	169.09372	22.338385	 	 	 	 
157	168.99437	22.403152	 	 	 	 
158	168.8736	22.4217	 	 	 	 
159	168.861	22.45964	 	 	 	 
160	168.80606	22.494394	 	 	 	 
161	168.63155	22.494427	 	 	 	 
162	168.67372	22.524498	 	 	 	 
163	168.71358	22.582314	 	 	 	 
164	168.66054	22.602564	 	 	 	 
165	168.69016	22.591722	 	 	 	 
166	168.7226	22.570469	 	 	 	 
167	168.61942	22.541294	 	 	 	 
168	168.6661	22.516722	 	 	 	 
169	168.81139	22.486607	 	 	 	 
170	168.9514	22.517878	 	 	 	 
171	168.99106	22.46197	 	 	 	 
172	169.17265	22.45852	 	 	 	 
173	169.41216	22.407658	 	 	 	 
174	169.51462	22.348145	 	 	 	 
175	169.72887	22.310598	 	 	 	 
176	169.89978	22.358902	 	 	 	 
177	170.02135	22.397753	 	 	 	 
178	170.13963	22.426802	 	 	 	 
179	170.18764	22.44382	 	 	 	 
180	170.17604	22.480877	 	 	 	 
181	170.21153	22.540724	 	 	 	 
182	170.23055	22.657835	 	 	 	 
183	170.25648	22.9239	 	 	 	 
184	170.23167	23.153889	 	 	 	 
185	170.13058	23.472097	 	 	 	 
186	170.23073	23.990503	 	 	 	 
187	170.43666	24.74	 	 	 	 
188	170.77393	25.530804	 	 	 	 
189	171.18614	26.530304	 	 	 	 
190	171.42169	27.661905	 	 	 	 
191	171.82037	28.944218	 	 	 	 
192	172.15105	30.359423	 	 	 	 
193	172.45653	31.95257	 	 	 	 
194	171.94554	45.524754	*	174.14342	15.822997	 
195	172.00418	49.117695	*	174.79948	15.484375	 
196	171.99324	52.93412	*	175.19656	15.038259	 
197	171.98889	57.18547	*	175.86198	14.692708	 
198	171.94273	61.710255	*	176.45801	14.221785	 
199	171.88936	66.508575	*	176.76526	13.831565	 
200	171.94852	71.65532	 	177.38564	13.50532	 
201	171.94092	77.03439	 	177.86676	13.170185	 
202	171.9258	82.765015	 	178.46875	13.0286455	 
203	171.9296	88.81194	 	178.50537	12.658602	 
204	171.91667	95.14493	 	178.96257	12.315508	 
205	171.96436	101.67916	 	179.6875	12.0755205	 
206	171.9584	108.753235	 	180.21802	11.839426	 
207	171.953	115.99624	 	180.0658	11.623684	 
208	171.93585	123.5717	 	180.16133	11.510667	 
209	171.92857	131.50761	 	180.12766	11.441489	 
210	171.92525	139.78932	 	180.23459	11.459785	 
211	171.9793	148.20216	 	180.21466	11.452	 
212	171.86707	157.0377	 	180.01466	11.532	 
213	171.92596	166.22414	 	180.04424	11.66622	 
214	171.92535	175.67383	 	179.61957	11.872283	 
215	171.91649	185.39072	 	179.64706	11.983957	 
216	171.93633	195.59395	 	178.90161	12.211591	 
217	171.90384	206.04701	 	178.71858	12.423497	 
218	171.94731	216.65913	 	178.48369	12.5625	 
219	171.93573	227.73747	 	178.32655	12.695122	 
220	171.91907	238.97006	 	177.55376	12.755377	 
221	171.96875	250.62053	 	177.37366	13.005377	 
222	171.93567	262.54514	 	177.08379	13.083784	 
223	171.89726	274.879	 	176.95529	13.166667	 
224	171.87352	287.45508	 	176.80054	13.170213	 
225	171.96136	300.25177	 	176.92706	13.293103	 
226	171.88039	313.4091	 	176.84317	13.325737	 
227	171.89659	327.00122	 	176.77689	13.360215	 
228	171.88916	340.7069	 	176.88753	13.394309	 
229	171.79771	354.87912	 	176.9744	13.37062	 
230	171.86775	369.1675	 	176.85405	13.335135	 
231	171.90256	383.78204	 	176.93549	13.336021	 
232	171.82892	398.72546	 	177.01613	13.357527	 
233	171.88258	414.00397	 	177.05284	13.3672085	 
234	171.91115	429.6777	 	177.05914	13.346774	 
235	171.88171	445.5	 	177.20161	13.311828	 
236	171.8515	461.579	 	177.16397	13.344086	 
237	171.87709	478.0475	 	177.14516	13.376344	 
238	171.94633	494.72034	 	177.01352	13.345946	 
239	171.78242	511.76514	 	177.02815	13.355227	 
240	171.85548	528.88727	 	177.00807	13.3494625	 
241	171.94508	546.42194	 	176.75468	13.344504	 
242	171.99118	564.3294	 	176.68329	13.351752	 
243	172.00294	582.3647	 	176.60992	13.352547	 
244	171.96356	600.64575	 	176.69302	13.355227	 
245	171.87686	619.227	 	176.55066	13.345333	 
246	171.97717	638.715	 	176.71066	13.345333	 
247	171.81834	632.4723	 	176.78226	13.344086	 
248	171.63284	625.6753	 	176.75201	13.269437	 
249	171.45396	619.72284	 	176.49466	13.18	 
250	171.31378	614.3771	 	176.78494	13.201612	 
251	171.03578	609.13855	 	176.79866	13.14	 
252	170.97533	604.2623	 	177.33379	13.022788	 
253	170.86363	599.5109	 	177.16133	12.8706665	 
254	170.61511	595.21045	 	177.42473	12.841398	 
255	170.55756	591.3165	 	177.26064	12.896276	 
256	170.27034	587.8291	 	177.24133	12.913333	 
257	170.12724	584.27954	 	177.25734	12.862667	 
258	169.9508	581.0635	 	177.36792	12.75876	 
259	169.82513	578.3928	 	177.31183	12.755377	 
260	169.56738	576.0	 	177.0457	12.908602	 
261	169.46114	573.8604	 	177.32759	12.908488	 
262	169.34248	571.86816	 	177.30054	12.856383	 
263	169.19026	570.31415	 	177.02846	12.911924	 
264	168.9595	569.06335	 	177.03226	12.991936	 
265	168.65317	568.088	 	176.7573	13.033156	 
266	168.65358	567.4145	 	176.70317	13.080475	 
267	168.57895	566.9825	 	176.74734	13.053191	 
268	168.39241	566.99384	 	176.52388	13.030504	 
269	168.24205	567.19434	 	176.29256	12.973404	 
270	168.00441	567.7804	 	176.37599	12.937995	 
271	167.88461	568.63983	 	176.4029	12.901575	 
272	167.74911	569.85333	 	176.51323	12.769841	 
273	167.5266	571.2961	 	176.4314	12.740106	 
274	167.38849	573.10706	 	176.25066	12.733596	 
275	167.14601	575.123	 	176.1649	12.529024	 
276	167.0	577.54254	 	176.54813	12.494653	 
277	166.79822	580.1857	 	176.39276	12.454424	 
278	166.67857	583.21783	 	176.30429	12.451742	 
279	166.55606	586.63745	 	176.28168	12.4002695	 
280	166.43166	590.15466	 	176.58202	12.285714	 
281	166.21892	593.96844	 	176.59091	12.053476	 
282	166.0173	598.1193	 	177.084	11.873333	 
283	165.90182	602.58	 	177.04279	11.770054	 
284	165.7156	607.5	 	177.22311	11.693548	 
285	165.63445	612.5129	 	177.52652	11.619364	 
286	165.55	617.8148	 	177.34718	11.591153	 
287	165.3963	623.54443	 	177.25406	11.481081	 
288	165.02043	630.17316	 	177.31168	11.399204	 
289	164.97852	638.8596	 	177.356	11.422667	 
290	164.86517	638.6727	 	177.30429	11.403485	 
291	164.61813	633.78784	 	177.36702	11.414893	 
292	164.53362	631.42773	 	177.15776	11.374331	 
293	164.30067	629.3108	 	177.0915	11.375332	 
