Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3
Tracks,1,to,3,,,,,,
1,135.07579,32.11645,,,,,,,
2,135.08041,32.110905,,,,,,,
3,135.16019,32.116665,,,,,,,
4,135.28445,32.19843,,,,,,,
5,135.31348,32.210987,,,,,,,
6,135.36844,32.160534,,,,,,,
7,135.51198,32.21823,,,,,,,
8,135.54529,32.23013,,,,,,,
9,135.59233,32.23315,,,,,,,
10,135.63654,32.2417,,,,,,,
11,135.80147,32.326286,,,,,,,
12,135.8321,32.332104,,,,,,,
13,135.93651,32.331326,,,,,,,
14,135.99025,32.374653,,,,,,,
15,136.15498,32.464024,,,,,,,
16,136.32336,32.583717,,,,,,,
17,136.50275,32.733517,,,,,,,
18,136.81215,32.89687,,,,,,,
19,136.80699,32.94853,,,,,,,
20,137.00462,33.21257,,,,,,,
21,137.07735,33.360035,,,,,,,
22,137.47792,33.828426,,,,,,,
23,137.95206,34.45251,,,,,,,
24,138.49817,35.239212,,,,,,,
25,139.12704,36.19964,,,,,,,
26,139.76102,37.22575,,,,,,,
27,140.69572,38.521366,,,,,,,
28,141.4245,39.69295,,,,,,,
29,,,,,,,,,
30,146.24608,58.30094,,,,,,,
31,146.5,61.990566,*,,,,,,
32,146.694,65.88013,*,,,,,,
33,146.844,70.0904,*,,,,,,
34,147.15317,74.59563,,,,,,,
35,147.27383,79.47415,,,,,,,
36,147.5049,84.52121,,,,,,,
37,147.75662,89.94371,,,,,,,
38,147.9426,95.75125,,,,,,,
39,148.10269,101.840065,,,,,,,
40,148.40273,108.2884,,,,,,,
41,148.56207,115.01207,,,,,,,
42,148.73909,122.07068,,,,,,,
43,148.89716,129.47163,,,,,,,
44,149.18929,137.1,,,,,,,
45,149.39587,145.25404,,,,,,,
46,149.51645,153.48172,,,,,,,
47,149.82156,162.2342,,,,,,,
48,149.98703,171.05,,,,,,,
49,150.06143,180.5208,,,,,,,
50,150.3173,190.08653,,,,,,,
51,150.56577,199.9971,,,,,,,
52,150.69406,210.2901,,,,,,,
53,150.93687,220.8447,,,,,,,
54,151.16934,231.71843,,,,,,,
55,151.44044,242.96407,,,,,,,
56,151.5883,254.47742,,,,,,,
57,151.73236,266.29047,,,,,,,
58,151.98837,278.3943,,,,,,,
59,152.26874,291.03534,,,,,,,
60,152.46739,303.79565,,,,,,,
61,152.59868,316.86185,,,,,,,
62,152.79955,330.33334,,,,,,,
63,153.00342,344.07858,,,,,,,
64,153.22621,358.1311,,,,,,,
65,153.493,372.4743,,,,,,,
66,153.6256,387.06873,,,,,,,
67,153.88647,402.1087,,,,,,,
68,154.08394,417.25427,,,,,,,
69,154.35785,432.91913,,,,,,,
70,154.49754,448.7857,,,,,,,
71,154.72444,464.93393,,,,,,,
72,154.97237,481.41708,,,,,,,
73,155.22467,498.13116,,,,,,,
74,155.36388,515.17804,,,,,,,
75,155.65445,532.41364,,,,,,,
76,155.7968,550.0802,,,,,,,
77,156.06757,567.9568,,,,,,,
78,156.2946,586.0973,,,,,,,
79,156.64247,604.5,,,,,,,
80,156.75067,623.1442,,,,,,,
81,157.15742,648.2032,,,,,,,
82,157.2388,643.82306,,,,,,,
83,157.65079,637.00635,,,,,,,
84,157.94171,630.3916,,,,,,,
85,158.22603,623.8613,,,,,,,
86,158.5292,618.2371,,,,,,,
87,158.88527,612.8339,,,,,,,
88,159.3569,607.793,,,,,,,
89,159.72504,603.02625,,,,,,,
90,159.96512,598.6711,,,,,,,
91,160.22652,594.6091,,,,,,,
92,160.54515,590.7057,,,,,,,
93,160.88245,587.2053,,,,,,,
94,161.19852,584.0634,,,,,,,
95,161.44917,581.24756,,,,,,,
96,161.93066,578.63214,,,,,,,
97,162.23978,576.3396,,,,,,,
98,162.55049,574.4104,,,,,,,
99,162.78221,572.75287,,,,,,,
100,163.13768,571.45654,,,,,,,
101,163.50163,570.4268,,,,,,,
102,163.94444,569.79083,,,,,,,
103,164.22403,569.32306,,,,,,,
104,164.55177,569.23303,,,,,,,
105,164.81987,569.4499,,,,,,,
106,165.20274,570.01215,,,,,,,
107,165.59984,570.92676,,,,,,,
108,165.93903,572.1504,,,,,,,
109,166.18791,573.62744,,,,,,,
110,166.4307,575.51483,,,,,,,
111,166.7255,577.5817,,,,,,,
112,167.13934,580.04755,,,,,,,
113,167.50827,582.66364,,,,,,,
114,167.91264,585.80115,,,,,,,
115,168.13272,589.28467,,,,,,,
116,168.53172,592.7187,,,,,,,
117,168.82718,596.70807,,,,,,,
118,169.10336,600.9706,,,,,,,
119,169.59444,605.72595,,,,,,,
120,169.99832,610.55707,,,,,,,
121,170.2687,615.80444,,,,,,,
122,170.44339,621.2547,,,,,,,
123,170.8289,627.4784,,,,,,,
124,171.23398,634.07214,,,,,,,
125,171.68819,640.8608,,,,,,,
126,172.12746,650.996,,,,,,,
127,172.30925,650.52893,,,,,,,
128,172.42024,643.70087,,,,,,,
129,172.69098,641.09247,,,,,,,
130,173.00076,638.9871,,,,,,,
131,173.33308,637.0842,,,,,,,
132,173.6777,635.4699,,,,,,,
133,174,634.1559,,,,,,,
134,174.25267,633.103,,,,,,,
135,174.4878,632.5626,,,,,,,
136,174.84138,632.2719,,,,,,,
137,175.30121,632.327,,,,,,,
