Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
1	135.07579	32.11645	 	 	 	 	 	 	 
2	135.08041	32.110905	 	 	 	 	 	 	 
3	135.16019	32.116665	 	 	 	 	 	 	 
4	135.28445	32.19843	 	 	 	 	 	 	 
5	135.31348	32.210987	 	 	 	 	 	 	 
6	135.36844	32.160534	 	 	 	 	 	 	 
7	135.51198	32.21823	 	 	 	 	 	 	 
8	135.54529	32.23013	 	 	 	 	 	 	 
9	135.59233	32.23315	 	 	 	 	 	 	 
10	135.63654	32.2417	 	 	 	 	 	 	 
11	135.80147	32.326286	 	 	 	 	 	 	 
12	135.8321	32.332104	 	 	 	 	 	 	 
13	135.93651	32.331326	 	 	 	 	 	 	 
14	135.99025	32.374653	 	 	 	 	 	 	 
15	136.15498	32.464024	 	 	 	 	 	 	 
16	136.32336	32.583717	 	 	 	 	 	 	 
17	136.50275	32.733517	 	 	 	 	 	 	 
18	136.81215	32.89687	 	 	 	 	 	 	 
19	136.80699	32.94853	 	 	 	 	 	 	 
20	137.00462	33.21257	 	 	 	 	 	 	 
21	137.07735	33.360035	 	 	 	 	 	 	 
22	137.47792	33.828426	 	 	 	 	 	 	 
23	137.95206	34.45251	 	 	 	 	 	 	 
24	138.49817	35.239212	 	 	 	 	 	 	 
25	139.12704	36.19964	 	 	 	 	 	 	 
26	139.76102	37.22575	 	 	 	 	 	 	 
27	140.69572	38.521366	 	 	 	 	 	 	 
28	141.4245	39.69295	 	 	 	 	 	 	 
29	 	 	 	 	 	 	 	 	 
30	 	 	 	138.78316	25.207886	 	146.24608	58.30094	 
31	 	 	 	139.53664	24.785715	*	146.5	61.990566	*
32	 	 	 	140.61281	24.326004	*	146.694	65.88013	*
33	 	 	 	141.9339	24.157356	*	146.844	70.0904	*
34	 	 	 	142.66989	23.64865	*	147.15317	74.59563	 
35	 	 	 	143.76129	23.437132	 	147.27383	79.47415	 
36	 	 	 	144.82213	22.887352	 	147.5049	84.52121	 
37	 	 	 	145.90613	22.665306	 	147.75662	89.94371	 
38	 	 	 	146.6626	22.162601	 	147.9426	95.75125	 
39	 	 	 	147.75417	22.035418	 	148.10269	101.840065	 
40	 	 	 	148.3826	21.52306	 	148.40273	108.2884	 
41	 	 	 	149.20613	21.178646	 	148.56207	115.01207	 
42	 	 	 	150.00769	21.06044	 	148.73909	122.07068	 
43	 	 	 	150.3445	20.5	 	148.89716	129.47163	 
44	 	 	 	150.63232	20.419739	 	149.18929	137.1	 
45	 	 	 	151.49777	20.439867	 	149.39587	145.25404	 
46	 	 	 	151.91496	20.35034	 	149.51645	153.48172	 
47	 	 	 	151.86652	20.02715	 	149.82156	162.2342	 
48	 	 	 	151.80338	19.962921	 	149.98703	171.05	 
49	 	 	 	151.68962	19.94921	 	150.06143	180.5208	 
50	 	 	 	151.70776	20.031963	 	150.3173	190.08653	 
51	 	 	 	151.36867	20.059908	 	150.56577	199.9971	 
52	 	 	 	150.69377	20.016705	 	150.69406	210.2901	 
53	 	 	 	150.12938	19.79386	 	150.93687	220.8447	 
54	 	 	 	149.65707	20.115044	 	151.16934	231.71843	 
55	 	 	 	149.4	20.368889	 	151.44044	242.96407	 
56	 	 	 	148.6332	20.412664	 	151.5883	254.47742	 
57	 	 	 	147.93695	20.371738	 	151.73236	266.29047	 
58	 	 	 	147.34087	20.540861	 	151.98837	278.3943	 
59	 	 	 	146.69829	20.615139	 	152.26874	291.03534	 
60	 	 	 	146.42703	20.88412	 	152.46739	303.79565	 
61	 	 	 	145.78572	20.81884	 	152.59868	316.86185	 
62	 	 	 	145.25468	20.905405	 	152.79955	330.33334	 
63	 	 	 	144.9	20.937113	 	153.00342	344.07858	 
64	 	 	 	144.62474	20.926195	 	153.22621	358.1311	 
65	 	 	 	144.48947	20.994738	 	153.493	372.4743	 
66	 	 	 	144.44737	21.030527	 	153.6256	387.06873	 
67	 	 	 	144.45781	21.078058	 	153.88647	402.1087	 
68	 	 	 	144.3742	20.994669	 	154.08394	417.25427	 
69	 	 	 	144.16452	20.880646	 	154.35785	432.91913	 
70	 	 	 	144.36595	20.946808	 	154.49754	448.7857	 
71	 	 	 	144.55684	20.954737	 	154.72444	464.93393	 
72	 	 	 	144.50641	20.873932	 	154.97237	481.41708	 
73	 	 	 	145.02136	20.818377	 	155.22467	498.13116	 
74	 	 	 	145.1483	20.79661	 	155.36388	515.17804	 
75	 	 	 	145.13147	20.571121	 	155.65445	532.41364	 
76	 	 	 	145.33905	20.540773	 	155.7968	550.0802	 
77	 	 	 	145.39485	20.435623	 	156.06757	567.9568	 
78	 	 	 	145.46138	20.433475	 	156.2946	586.0973	 
79	 	 	 	145.6517	20.433762	 	156.64247	604.5	 
80	 	 	 	145.95064	20.480686	 	156.75067	623.1442	 
81	 	 	 	145.91684	20.37257	 	157.15742	648.2032	 
82	 	 	 	145.9375	20.383621	 	157.2388	643.82306	 
83	 	 	 	145.95042	20.372845	 	157.65079	637.00635	 
84	 	 	 	145.94301	20.409678	 	157.94171	630.3916	 
85	 	 	 	145.90558	20.403433	 	158.22603	623.8613	 
86	 	 	 	145.6207	20.443966	 	158.5292	618.2371	 
87	 	 	 	145.56291	20.491323	 	158.88527	612.8339	 
