Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5
Tracks,1,to,5,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,
29,158.60793,42.267284,,,,,,,,,,,,,
30,158.62628,45.80546,*,,,,,,,,,,,,
31,158.65952,49.77101,*,,,,,,,,,,,,
32,158.60088,54.065216,*,,,,,,,,,,,,
33,158.56818,58.791958,,,,,,,,,,,,,
34,158.73022,63.579086,,,,,,,,,,,,,
35,158.62411,68.913124,,,,,,,,,,,,,
36,158.49098,74.32852,,,,,,,,,,,,,
37,158.61252,80.18965,,,,,,,,,,,,,
38,158.50916,86.4359,,,,,,,,,,,,,
39,158.58534,92.69852,,,,,,,,,,,,,
40,158.41806,99.535385,,,,,,,,,,,,,
41,158.65572,106.597565,,,,,,,,,,,,,
42,158.5,114,,,,,,,,,,,,,
43,158.40752,121.75819,,,,,,,,,,,,,
44,158.48622,129.82086,,,,,,,,,,,,,
45,158.52959,138.05424,,,,,,,,,,,,,
46,158.53615,146.71486,,,,,,,,,,,,,
47,158.57362,155.62679,,,,,,,,,,,,,
48,158.5186,164.95041,,,,,,,,,,,,,
49,158.37657,174.61716,,,,,,,,,,,,,
50,158.46187,184.53178,,,,,,,,,,,,,
51,158.46747,194.8167,,,,,,,,,,,,,
52,158.56593,205.28462,,,,,,,,,,,,,
53,158.44456,216.16519,,,,,,,,,,,,,
54,158.55643,227.38713,,,,,,,,,,,,,
55,158.46606,238.90045,,,,,,,,,,,,,
56,158.4977,250.7281,,,,,,,,,,,,,
57,158.4555,262.8583,,,,,,,,,,,,,
58,158.4078,275.35815,,,,,,,,,,,,,
59,158.52196,288.0561,,,,,,,,,,,,,
60,158.45297,301.0619,,,,,,,,,,,,,
61,158.61,314.5775,,,,,,,,,,,,,
62,158.4596,328.19193,,,,,,,,,,,,,
63,158.52571,342.2095,,,,,,,,,,,,,
64,158.43964,356.46063,,,,,,,,,,,,,
65,158.47098,371.1016,,,,,,,,,,,,,
66,158.48082,386.02054,,,,,,,,,,,,,
67,158.60411,401.28357,,,,,,,,,,,,,
68,158.38673,416.80664,,,,,,,,,,,,,
69,158.44693,432.63968,,,,,,,,,,,,,
70,158.44318,448.7699,,,,,,,,,,,,,
71,158.50285,465.08856,,,,,,,,,,,,,
72,158.46811,481.8884,,,,,,,,,,,,,
73,158.54118,498.82648,,,,,,,,,,,,,
74,158.5267,516.09644,,,,,,,,,,,,,
75,158.41515,533.51514,,,,,,,,,,,,,
76,158.5,551.4908,,,,,,,,,,,,,
77,158.57098,569.5617,,,,,,,,,,,,,
78,158.51898,587.86395,,,,,,,,,,,,,
79,158.59938,606.56525,,,,,,,,,,,,,
