Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
1	163.84013	18.350859	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	163.617	18.526003	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	163.25	18.658297	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	163.16667	18.796537	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	162.94731	18.977419	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	162.60991	19.20474	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	162.43642	19.377155	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	162.3854	19.50973	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	162.24353	19.619612	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	161.97896	19.679071	 	260.06683	680.6659	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	161.88321	19.842304	 	261.925	680.76	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	161.79828	19.962446	 	258.71597	680.8005	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	161.7262	20.041126	 	261.4014	680.6174	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	161.67584	20.117044	 	262.21234	680.5822	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	161.48822	20.091007	 	262.40195	680.6961	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	161.40323	20.112904	 	260.92856	680.68097	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	161.47852	20.167025	 	260.3853	680.66516	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	161.44731	20.144087	 	260.26328	680.78503	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	161.3871	20.084946	 	261.11612	680.7275	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	161.38077	20.075726	 	263.2324	680.44366	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
