Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5
Tracks,1,to,5,,,,,,,,,,,,
1,156.99075,21.913826,9.470834,673.825,288.2689,676.5222,,,,,,,,,
2,157.0273,21.909357,9.207224,672.903,289.7575,675.98926,,,,,,,,,
3,156.97435,21.836884,9.822709,673.6633,288.60214,676.09576,,,,,,,,,
4,157.07115,21.753845,8.88247,673.2729,288.9115,676.38055,,,,,,,,,
5,157.41287,21.797194,8.920635,672.9881,289.70175,675.9737,,,,,,,,,
6,157.74805,21.920233,8.997992,673.26306,290.1913,675.8826,,,,,,,,,
7,158.10371,22.10176,9.190988,673.7446,290.83478,675.8087,,,,,,,,,
8,158.45084,22.23353,9.31405,673.6074,288.97726,676.33185,,,,,,,,,
9,158.84264,22.42231,8.035088,673.2895,289.79767,676.2302,,,,,,,,,
10,158.81934,22.427734,9.590164,673.8074,289.65112,676.1311,,,,,,,,,
11,158.82523,22.54187,9.416996,673.30634,288.27365,676.15845,,,,,,,,,
12,159.4444,23.059025,9.012712,673.38983,289.44037,676.3073,,,,,,,,,
13,159.93811,23.70727,8.9754095,673.2705,289.75104,675.9815,,,,,,,,,
14,160.26341,24.418583,9.232794,673.43115,289.52667,676.06445,,,,,,,,,
15,160.5733,25.342106,9.3307085,673.1811,289.8407,676.0398,,,,,,,,,
16,161.28236,26.283287,9.453975,673.7092,288.6911,676.2156,,,,,,,,,
17,161.63222,27.302101,9.552,673.356,288.86325,675.9163,,,,,,,,,
18,162.18327,28.450169,8.778688,673.04095,289.44467,675.94257,,,,,,,,,
19,,,,,,,,,,,,,,,
20,164.06557,45.57705,,,,,,,,,,,,,
21,164.23102,49.130363,*,,,,,,,,,,,,
22,164.36855,53.01581,*,,,,,,,,,,,,
23,164.60811,57.32939,*,,,,,,,,,,,,
24,164.8,61.681355,*,,,,,,,,,,,,
25,164.92294,66.553085,,,,,,,,,,,,,
26,165.09863,71.62865,,,,,,,,,,,,,
27,165.29684,77.11296,,,,,,,,,,,,,
28,165.43982,82.79912,,,,,,,,,,,,,
29,165.55357,88.79822,,,,,,,,,,,,,
30,165.79623,95.10682,,,,,,,,,,,,,
31,165.90654,101.743195,,,,,,,,,,,,,
32,166.1059,108.73941,,,,,,,,,,,,,
33,166.25093,116.02974,,,,,,,,,,,,,
34,166.34906,123.63585,,,,,,,,,,,,,
35,166.48102,131.52846,,,,,,,,,,,,,
36,166.70616,139.87187,,,,,,,,,,,,,
37,166.85672,148.31676,,,,,,,,,,,,,
38,167.08928,157.08333,,,,,,,,,,,,,
39,167.25,166.348,,,,,,,,,,,,,
40,167.29471,175.71748,,,,,,,,,,,,,
41,167.47331,185.58418,,,,,,,,,,,,,
42,167.62682,195.64761,,,,,,,,,,,,,
43,167.79936,206.09236,,,,,,,,,,,,,
44,167.95726,216.77563,,,,,,,,,,,,,
45,168.0262,227.8559,,,,,,,,,,,,,
46,168.1967,239.089,,,,,,,,,,,,,
47,168.34035,250.79268,,,,,,,,,,,,,
48,168.48405,262.65033,,,,,,,,,,,,,
49,168.65103,275.01486,,,,,,,,,,,,,
50,168.72325,287.56744,,,,,,,,,,,,,
51,168.87115,300.4858,,,,,,,,,,,,,
52,169.05188,313.60614,,,,,,,,,,,,,
53,169.1335,327.07037,,,,,,,,,,,,,
54,169.26848,340.90393,,,,,,,,,,,,,
55,169.40955,354.99496,,,,,,,,,,,,,
56,169.56923,369.36923,,,,,,,,,,,,,
57,169.66624,384.07034,,,,,,,,,,,,,
58,169.77792,399.07922,,,,,,,,,,,,,
59,169.82533,414.34,,,,,,,,,,,,,
60,169.95946,429.87567,,,,,,,,,,,,,
61,170.1756,445.7681,,,,,,,,,,,,,
62,170.25482,461.91873,,,,,,,,,,,,,
63,170.34445,478.22778,,,,,,,,,,,,,
64,170.46045,494.96045,,,,,,,,,,,,,
65,170.5625,511.98865,,,,,,,,,,,,,
66,170.7093,529.1221,,,,,,,,,,,,,
67,170.74179,546.77167,,,,,,,,,,,,,
