Frame,X1,Y1,Flag1,X2,Y2,Flag2
Tracks,1,to,2,,,
1,140.90125,18.835758,,,,
2,140.74689,18.862034,,,,
3,140.39513,18.988058,,,,
4,140.04132,19.075413,,,,
5,139.89503,19.273527,,,,
6,139.93658,19.546778,,,,
7,139.93156,19.823929,,,,
8,139.8024,19.911888,,,,
9,139.51955,20.014402,,,,
10,139.22513,20.164616,,,,
11,138.91386,20.334862,,,,
12,138.86179,20.447155,,,,
13,138.81409,20.527355,,,,
14,138.88821,20.619919,,,,
15,138.80707,20.820202,,,,
16,138.86032,20.992914,,,,
17,138.94196,21.045824,,,,
18,139.27213,21.174465,,,,
19,139.65709,21.544147,,,,
20,139.62207,21.728891,,,,
21,139.99496,21.988934,,,,
22,140.73776,22.741837,,,,
23,140.93297,23.08987,,,,
24,141.89177,24.093536,,,,
25,142.35796,24.774548,,,,
26,142.94788,25.791931,,,,
27,143.70544,26.983757,,,,
28,144.19731,28.167824,,,,
29,143.38576,43.304634,*,,,
30,143.58472,46.800663,*,,,
31,143.68425,50.652428,*,,,
32,143.84958,54.770588,*,,,
33,144.04932,59.238094,*,,,
34,144.18213,63.878006,,,,
35,144.36435,69.01305,,,,
36,144.6119,74.25,,,,
37,144.70987,80.007935,,,,
38,144.8675,85.97173,,,,
39,145.01958,92.22954,,,,
40,145.21066,98.85262,,,,
41,145.30882,105.67279,,,,
42,145.42764,113.00464,,,,
43,145.53358,120.51492,,,,
44,145.80095,128.34952,,,,
45,145.82301,136.53674,,,,
46,145.99902,144.9403,,,,
47,146.04167,153.89087,,,,
48,146.2751,162.95583,,,,
49,146.36586,172.44919,,,,
50,146.41429,182.26123,,,,
51,146.6719,192.27568,,,,
52,146.80084,202.58263,,,,
53,146.88065,213.15807,,,,
54,147.0674,224.21521,,,,
55,147.12889,235.5689,,,,
56,147.27902,247.12947,,,,
57,147.38367,259.0593,,,,
58,147.57535,271.363,,,,
59,147.7194,283.7656,,,,
60,147.75,296.7262,,,,
61,147.90192,309.97128,,,,
62,147.98668,323.33536,,,,
63,148.14691,337.09506,,,,
64,148.26962,351.15317,,,,
65,148.38571,365.5987,,,,
66,148.4065,380.37793,,,,
67,148.52106,395.3342,,,,
68,148.65508,410.5508,,,,
69,148.72011,426.23642,,,,
70,148.86188,442.0442,,,,
71,149.04167,458.12778,,,,
72,149.01549,474.57324,,,,
73,149.26988,491.18182,,,,
74,149.1753,508.21838,,,,
75,149.47935,525.4587,,,,
76,149.54749,543.1469,,,,
77,149.66272,560.929,,,,
78,149.77327,579.0616,,,,
79,149.83731,597.47015,,,,
80,149.96951,616.061,,,,
81,150.0092,632.1619,,,,
82,150.0293,621.4433,,,,
83,150.00102,611.3507,,,,
84,150.07692,602.09314,,,,
85,149.98578,593.36383,,,,
86,149.9531,584.8653,,,,
87,150.09,576.49,,,,
88,150.23175,568.4665,,,,
89,150.22427,560.9214,,,,
90,150.07535,553.7955,,,,
91,150.08687,546.7973,,,,
92,150.15958,540.0184,,,,
93,150.10115,533.51337,,,,
94,150.06015,527.4398,,,,
95,149.97835,521.7825,,,,
96,150.11539,516.2486,,,,
97,150.08456,510.8842,,,,
98,150.02757,506.09192,,,,
99,149.9754,501.4745,,,,
100,150.03069,497.13538,,,,
101,150.11331,493.18704,,,,
102,150.09822,489.44464,,,,
103,150.04382,486.10107,,,,
104,150.0265,483.08127,,,,
105,150.0823,480.32654,,,,
106,150.00963,477.81,,,,
107,149.98607,475.75784,,,,
108,149.90593,473.89026,,,,
109,149.89757,472.5868,,,,
110,149.83044,471.31488,,,,
111,149.82928,470.46014,,,,
112,149.76471,469.8685,,,,
113,149.78793,469.65173,,,,
114,149.78793,469.65173,,,,
115,149.73965,469.9431,,,,
116,149.74048,470.6315,,,,
117,149.6774,471.58694,,,,
118,149.63391,472.93478,,,,
119,149.69757,474.43414,,,,
120,149.6359,476.27527,,,,
121,149.59059,478.5,,,,
122,149.52988,481.06238,,,,
123,149.48767,483.92783,,,,
124,149.52988,487.06238,,,,
125,149.34752,490.61523,,,,
126,149.27957,494.42294,,,,
127,149.2509,498.45877,,,,
128,149.26619,502.82193,,,,
129,149.16118,507.57693,,,,
130,149.1461,512.49274,,,,
131,149.08748,517.7118,,,,
132,149.06796,523.44226,,,,
