Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
1	149.70247	20.962317	 	1.1666666	562.2664	 	 	 	 
2	149.56718	20.821388	 	1.1642857	559.90955	 	 	 	 
3	149.62346	20.733446	 	1.15625	560.39185	 	 	 	 
4	149.77405	20.646532	 	1.1642686	560.5024	 	 	 	 
5	149.89613	20.536322	 	1.1714628	561.4017	 	 	 	 
6	149.94406	20.32486	 	1.1682577	560.4308	 	 	 	 
7	149.85674	20.227066	 	1.1642857	560.21906	 	 	 	 
8	149.87274	20.126125	 	1.1642857	559.9143	 	 	 	 
9	149.60986	19.994394	 	1.1690476	560.3571	 	 	 	 
10	149.60948	20.00903	 	1.1618358	561.2923	 	 	 	 
11	149.61237	19.961975	 	1.1618358	560.91785	 	 	 	 
12	149.51129	19.873589	 	1.1642512	561.0773	 	 	 	 
13	149.54285	19.858511	 	1.1586539	560.6394	 	 	 	 
14	149.55193	19.848759	 	1.1529126	560.7888	 	 	 	 
15	149.60294	19.858597	 	1.1569343	561.1764	 	 	 	 
16	149.52376	19.847284	 	1.1618705	560.6559	 	 	 	 
17	149.54402	19.852144	 	1.1658654	560.9303	 	 	 	 
18	149.51701	19.903627	 	1.1674641	560.6842	 	 	 	 
19	149.51698	19.963194	 	1.1578947	559.9067	 	 	 	 
20	149.40848	19.953108	 	1.1579572	559.72565	 	 	 	 
21	149.35762	19.966667	 	1.1594725	560.28656	 	 	 	 
22	149.28911	20.004536	 	1.172209	560.67816	 	 	 	 
23	149.25227	20.07159	 	1.1554217	560.65424	 	 	 	 
24	149.18285	20.15237	 	1.1729412	559.9353	 	 	 	 
25	148.97398	20.145927	 	1.1571429	559.7976	 	 	 	 
26	148.88068	20.2	 	1.1730769	561.7836	 	 	 	 
27	148.85234	20.269669	 	1.1578313	560.4446	 	 	 	 
28	148.81442	20.420546	 	1.1674641	560.83014	 	 	 	 
29	148.57483	20.45805	 	1.1674699	561.5386	 	 	 	 
30	148.51698	20.543036	 	1.1618705	560.6943	 	 	 	 
31	148.58023	20.643503	 	1.1609756	561.7634	 	 	 	 
32	148.66647	20.710646	 	1.1650717	560.4928	 	 	 	 
33	148.58774	20.772217	 	1.1506025	560.0542	 	 	 	 
34	148.37274	20.802927	 	1.1618705	560.44006	 	 	 	 
35	148.22565	20.804592	 	1.1642857	559.89526	 	 	 	 
36	148.07254	20.85491	 	1.1619048	560.11664	 	 	 	 
37	148.0	20.928411	 	1.1698338	560.2245	 	 	 	 
38	147.9316	21.060623	 	1.172209	560.6639	 	 	 	 
39	147.88522	21.218925	 	1.1690476	560.39764	 	 	 	 
40	147.7486	21.230124	 	1.1563246	559.9153	 	 	 	 
41	147.60544	21.337957	 	1.1698564	560.67706	 	 	 	 
42	147.51112	21.423248	 	1.1587112	559.722	 	 	 	 
43	147.2651	21.64094	 	1.1578313	560.3988	 	 	 	 
44	147.12793	21.681005	 	1.160287	559.98804	 	 	 	 
45	147.10225	21.925842	 	1.1626794	560.5694	 	 	 	 
46	146.92682	22.010614	 	1.153753	560.5315	 	 	 	 
47	146.72359	22.150723	 	1.161017	561.04	 	 	 	 
48	146.56209	22.381374	 	1.1674699	561.4614	 	 	 	 
49	146.32222	22.52111	 	1.1610979	560.1754	 	 	 	 
50	146.39911	22.776052	 	1.1594725	560.57196	 	 	 	 
51	146.2412	23.047358	 	1.1618705	560.3897	 	 	 	 
52	146.13516	23.44835	 	1.1578947	560.10284	 	 	 	 
53	146.43115	24.121859	 	1.1586539	560.5961	 	 	 	 
54	146.41866	24.725597	 	1.1627078	559.9798	 	 	 	 
55	146.33585	25.696545	 	1.1627078	559.5665	 	 	 	 
56	146.47078	26.564718	 	1.1706161	560.4052	 	 	 	 
57	146.78862	27.646341	 	1.1610979	560.31384	 	 	 	 
58	146.88634	28.750732	 	1.1722488	561.0	 	 	 	 
59	144.06483	41.17673	*	1.1771084	561.83496	 	150.7746	15.820366	 
60	143.84697	44.537365	*	1.1618705	560.29376	 	151.46056	15.049884	 
61	143.55215	48.118706	*	1.1618005	562.0109	 	152.04185	14.562791	 
62	143.35481	51.959164	*	1.1522782	559.67267	 	152.06807	13.997653	 
63	143.08136	56.04662	*	1.1536585	561.1805	 	153.0401	13.669811	 
64	142.78757	60.5705	*	1.1553398	561.2354	 	153.14252	13.074766	 
65	142.61215	65.415886	*	1.1650367	562.1504	 	154.26279	12.772093	 
66	142.18301	70.528305	 	1.1545894	560.46136	 	154.3341	12.287383	 
67	142.02	75.81048	 	1.1642686	560.7782	 	155.32831	12.022041	 
68	141.88373	81.56783	 	1.1714628	561.452	 	155.2867	11.68578	 
69	141.6272	87.56262	 	1.1546763	560.07074	 	155.46504	11.493007	 
70	141.32874	93.96063	 	1.1658711	560.35443	 	155.66159	11.462529	 
71	141.13489	100.47971	 	1.1626794	560.5789	 	155.83963	11.3938675	 
72	140.89351	107.41481	 	1.1690476	560.68097	 	155.82784	11.400944	 
73	140.639	114.62033	 	1.1658767	559.7109	 	155.7766	11.417257	 
74	140.27802	122.35685	 	1.1642686	560.55273	 	155.70427	11.473872	 
75	140.06694	130.20293	 	1.1618705	560.4952	 	155.72588	11.7	 
76	139.76823	138.41417	 	1.160287	560.122	 	155.65715	11.92619	 
77	139.5066	146.96036	 	1.1650603	561.353	 	155.47852	12.199284	 
78	139.26457	155.75784	 	1.1642512	561.16907	 	154.86754	12.380669	 
79	138.95312	164.86385	 	1.1618358	561.029	 	154.62741	12.778846	 
80	138.69908	174.32379	 	1.1578947	559.80383	 	154.38489	12.970024	 
81	138.5117	184.08548	 	1.153012	560.4542	 	153.97585	13.169082	 
82	138.26941	194.2506	 	1.1618705	560.3777	 	153.84793	13.278589	 
