Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3
Tracks,1,to,3,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,144.29182,61.533073,,,,,,,
17,144.248,65.006,*,,,,,,
18,144.314,68.862,*,,,,,,
19,144.40631,72.93992,*,,,,,,
20,144.45464,77.328865,,,,,,,
21,144.4856,82.13169,,,,,,,
22,144.50626,87.05324,,,,,,,
23,144.64496,92.344536,,,,,,,
24,144.62979,97.94468,,,,,,,
25,144.71167,103.88445,,,,,,,
26,144.72638,110.12637,,,,,,,
27,144.72173,116.58869,,,,,,,
28,144.72046,123.26363,,,,,,,
29,144.7557,130.44064,,,,,,,
30,144.84741,137.80751,,,,,,,
31,144.90192,145.54546,,,,,,,
32,144.9431,153.54843,,,,,,,
33,144.82204,161.72034,,,,,,,
34,144.86699,170.50739,,,,,,,
35,144.91872,179.46306,,,,,,,
36,145.0204,188.68112,,,,,,,
37,145.02727,198.12338,,,,,,,
38,145.12239,208.02605,,,,,,,
39,145.15508,218.1738,,,,,,,
40,145.04768,228.60355,,,,,,,
41,145.13611,239.34166,,,,,,,
42,145.13585,250.42998,,,,,,,
43,145.11363,261.59375,,,,,,,
44,145.27745,273.263,,,,,,,
45,145.29411,285.2147,,,,,,,
46,145.07013,297.40854,,,,,,,
47,145.20589,309.98297,,,,,,,
48,145.20032,322.86594,,,,,,,
49,145.29874,336.02515,,,,,,,
50,145.1827,349.45193,,,,,,,
51,145.19806,363.33768,,,,,,,
52,145.05592,377.3454,,,,,,,
53,145.17003,391.5505,,,,,,,
54,145.21678,406.13986,,,,,,,
55,145.11348,421.04965,,,,,,,
56,145.07454,436.30365,,,,,,,
57,144.98755,451.75623,,,,,,,
58,145.08955,467.56345,,,,,,,
59,144.93024,483.4845,,,,,,,
60,144.8876,499.8411,,,,,,,
61,144.91406,516.47656,,,,,,,
62,144.89917,533.3354,,,,,,,
63,144.93951,550.63306,,,,,,,
64,144.94583,567.99585,,,,,,,
65,144.9,585.651,,,,,,,
66,144.86792,603.15094,,,,,,,
67,145.15877,595.7417,,,,,,,
68,145.47264,586.102,,,,,,,
69,145.76108,577.2069,,,,,,,
70,146.05853,568.53656,,,,,,,
71,146.21078,560.46075,,,,,,,
72,146.60757,552.3044,,,,,,,
73,147.05339,544.54614,,,,,,,
74,147.27565,537.0895,,,,,,,
75,147.60046,530.1916,,,,,,,
76,147.79813,523.507,,,,,,,
77,148.05972,516.99646,,,,,,,
78,148.37471,510.84802,,,,,,,
79,148.63014,504.94977,,,,,,,
80,148.84694,499.29138,,,,,,,
81,149.24266,493.71445,,,,,,,
82,149.51785,488.5268,,,,,,,
83,149.94124,483.8459,,,,,,,
84,150.14209,479.5282,,,,,,,
85,150.22017,475.47397,,,,,,,
86,150.57776,471.66632,,,,,,,
87,150.82832,468.31973,,,,,,,
88,150.97134,465.1136,,,,,,,
89,151.28769,462.21976,,,,,,,
90,151.56596,459.48724,,,,,,,
91,151.92227,457.16595,,,,,,,
92,152.24692,454.98148,,,,,,,
93,152.33644,453.206,,,,,,,
94,152.5883,451.77927,,,,,,,
95,152.97336,450.47745,,,,,,,
96,153.35155,449.56186,,,,,,,
97,153.4425,449.11603,,,,,,,
98,153.65433,449.0288,,,,,,,
99,153.84969,449.0542,,,,,,,
100,154.12604,449.52274,,,,,,,
101,154.33745,450.11316,,,,,,,
102,154.52658,451.2546,,,,,,,
103,154.68762,452.4031,,,,,,,
104,154.9796,453.9694,,,,,,,
105,155.32004,455.81494,,,,,,,
106,155.60187,457.79938,,,,,,,
107,155.67696,460.17078,,,,,,,
108,155.97699,463.0816,,,,,,,
109,156.1923,466.0031,,,,,,,
110,156.4555,469.44916,,,,,,,
111,156.52766,473.0617,,,,,,,
112,156.8049,477.0437,,,,,,,
113,156.91885,481.42105,,,,,,,
114,157.23491,486.01724,,,,,,,
115,157.42088,490.95276,,,,,,,
116,157.55435,496.1674,,,,,,,
117,157.8443,501.51096,,,,,,,
118,158.06114,507.31006,,,,,,,
119,158.32143,513.3125,,,,,,,
120,158.46445,519.5689,,,,,,,
121,158.61337,526.19617,,,,,,,
122,158.89436,533.1596,,,,,,,
123,159.07944,540.4136,,,,,,,
124,159.25119,548.09955,,,,,,,
125,159.47906,555.9907,,,,,,,
126,159.62172,564.15393,,,,,,,
127,159.77618,572.6619,,,,,,,
128,159.80072,581.68616,,,,,,,
129,160.05635,590.5456,,,,,,,
130,160.3534,600.89386,,,,,,,
131,160.53764,607.40015,,,,,,,
132,160.7207,600.41406,,,,,,,
133,161.08148,594.832,,,,,,,
134,161.55463,589.38654,,,,,,,
135,161.76141,584.5021,,,,,,,
136,161.97531,579.99384,,,,,,,
137,162.35072,575.81085,,,,,,,
138,162.69302,572.0236,,,,,,,
139,162.99284,568.5695,,,,,,,
140,163.14647,565.42725,,,,,,,
141,163.39134,562.63885,,,,,,,
142,163.63628,559.999,,,,,,,
143,163.88632,557.6429,,,,,,,
144,164.23984,555.6443,,,,,,,
145,164.55241,553.6835,,,,,,,
146,164.96494,552.0611,,,,,,,
147,165.2034,550.86273,,,,,,,
148,165.46443,549.9783,,,,,,,
149,165.67221,549.4178,,,,,,,
150,165.99803,549.15686,,,,,,,
151,166.24263,549.34674,,,,,,,
152,166.39902,549.9139,,,,,,,
153,166.56299,550.626,,,,,,,
154,166.95508,551.63086,,,,,,,
155,167.14764,552.89764,,,,,,,
156,167.48438,554.3242,,,,,,,
157,167.75494,556.22925,,,,,,,
158,167.9,558.27454,,,,,,,
159,168.0773,560.6194,,,,,,,
160,168.53944,563.24164,,,,,,,
161,168.60454,566.3659,,,,,,,
162,169.01772,569.72833,,,,,,,
163,169.13834,573.46045,,,,,,,
164,169.3681,577.5197,,,,,,,
165,169.63773,581.8713,,,,,,,
166,169.92516,586.5918,,,,,,,
167,170.06213,591.85895,,,,,,,
168,170.26704,597.3977,,,,,,,
169,170.50368,602.93384,,,,,,,
170,170.88754,610.6185,,,,,,,
171,171.1,609.5923,,,,,,,
172,171.2585,604.0349,,,,,,,
173,171.57706,600.5699,,,,,,,
174,171.88889,597.4319,,,,,,,
175,172.09743,594.78674,,,,,,,
176,172.25368,592.4228,,,,,,,
177,172.5921,590.0677,,,,,,,
178,172.77612,588.18286,,,,,,,
179,172.90935,586.8832,,,,,,,
180,173.10822,585.7519,,,,,,,
181,173.36304,585.061,,,,,,,
182,173.63644,584.4645,,,,,,,
183,173.84766,584.2252,,,,,,,
184,173.96542,584.2439,,,,,,,
185,174.23685,584.3703,,,,,,,
186,174.50928,584.8915,,,,,,,
187,174.7785,585.6907,,,,,,,
