Frame,X1,Y1,Flag1,X2,Y2,Flag2
Tracks,1,to,2,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,143.60019,54.07656,,,,
18,143.73709,57.63193,*,,,
19,143.83723,61.461014,*,,,
20,143.84758,65.53883,*,,,
21,143.9451,69.833336,,,,
22,143.91351,74.64115,,,,
23,144.01984,79.59127,,,,
24,144.0275,84.884926,,,,
25,144.08922,90.377594,,,,
26,144.14523,96.25726,,,,
27,144.09196,102.39641,,,,
28,144.28981,108.85669,,,,
29,144.35193,115.61588,,,,
30,144.28337,122.602844,,,,
31,144.44171,129.99327,,,,
32,144.43593,137.71053,,,,
33,144.4634,145.57094,,,,
34,144.49536,153.87123,,,,
35,144.54225,162.35211,,,,
36,144.50237,171.19977,,,,
37,144.59856,180.38942,,,,
38,144.59314,189.74265,,,,
39,144.6025,199.5225,,,,
40,144.81186,209.66237,,,,
41,144.81169,219.94156,,,,
42,144.70053,230.56596,,,,
43,144.86267,241.29466,,,,
44,144.684,252.58,,,,
45,144.83243,264.00137,,,,
46,144.8315,275.8177,,,,
47,144.7906,288.00427,,,,
48,144.76393,300.41202,,,,
49,144.70474,313.0638,,,,
50,144.86171,326.11703,,,,
51,144.74695,339.38416,,,,
52,144.82416,353.0168,,,,
53,144.73839,366.81888,,,,
54,144.64377,380.9313,,,,
55,144.70712,395.42233,,,,
56,144.78334,410.24,,,,
57,144.77063,425.22607,,,,
58,144.76,440.52335,,,,
59,144.64186,455.9602,,,,
60,144.78268,471.87103,,,,
61,144.68571,487.9357,,,,
62,144.60753,504.22403,,,,
63,144.6434,521.09247,,,,
64,144.64503,537.874,,,,
65,144.6711,555.1958,,,,
66,144.59195,572.6494,,,,
67,144.70244,586.0812,,,,
68,144.75157,579.8229,,,,
69,144.84848,573.8333,,,,
70,144.92418,568.68463,,,,
71,144.95119,563.8579,,,,
72,144.93546,559.3884,,,,
73,145.27705,555.0909,,,,
74,145.45503,550.97754,,,,
75,145.43008,547.1843,,,,
76,145.44714,543.95245,,,,
77,145.49167,541.0354,,,,
78,145.56795,538.24524,,,,
79,145.57143,535.92017,,,,
80,145.56694,533.6297,,,,
81,145.79854,531.6399,,,,
82,145.91042,529.85834,,,,
83,146.01149,528.35175,,,,
84,146.14949,527.3,,,,
85,146.06964,526.8347,,,,
86,146.20955,526.36725,,,,
87,146.42798,526.1667,,,,
88,146.30624,526.4875,,,,
89,146.29836,526.9465,,,,
90,146.3595,527.7872,,,,
91,146.4025,528.72614,,,,
92,146.59958,529.9253,,,,
93,146.65176,531.4231,,,,
94,146.59355,533.4522,,,,
95,146.70421,535.63684,,,,
96,146.74583,537.96875,,,,
97,146.77101,540.7794,,,,
98,146.88217,543.85455,,,,
99,146.86325,547.29913,,,,
100,146.92366,551.0398,,,,
101,146.96022,555.09784,,,,
102,146.91684,559.446,,,,
103,146.95181,563.88544,,,,
104,146.97845,568.74786,,,,
105,147.03763,573.8269,,,,
106,147.17017,579.67224,,,,
107,147.18034,585.88464,,,,
108,147.32434,584.4548,,,,
109,147.37668,581.0761,,,,
110,147.40347,578.9595,,,,
111,147.54102,577.4414,,,,
112,147.44246,576.2639,,,,
113,147.62749,575.31274,,,,
114,147.69038,574.4719,,,,
115,147.74803,573.9685,,,,
116,147.73611,574.0635,,,,
117,147.732,574.45,,,,
118,147.82341,574.87103,,,,
119,148.00682,575.6891,,,,
120,147.99307,576.77325,,,,
121,148.04669,578.10895,,,,
122,148.1954,579.78925,,,,
123,148.26236,581.8327,,,,
124,148.37735,585.4455,,,,
125,148.38553,585.7778,,,,
126,148.38602,584.59326,,,,
127,148.53738,582.5785,,,,
128,148.55084,582.05743,,,,
129,148.53752,581.95593,,,,
130,148.60922,581.9953,,,,
131,148.69662,582.3727,,,,
132,148.78119,583.0214,,,,
133,148.86967,585.2394,,,,
134,148.97449,586.051,,,,
135,149.10997,585.8333,,,,
136,149.23685,585.1842,,,,
137,149.3868,584.8362,,,,
138,149.35445,585.01715,,,,
139,149.30782,585.4762,,,,
140,149.51692,586.03973,,,,
141,149.52357,586.2054,,,,
142,149.58609,586.0695,,,,
143,149.57011,586.08264,,,,
144,149.6622,586.38464,,,,
145,149.74791,586.4715,,,,
146,149.88602,586.28705,,,,
147,149.97118,586.2364,,,,
148,150.04817,586.33057,,,,
149,150.16446,586.1794,,,,
150,150.29732,586.0896,,,,
151,150.34576,586.2479,,,,
152,150.37355,586.3153,,,,
153,150.50829,586.4154,,,,
154,150.53853,586.49164,,,,
155,150.6194,586.52155,,,,
156,150.70401,586.495,,,,
157,150.69934,586.5432,,,,
158,150.81291,586.4503,,,,
159,150.93405,586.44324,,,,
160,151.07877,586.44696,,,,
161,151.12541,586.34784,,,,
162,151.27205,586.41846,,,,
163,151.397,586.35547,,,,
164,151.4584,586.3453,,,,
165,151.565,586.335,,,,
166,151.54651,586.48175,,,,
167,151.62935,586.4353,,,,
168,151.62749,586.50995,,,,
169,151.69899,586.5641,,,,
170,151.82608,586.68225,,,,
171,151.87437,586.6398,,,,
172,151.95546,586.6496,,,,
173,151.9521,586.57227,,,,
174,152.05276,586.5335,,,,
175,152.19,586.6,,,,
176,152.1909,586.49176,,,,
177,152.31313,586.4933,,,,
178,152.29167,586.44165,,,,
179,152.37625,586.4682,,,,
180,152.4598,586.5067,,,,
181,152.4126,586.6933,,,,
182,152.47812,586.7963,,,,
183,152.5398,586.8217,,,,
184,152.56345,586.84393,,,,
185,152.6431,586.8078,,,,
186,152.66086,586.83,,,,
187,152.76237,586.6634,,,,
188,152.88689,586.6049,,,,
189,152.83333,586.6781,,,,
190,153.01236,586.5214,,,,
191,153.0181,586.54114,,,,
192,153.02931,586.7003,,,,
193,153.0817,586.7222,,,,
194,153.11201,586.8961,,,,
195,153.04935,586.95233,,,,
196,153.04071,586.9837,,,,
197,153.14485,586.9501,,,,
198,153.11827,586.97144,,,,
199,153.2157,586.8868,,,,
200,153.27318,586.793,,,,
201,153.30165,586.7099,,,,
202,153.33498,586.6881,,,,
203,153.35974,586.6667,,,,
204,153.39769,586.68646,,,,
205,153.42422,586.7142,,,,
206,153.36438,586.799,,,,
207,153.38506,586.84485,,,,
208,153.38092,586.8785,,,,
209,153.35948,587.1356,,,,
210,153.38852,587.0459,,,,
211,153.35971,587.0775,,,,
212,153.38052,587.0254,,,,
213,153.40834,587.027,,,,
214,153.42119,586.8711,,,,
215,153.56633,586.7156,,,,
216,153.51161,586.7852,,,,
217,153.57285,586.8361,,,,
218,153.59421,586.77936,,,,
219,153.54434,586.8744,,,,
220,153.56105,586.89606,,,,
221,153.523,587.10754,,,,
222,153.51833,587.06836,,,,
223,153.5398,587.1998,,,,
224,153.55107,587.2677,,,,
225,153.5796,587.11523,,,,
226,153.63223,587.0967,,,,
227,153.6957,586.85986,,,,
228,153.75658,586.9836,,,,
229,153.78926,586.9215,,,,
230,153.88449,586.92737,,,,
231,153.92503,586.9234,,,,
232,153.915,586.985,,,,
233,153.84933,586.9421,,,,
234,153.8812,587.13367,,,,
235,153.92905,587.24915,,,,
236,153.97029,587.26404,,,,
237,153.93163,587.3715,,,,
238,153.96469,587.303,,,,
239,153.97127,587.34235,,,,
240,154.05482,587.2807,,,,
241,154.02864,587.10394,,,,
242,154.15074,587.11285,,,,
243,154.12726,586.9893,,,,
244,154.1514,587.07446,,,,
245,154.15282,586.92523,,,,
246,154.12398,587.0681,,,,
247,154.11716,587.1238,,,,
248,154.05666,587.1913,,,,
249,154.06766,587.3713,,,,
250,154.01308,587.3742,,,,
251,154.06105,587.3762,,,,
252,154.08086,587.31354,,,,
253,154.12357,587.3069,,,,
254,154.13756,587.27264,,,,
255,154.16393,587.0947,,,,
256,154.1541,587.12134,,,,
257,154.17438,587.0207,,,,
258,154.19154,587.08704,,,,
259,154.20627,586.9934,,,,
260,154.0581,587.15137,,,,
261,154.08621,587.1798,,,,
262,154.04695,587.2331,,,,
263,154.04411,587.348,,,,
264,153.99016,587.282,,,,
265,154.00906,587.3221,,,,
266,154.06956,587.3658,,,,
267,154.04892,587.2363,,,,
268,154.07072,587.1283,,,,
269,154.08638,587.04486,,,,
270,154.10992,586.99255,,,,
271,154.14345,587.0257,,,,
272,154.10791,587.014,,,,
273,153.97595,587.14343,,,,
274,154.01645,587.1678,,,,
275,153.94499,587.1962,,,,
276,153.9852,587.2171,,,,
277,153.98853,587.3705,,,,
278,153.98524,587.29834,,,,
279,153.9335,587.3867,,,,
280,153.96942,587.26196,,,,
281,153.97855,587.1749,,,,
282,153.93657,586.95636,,,,
283,153.96469,587.00574,,,,
284,153.9307,586.85645,,,,
,,,,,,
Track,Length,Distance,traveled,Nr,of,Frames
1,109.39391,30.298407,264,,,
