Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
1	150.62286	21.484184	 	178.88753	690.2117	 	 	 	 
2	150.39038	21.48173	 	178.94795	690.21533	 	 	 	 
3	150.59558	21.703432	 	179.91753	690.2165	 	 	 	 
4	150.64513	21.79878	 	179.7438	690.22314	 	 	 	 
5	150.50847	21.744553	 	178.90877	690.2105	 	 	 	 
6	150.28156	21.728155	 	179.3865	690.21063	 	 	 	 
7	150.29878	21.811516	 	178.56505	690.20325	 	 	 	 
8	150.35922	21.896845	 	179.87616	690.21326	 	 	 	 
9	150.29782	21.978209	 	179.74467	690.19135	 	 	 	 
10	150.3163	22.032846	 	179.31902	690.21063	 	 	 	 
11	150.24635	22.033981	 	179.01675	690.1985	 	 	 	 
12	150.24335	22.03753	 	179.8778	690.1955	 	 	 	 
13	150.16182	22.030909	 	178.58551	690.18915	 	 	 	 
14	150.19128	22.033897	 	179.37935	690.2147	 	 	 	 
15	150.19661	22.010921	 	178.83131	690.1878	 	 	 	 
16	150.30437	22.055286	 	179.87015	690.2045	 	 	 	 
17	150.44565	21.995169	 	179.55	690.20306	 	 	 	 
18	150.40218	21.864735	 	179.27254	690.2121	 	 	 	 
19	150.6241	21.796385	 	178.33182	690.2031	 	 	 	 
20	150.77698	21.67506	 	179.26875	690.22253	 	 	 	 
21	150.76923	21.510817	 	179.38422	690.2141	 	 	 	 
22	150.8899	21.47473	 	179.76137	690.2252	 	 	 	 
23	150.99156	21.389156	 	179.91081	690.19824	 	 	 	 
24	151.12395	21.275091	 	179.50513	690.21387	 	 	 	 
25	151.36215	21.116686	 	179.47855	690.20276	 	 	 	 
26	151.5	20.927208	 	179.6417	690.20337	 	 	 	 
27	151.4927	20.807785	 	177.95317	690.1979	 	 	 	 
28	151.69328	20.688475	 	179.38098	690.1999	 	 	 	 
29	151.81528	20.526474	 	178.7432	690.1963	 	 	 	 
30	151.88222	20.385817	 	179.58571	690.2051	 	 	 	 
31	151.90144	20.251202	 	179.0202	690.1899	 	 	 	 
32	152.08865	20.134499	 	179.4428	690.20886	 	 	 	 
33	152.0628	20.002415	 	179.20204	690.2051	 	 	 	 
34	152.26265	19.955421	 	178.7088	690.2175	 	 	 	 
35	152.33073	19.82653	 	179.426	690.21735	 	 	 	 
36	152.21619	19.684782	 	179.3272	690.2096	 	 	 	 
37	152.4677	19.53708	 	179.16734	690.20715	 	 	 	 
38	152.52539	19.532648	 	179.77348	690.22034	 	 	 	 
39	152.63148	19.478287	 	178.37563	690.20276	 	 	 	 
40	152.8258	19.447681	 	179.49693	690.2121	 	 	 	 
41	153.019	19.421616	 	179.10812	690.19946	 	 	 	 
42	152.90979	19.43429	 	179.51225	690.20886	 	 	 	 
43	152.95988	19.434132	 	178.9006	690.19324	 	 	 	 
44	153.08534	19.551683	 	179.26477	690.2037	 	 	 	 
45	153.26747	19.608435	 	178.43509	690.2049	 	 	 	 
46	153.43045	19.631895	 	179.23401	690.20154	 	 	 	 
47	153.60684	19.734093	 	178.1821	690.1901	 	 	 	 
48	153.72102	19.899044	 	178.61449	690.2001	 	 	 	 
49	153.76945	20.12036	 	179.39532	690.19916	 	 	 	 
50	153.87816	20.411165	 	179.47935	690.2265	 	 	 	 
51	153.95694	21.05024	 	177.83873	690.2048	 	 	 	 
52	154.36858	21.661291	 	179.08818	690.20746	 	 	 	 
53	154.59552	22.558962	 	179.5898	690.19794	 	 	 	 
54	155.01158	23.543982	 	179.48872	690.21484	 	 	 	 
55	155.29753	24.650732	 	179.66357	690.21606	 	 	 	 
56	155.8144	25.873362	 	179.63087	690.2045	 	 	 	 
57	156.08394	27.132952	 	179.45213	690.2006	 	 	 	 
58	156.43068	28.743698	 	178.94049	690.206	 	 	 	 
59	155.60902	41.655025	*	179.33401	690.2016	 	159.02036	12.241279	 
60	155.76736	45.09722	*	178.7955	690.2137	 	159.67918	11.765896	 
61	155.84032	49.014835	*	178.46783	690.18945	 	160.3997	11.193215	 
62	155.91342	53.25265	*	178.43138	690.1963	 	162.11627	10.468023	 
63	156.06964	57.86786	*	178.52719	690.19183	 	162.76332	10.002958	 
64	156.18561	62.67762	*	178.7543	690.2011	 	163.85088	9.403509	 
65	156.20705	67.87613	 	178.59703	690.21606	 	164.20871	9.025525	 
66	156.37222	73.416664	 	179.07841	690.20874	 	164.61314	8.62844	 
67	156.42883	79.17416	 	178.45665	690.19055	 	165.02322	8.363777	 
68	156.4794	85.23221	 	179.88855	690.20044	 	165.14038	8.12776	 
69	156.55283	91.6283	 	179.74487	690.2121	 	165.38402	7.976489	 
70	156.77151	98.3891	 	178.7102	690.2163	 	165.41612	7.8483872	 
71	156.8534	105.33884	 	179.68248	690.2165	 	165.86656	7.657556	 
72	156.92465	112.74462	 	179.28877	690.20715	 	165.64333	7.4771986	 
73	156.998	120.44621	 	179.48567	690.2103	 	165.7215	7.45114	 
74	157.06451	128.48186	 	179.4252	690.21313	 	165.56169	7.496753	 
75	157.21927	136.72746	 	178.85062	690.2043	 	165.60785	7.5522876	 
76	157.2631	145.39099	 	179.31856	690.20844	 	165.68211	7.7172523	 
77	157.40736	154.29579	 	178.87665	690.20154	 	165.48418	7.911392	 
78	157.40192	163.66844	 	178.99036	690.20154	 	165.33386	8.007837	 
79	157.56769	173.09825	 	179.75153	690.18964	 	165.20497	8.173913	 
80	157.63216	183.0859	 	179.9312	690.20135	 	164.72083	8.269716	 
81	157.73146	193.28651	 	179.63646	690.19855	 	164.4537	8.407408	 
82	157.90091	203.82346	 	179.32317	690.20123	 	164.15846	8.598461	 
83	157.94676	214.6713	 	179.08197	690.2121	 	164.15732	8.80218	 
84	158.05896	225.83727	 	179.52562	690.2141	 	164.14742	8.858663	 
85	158.13637	237.38516	 	179.84015	690.2048	 	163.77438	8.993902	 
86	158.18613	249.14963	 	179.52037	690.1996	 	163.54256	9.141337	 
87	158.25124	261.21674	 	178.66531	690.2122	 	163.37234	9.25076	 
88	158.34383	273.6713	 	179.30202	690.1889	 	163.22256	9.332317	 
89	158.52061	286.39432	 	178.30061	690.20245	 	163.41238	9.397281	 
90	158.58202	299.47882	 	178.69676	690.20184	 	163.35933	9.350153	 
91	158.7328	312.77515	 	178.5691	690.20935	 	163.40663	9.316265	 
92	158.68867	326.4353	 	178.39665	690.2031	 	163.03255	9.242603	 
93	158.83333	340.41327	 	178.76343	690.2011	 	163.04303	9.158753	 
94	158.98305	354.71753	 	179.11206	690.18445	 	163.21819	9.106061	 
95	159.0216	369.32996	 	179.39543	690.1965	 	163.20605	8.978787	 
96	159.26968	384.11807	 	177.65868	690.18365	 	163.18954	8.926866	 
97	159.16766	399.42215	 	178.70364	690.2031	 	163.44833	8.898176	 
98	159.237	414.76605	 	178.69397	690.1884	 	163.56462	8.835384	 
99	159.39507	430.62036	 	178.84448	690.2001	 	163.82622	8.801829	 
100	159.51553	446.64597	 	178.68036	690.1794	 	163.71165	8.797546	 
101	159.67253	463.16772	 	178.194	690.184	 	163.77052	8.791793	 
102	159.8782	479.70193	 	178.51004	690.18677	 	163.73619	8.791411	 
103	159.82013	496.74753	 	179.44016	690.1968	 	163.64154	8.832308	 
104	160.0	513.84436	 	178.17807	690.19214	 	163.85649	8.850453	 
105	160.04915	531.3746	 	177.86996	690.1996	 	163.71988	8.8795185	 
106	160.1	549.1508	 	177.6642	690.16864	 	163.51201	8.929429	 
107	160.26042	567.2535	 	177.96153	690.1833	 	163.36145	8.972892	 
108	160.29152	585.5247	 	177.82869	690.17926	 	163.31493	9.049253	 
109	160.58304	604.287	 	177.93373	690.19476	 	163.3	9.162686	 
