Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
1	140.39757	20.405365	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	140.32715	20.47754	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	140.13884	20.469902	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	140.02196	20.600489	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	139.92029	20.70483	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	139.99371	20.78599	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	139.91844	20.841747	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	139.8372	20.872093	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	139.81462	20.858181	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	139.75414	20.968355	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	139.83788	21.028725	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	139.89084	21.12768	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	140.11472	21.20668	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	140.1618	21.418367	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	140.11523	21.509766	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	140.12659	21.587	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	140.31177	21.781372	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	140.37317	21.994635	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	140.41351	22.076288	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	140.4482	22.307428	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	140.6944	22.575436	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	141.00731	22.86222	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	141.51543	23.354387	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	141.77168	23.967245	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	142.50963	24.91001	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	143.05545	25.67346	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	143.94792	26.840092	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	144.63914	28.074507	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	145.55101	29.26781	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	147.6282	43.66346	*	144.22102	14.079399	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31	147.76494	47.05735	*	145.61037	13.443694	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	148.00244	50.700653	*	147.28352	12.970589	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	148.18301	54.709152	*	148.77913	12.385922	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	148.32089	59.11194	*	150.2811	11.761194	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	148.49832	63.737457	*	152.20589	11.085678	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	148.75546	68.74033	 	154.56107	10.179389	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	148.92368	74.156944	 	155.90211	9.521164	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	149.07535	79.73972	 	157.22118	9.060322	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
39	149.2522	85.677505	 	158.36922	8.551771	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40	149.33363	91.87876	 	159.17342	8.15607	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	149.51799	98.56115	 	160.16472	7.8469386	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
42	149.65427	105.405624	 	161.3563	7.3682632	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
43	149.8894	112.607864	 	161.73853	7.123853	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
44	150.04596	120.224205	 	162.57927	6.871951	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
45	150.13705	128.15407	 	162.84862	6.772171	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
46	150.32759	136.28352	 	163.29762	6.7559524	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
47	150.5793	144.95068	 	163.17567	6.7492495	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48	150.67613	153.73288	 	163.17366	6.6946106	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
49	150.84593	162.93141	 	162.85062	6.75	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50	151.05103	172.55103	 	162.35976	6.7865853	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51	151.24385	182.40164	 	161.59668	6.9410877	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
52	151.4234	192.51242	 	161.01785	7.1755953	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
53	151.54893	203.0234	 	160.97954	7.4327483	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
