Frame	X1	Y1	Flag1
Tracks 1 to 1
1	131.15407	37.171967	 
2	131.14357	37.329704	 
3	131.2729	37.59562	 
4	131.48396	38.11122	 
5	131.14612	38.464214	 
6	130.98526	38.894894	 
7	131.38142	39.992096	 
8	131.11942	41.134953	 
9	131.36964	41.935753	 
10	131.74046	44.078243	 
11	131.86557	46.30464	 
12	131.70166	49.720375	 
13	132.19612	52.894398	 
14	132.2629	54.957733	 
15	132.26581	60.02693	 
16	132.20047	63.806602	 
17	132.34337	67.830124	 
18	132.41808	72.06145	 
19	132.52457	76.81941	 
20	132.37314	81.67911	 
21	132.52531	86.834175	 
22	132.5315	92.345146	 
23	132.56021	98.26178	 
24	132.51344	104.2957	 
25	132.61111	110.64634	 
26	132.7011	117.38981	 
27	132.57605	124.38732	 
28	132.54286	131.64572	 
29	132.74925	139.31982	 
30	132.53952	147.20517	 
31	132.54256	155.39969	 
32	132.60625	163.9625	 
33	132.81963	172.78798	 
34	132.69435	181.84796	 
35	132.8569	191.05219	 
36	132.80821	200.82877	 
37	132.78363	210.82364	 
38	132.875	221.34644	 
39	132.72182	231.76546	 
40	132.82964	242.65926	 
41	132.81439	253.79546	 
42	132.75856	265.3555	 
43	132.68039	277.13922	 
44	132.77936	289.31375	 
45	132.58678	301.4339	 
46	132.74779	314.3938	 
47	132.55023	327.1073	 
48	132.92056	340.25235	 
49	132.75229	354.05045	 
50	132.65492	367.96478	 
51	132.66908	381.80917	 
52	132.65942	396.2343	 
53	132.85326	410.9185	 
54	132.79445	426.18332	 
55	132.62566	441.5314	 
56	132.72751	456.9656	 
57	132.62222	472.74445	 
58	132.429	488.6716	 
59	132.4521	505.1587	 
60	132.37878	521.97876	 
61	132.57362	538.77606	 
62	132.325	555.9875	 
63	132.59581	573.494	 
64	132.38414	591.13416	 
65	132.4073	601.868	 
66	132.5807	591.7526	 
67	132.73021	581.6978	 
68	132.825	571.5857	 
69	132.90442	561.9816	 
70	132.73843	552.7064	 
71	133.32747	543.7042	 
72	133.31882	534.8833	 
73	133.27895	526.4158	 
74	133.39456	518.33673	 
75	133.44057	510.7133	 
76	133.53973	503.13245	 
77	133.54651	495.75583	 
78	133.76775	488.97098	 
79	133.7258	481.98386	 
80	134.16667	475.79523	 
81	134.27777	469.29938	 
82	134.3514	463.49072	 
83	134.23041	458.2398	 
84	134.37941	453.0794	 
85	134.52916	448.11807	 
86	134.58	443.7154	 
87	134.52968	439.50592	 
88	134.62573	435.48245	 
89	134.9344	431.69824	 
90	135.11272	428.22543	 
91	135.0843	425.15408	 
92	135.1196	422.04468	 
93	135.3343	419.60464	 
94	135.2942	417.1087	 
95	135.52	415.23715	 
96	135.42351	413.79178	 
97	135.51662	412.00415	 
98	135.58882	411.1963	 
99	135.63583	410.40173	 
100	135.7465	410.10223	 
101	135.61046	409.89246	 
102	135.73851	410.08047	 
103	135.82565	410.43658	 
104	135.9	410.9141	 
105	135.89607	412.01404	 
106	135.83043	413.72028	 
107	136.06647	415.09827	 
108	136.08217	417.04874	 
109	136.04262	419.321	 
110	136.20589	421.90616	 
111	136.21304	425.02753	 
112	136.15834	428.15	 
113	136.14825	431.53198	 
114	135.99123	435.18713	 
115	136.09593	439.10464	 
116	136.2931	443.5977	 
117	136.08945	448.01614	 
118	136.10883	452.86765	 
119	136.18562	457.88025	 
120	136.27109	463.4759	 
121	136.37688	469.2808	 
122	136.16766	475.5928	 
123	136.17824	481.8533	 
124	136.4716	488.6262	 
125	136.37659	495.6962	 
126	136.3	503.12857	 
127	136.14706	510.70587	 
128	136.15797	518.76056	 
129	136.26508	526.9413	 
130	136.26237	535.4835	 
131	136.35715	544.09467	 
132	136.45082	553.0672	 
133	136.53401	562.3707	 
134	136.36734	572.0816	 
135	136.40877	581.9456	 
136	136.2551	592.466	 
137	136.20833	603.5804	 
138	136.40027	603.9724	 
139	136.29507	596.8825	 
140	136.36441	589.9859	 
141	136.26878	583.69366	 
142	136.35143	577.8914	 
143	136.38136	571.9124	 
144	136.54298	566.4828	 
145	136.69658	561.2749	 
146	136.7	556.29144	 
147	136.61337	551.94183	 
148	136.50548	547.99866	 
149	136.63219	544.0661	 
150	136.75356	540.56555	 
151	136.55435	537.3288	 
152	136.57162	534.3044	 
153	136.6922	531.53345	 
