Frame X1 Y1 Flag1 X2 Y2 Flag2 X3 Y3 Flag3 X4 Y4 Flag4
Tracks 1 to 4         
1 136.6594 42.377518 239.25296 637.01385        
2 137.43816 42.496468 268.86478 635.56604        
3 137.35959 42.42637 237.54527 637.33746        
4 137.65108 42.30216 275.32172 634.92633        
5 137.5054 42.284172 275.76273 635.45337        
6 137.19435 42.563602 270.40723 635.39        
7 136.6206 42.543552 270.83963 634.9088        
8 136.51779 42.571175 275.55682 634.5303        
9 136.44128 42.601425 269.97635 635.30756        
10 136.40509 42.601933 268.746 635.8706        
11 135.40642 42.36655 270.01917 635.4861        
12 136.11163 42.948406 269.9676 635.59216        
13 135.32303 42.42268 268.42993 635.76117        
14 135.64209 42.96714 275.45255 634.8029        
15 135.24129 42.9 270.7491 636.02313        
16 135.06506 42.984848 269.33844 634.58075        
17 135.36415 43.513206 270.77112 635.6373        
18 134.63345 43.622776 239.3101 637.1828        
19 134.45018 44.65129 270.3586 635.7483        
20 134.62143 45.223213 269.33588 635.21124        
21 134.32709 46.270054 274.91772 635.4283        
22 134.38428 47.567356 271.34286 635.42145        
23 133.95876 49.219933 239.3364 637.1401        
24 133.68295 51.661633 269.2669 635.9595        
25 132.2832 55.72461 271.2097 635.1871        
26 132.35 59.763042 270.35526 635.3125        
27 132.06769 62.94323 269.39368 635.706        
28 131.77753 66.561676 276.50394 634.602        
29 131.60155 70.3543 269.35196 635.068        
30 131.2428 74.45122 271.13907 635.0265        
31 130.96832 78.88914 274.34506 634.60913        
32 130.76077 83.52041 271.01086 636.1558        
33 130.51616 88.45612 270.29086 635.4739        
34 130.13876 93.8445 270.51312 636.1459        
35 129.93706 99.36461 275.6698 634.46606        
36 129.74197 105.3 270.74042 635.7404        
37 129.37811 111.46517 268.76102 636.41864        
38 129.0406 117.81726 268.40802 635.22406        
39 128.57106 124.55076 269.727 635.2638        
40 128.51833 131.66231 269.1125 635.60315        
41 128.2427 139.06764 275.08405 635.65967        
42 127.81507 146.62877 270.5068 635.7279        
43 127.53278 154.68306 240.9844 636.7266        
44 127.449005 163.06374 269.51874 636.68353        
45 127.135056 171.39943 267.7516 635.93396        
46 126.72159 180.26137 269.69196 635.79724        
47 126.47421 189.45702 259.2966 635.8075        
48 126.30547 198.76443 260.1517 636.22296        
49 126.237 208.62538 270.32132 635.2698        
50 125.73795 218.60843 270.81778 634.66327        
51 125.3959 228.98581 269.36334 635.41614        
