Frame,X1,Y1,Flag1,X2,Y2,Flag2
Tracks,1,to,2,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,160.32156,41.615685,,,,
37,160.14812,45.114315,*,,,
38,159.94218,48.798176,*,,,
39,159.7515,52.783432,*,,,
40,159.57506,57.076065,*,,,
41,159.59592,61.642857,,,,
42,159.31685,66.5,,,,
43,159.13579,71.84947,,,,
44,159.11089,77.242676,,,,
45,158.90471,82.97537,,,,
46,158.58388,89.035484,,,,
47,158.46544,95.41792,,,,
48,158.259,102.17342,,,,
49,158.2409,109.05,,,,
50,158.05841,116.5514,,,,
51,157.89487,124.07009,,,,
52,157.69905,132.08531,,,,
53,157.57748,140.14165,,,,
54,157.45555,148.67778,,,,
55,157.2193,157.48245,,,,
56,156.8903,166.52296,,,,
57,156.78346,176.06693,,,,
58,156.63055,185.72716,,,,
59,156.34282,195.70868,,,,
60,156.36226,206.05373,,,,
61,156.14525,216.66481,,,,
62,155.98726,227.63597,,,,
63,155.64572,238.76,,,,
64,155.40544,250.33095,,,,
65,155.16667,262.13394,,,,
66,155.12462,274.2177,,,,
67,154.89879,286.7115,,,,
68,154.81975,299.31818,,,,
69,154.55519,312.41882,,,,
70,154.52606,325.93323,,,,
71,154.14725,339.41263,,,,
72,154.11073,353.14764,,,,
73,153.76689,367.52704,,,,
74,153.5868,382.02084,,,,
75,153.38461,396.84616,,,,
76,153.13509,411.96667,,,,
77,153.18771,427.24387,,,,
78,152.68051,442.83575,,,,
79,152.74124,458.74124,,,,
80,152.42278,475.0753,,,,
81,152.19348,491.546,,,,
82,152.0498,508.3805,,,,
83,151.84818,525.41095,,,,
84,151.70648,542.58905,,,,
85,151.65446,560.10974,,,,
86,151.4004,578.0936,,,,
87,151.04762,596.3135,,,,
88,150.87746,611.1852,,,,
89,150.1894,601.11414,,,,
90,149.92346,590.51276,,,,
91,149.34734,581.3753,,,,
92,148.85341,572.1937,,,,
93,148.3405,563.3785,,,,
94,147.80226,554.6184,,,,
95,147.1802,546.70557,,,,
96,146.77115,538.57465,,,,
97,146.09564,530.93097,,,,
98,145.74815,523.69904,,,,
99,145.2494,517.0346,,,,
100,144.45705,510.09427,,,,
101,144.12143,503.64285,,,,
102,143.35472,497.43704,,,,
103,143.03162,491.2541,,,,
104,142.56104,485.58685,,,,
105,142.14746,480.26727,,,,
106,141.49763,475.4198,,,,
107,140.98526,470.81067,,,,
108,140.33522,466.63092,,,,
109,139.85681,462.75455,,,,
110,139.34116,459.0235,,,,
111,138.79865,455.39368,,,,
112,138.24887,452.12897,,,,
113,137.66222,449.3111,,,,
114,137.14238,446.5927,,,,
115,136.56564,444.1696,,,,
116,136.03674,442.14365,,,,
117,135.65707,440.45798,,,,
118,135.06209,438.9684,,,,
119,134.54036,438.1749,,,,
120,134.0201,437.4107,,,,
121,133.32,437.05777,,,,
122,132.8519,436.94098,,,,
123,132.35977,437.1138,,,,
124,131.8304,437.337,,,,
125,131.39932,438.1868,,,,
126,130.65436,438.7461,,,,
127,130.25333,440.1089,,,,
128,129.61856,441.48212,,,,
129,129.04868,443.3208,,,,
130,128.60313,445.5538,,,,
131,128.04546,448.10455,,,,
132,127.48663,450.8764,,,,
133,126.821266,454.12442,,,,
134,126.19425,457.58276,,,,
135,125.75676,461.41443,,,,
136,125.13991,465.1468,,,,
137,124.60441,469.50928,,,,
138,124.035965,473.92923,,,,
139,123.63785,478.70093,,,,
140,122.981224,483.9108,,,,
141,122.31499,489.11594,,,,
142,121.92619,494.7024,,,,
143,121.5,500.89337,,,,
144,120.76379,507.21222,,,,
145,120.22683,513.7732,,,,
146,119.52956,521.00494,,,,
147,119.10804,528.201,,,,
148,118.532745,535.8098,,,,
149,117.97727,543.6061,,,,
150,117.30446,551.4233,,,,
151,116.831635,559.84436,,,,
152,116.34032,568.43195,,,,
153,115.83759,577.43097,,,,
154,115.16053,586.5895,,,,
155,114.53778,596.102,,,,
156,114.06054,606.9282,,,,
157,113.64487,608.58453,,,,
158,113.23263,602.6011,,,,
159,112.789474,596.6798,,,,
160,112.19488,591.58466,,,,
161,111.67233,586.81744,,,,
162,111.12138,582.3174,,,,
163,110.7982,577.8924,,,,
164,110.31515,573.7739,,,,
165,109.92478,570.0531,,,,
166,109.31136,566.75226,,,,
167,108.81096,563.5962,,,,
168,108.39451,560.8714,,,,
169,107.91501,558.3057,,,,
170,107.45415,555.98254,,,,
171,107.07692,554.0577,,,,
172,106.602394,552.46295,,,,
173,106.06716,551.2548,,,,
174,105.4784,550.2883,,,,
175,105.04957,549.9116,,,,
176,104.49573,549.3397,,,,
177,104.08672,549.3373,,,,
178,103.67495,549.3661,,,,
179,103.23718,549.7137,,,,
180,102.751076,550.33264,,,,
181,102.041664,551.3311,,,,
182,101.75966,552.7725,,,,
183,101.164474,554.3092,,,,
184,100.77033,556.1528,,,,
185,100.52179,558.3998,,,,
186,99.97516,561.00757,,,,
187,99.44934,563.9912,,,,
188,98.86124,567.1784,,,,
189,98.445175,570.818,,,,
190,97.80804,574.4308,,,,
191,97.49782,578.3061,,,,
192,96.99007,582.48895,,,,
193,96.548676,586.88715,,,,
194,95.9305,591.7713,,,,
195,95.66193,596.9398,,,,
196,95.16038,602.8606,,,,
197,94.64655,610.6431,,,,
198,94.15625,610.13367,,,,
199,93.68489,605.2793,,,,
200,93.33532,602.35315,,,,
201,92.586174,599.75653,,,,
202,92.14876,597.3244,,,,
203,91.70964,595.11847,,,,
204,91.25258,593.1041,,,,
205,90.62008,591.7754,,,,
206,90.36875,590.39374,,,,
207,89.78931,589.4434,,,,
208,89.40147,588.99896,,,,
209,88.7125,588.7896,,,,
210,88.29261,588.7649,,,,
211,87.79583,589.1104,,,,
212,87.38163,589.6531,,,,
213,86.87526,590.65515,,,,
214,86.341995,591.85345,,,,
215,85.910416,593.48334,,,,
216,85.49187,595.2744,,,,
217,84.98479,597.5406,,,,
218,84.385544,599.9558,,,,
219,83.966,602.7,,,,
220,83.442085,605.7973,,,,
221,82.94426,610.8478,,,,
222,82.535,610.95166,,,,
223,82.03345,608.9947,,,,
224,81.74145,606.4183,,,,
225,81.22605,605.34485,,,,
226,80.83778,604.9065,,,,
227,80.37867,604.5548,,,,
228,79.86257,604.57605,,,,
229,79.50195,605.02826,,,,
230,79.13308,605.6255,,,,
231,78.7283,606.18677,,,,
232,78.23913,608.59045,,,,
233,77.80213,610.63794,,,,
234,77.33006,611.37256,,,,
235,76.93089,610.90326,,,,
236,76.52131,610.39343,,,,
237,75.97754,610.04407,,,,
238,75.7189,610.39886,,,,
239,75.33082,610.90704,,,,
240,74.95396,611.4499,,,,
241,74.552895,611.24713,,,,
242,74.04291,611.33826,,,,
243,73.482086,611.61566,,,,
244,73.22623,611.4967,,,,
245,72.78336,611.53625,,,,
246,72.398056,611.36896,,,,
247,71.89245,611.2176,,,,
248,71.5066,611.1667,,,,
249,71.08429,611.0941,,,,
250,70.76412,611.1329,,,,
251,70.235725,611.2325,,,,
252,70.00161,611.2484,,,,
253,69.40032,611.5,,,,
254,69.04234,611.4837,,,,
255,68.49205,611.76074,,,,
256,68.17857,611.7354,,,,
257,67.803986,611.5083,,,,
258,67.33006,611.64703,,,,
259,66.98697,611.487,,,,
260,66.57843,611.3905,,,,
261,66.23139,611.4466,,,,
262,65.65286,611.3535,,,,
263,65.23139,611.35925,,,,
264,64.81554,611.6246,,,,
265,64.60294,611.56537,,,,
266,64.07143,611.6964,,,,
267,63.58562,611.773,,,,
268,63.18889,612.09204,,,,
269,62.82753,612.0158,,,,
270,62.376175,612.2476,,,,
271,61.87842,611.9879,,,,
272,61.62841,611.7488,,,,
273,61.290066,611.8141,,,,
274,60.849606,611.826,,,,
275,60.488747,611.6061,,,,
276,60.050632,611.44147,,,,
277,59.66264,611.75604,,,,
278,59.238094,611.8127,,,,
279,58.93131,611.97925,,,,
280,58.660572,611.9054,,,,
281,58.13084,612.2804,,,,
282,57.589172,612.26117,,,,
283,57.232285,612.19763,,,,
284,56.95253,612.11707,,,,
285,56.664536,612.0671,,,,
286,56.35489,611.9164,,,,
287,55.8522,612.03143,,,,
288,55.553043,611.993,,,,
289,55.076508,612.12134,,,,
290,54.85443,611.981,,,,
291,54.433754,612.0694,,,,
292,54.05644,612.0867,,,,
293,53.6478,612.18396,,,,
294,53.1478,612.2437,,,,
295,52.857254,612.36896,,,,
296,52.58346,612.44434,,,,
