Frame,X1,Y1,Flag1,X2,Y2,Flag2
Tracks,1,to,2,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,147.0865,59.101265,,,,
44,147.0233,62.50424,*,,,
45,146.81087,66.16956,*,,,
46,146.85165,70.2934,*,,,
47,146.87694,74.60421,,,,
48,146.78761,79.30531,,,,
49,146.75455,84.13636,,,,
50,146.69775,89.286514,,,,
51,146.68518,94.82176,,,,
52,146.73404,100.58274,,,,
53,146.55289,106.58894,,,,
54,146.41,112.9425,,,,
55,146.49498,119.74812,,,,
56,146.38608,126.601265,,,,
57,146.3557,133.81645,,,,
58,146.49213,141.36876,,,,
59,146.30263,149.21053,,,,
60,146.32414,157.62073,,,,
61,146.25616,165.9822,,,,
62,146.13014,174.64795,,,,
63,145.98343,183.80386,,,,
64,146.07434,193.17639,,,,
65,146.05849,202.73392,,,,
66,145.8871,212.75513,,,,
67,145.84235,222.95346,,,,
68,145.80368,233.66872,,,,
69,145.5697,244.39394,,,,
70,145.6479,255.45177,,,,
71,145.5607,267.03995,,,,
72,145.533,278.5264,,,,
73,145.4868,290.6386,,,,
74,145.31757,302.8716,,,,
75,145.28873,315.5845,,,,
76,145.29442,328.62195,,,,
77,145.10931,341.77597,,,,
78,145.1259,355.3705,,,,
79,145.11111,369.1,,,,
80,144.93773,383.33395,,,,
81,144.93893,397.4122,,,,
82,144.98235,412.13528,,,,
83,144.984,427.088,,,,
84,144.60121,442.31375,,,,
85,144.56883,457.64575,,,,
86,144.60684,473.56412,,,,
87,144.50418,489.41632,,,,
88,144.55702,505.9737,,,,
89,144.51852,522.6574,,,,
90,144.18326,539.3778,,,,
91,144.34018,556.42236,,,,
92,143.97926,573.86865,,,,
93,144.22197,591.5718,,,,
94,144.10869,606.58905,,,,
95,143.68283,597.0651,,,,
96,143.40704,587.42676,,,,
97,143.25706,578.4011,,,,
98,142.92061,569.4248,,,,
99,142.58403,560.8333,,,,
100,142.32368,552.2273,,,,
101,142.08678,544.20526,,,,
102,141.88441,536.6694,,,,
103,141.63333,529.108,,,,
104,141.26923,522.0968,,,,
105,140.97327,515.3904,,,,
106,140.62064,508.8834,,,,
107,140.47067,502.50266,,,,
108,140.15544,496.4663,,,,
109,139.9077,490.46667,,,,
110,139.77411,484.9061,,,,
111,139.4949,479.7194,,,,
112,139.17424,475.02524,,,,
113,138.81018,470.71588,,,,
114,138.4636,466.60437,,,,
115,138.22882,462.98425,,,,
116,138.04657,459.2353,,,,
117,137.69012,455.77902,,,,
118,137.44005,452.79016,,,,
119,136.99156,450.06866,,,,
120,136.67184,447.5501,,,,
121,136.43286,445.1115,,,,
122,136.28693,443.09805,,,,
123,136.06479,441.456,,,,
124,135.75415,440.11044,,,,
125,135.51651,439.38208,,,,
126,135.04698,438.89035,,,,
127,134.76923,438.69232,,,,
128,134.54808,438.6418,,,,
129,134.26028,438.83655,,,,
130,133.9951,439.16177,,,,
131,133.71718,439.85562,,,,
132,133.47394,440.8886,,,,
133,133.02028,442.10144,,,,
134,132.71219,443.8073,,,,
135,132.43556,445.54056,,,,
136,132.22289,447.86627,,,,
137,131.88406,450.28745,,,,
138,131.72705,453.1546,,,,
139,131.12592,456.4731,,,,
140,130.92015,460.01596,,,,
141,130.53008,463.95615,,,,
142,130.23201,467.71835,,,,
143,130.04228,471.9776,,,,
144,129.85101,476.5202,,,,
145,129.40977,481.40976,,,,
146,128.97838,486.47455,,,,
147,128.77989,491.9733,,,,
148,128.4847,497.58673,,,,
149,128.06422,503.47482,,,,
150,127.84301,509.83774,,,,
151,127.56021,516.47644,,,,
152,127.22055,523.68353,,,,
153,126.96027,530.9027,,,,
154,126.5327,538.4673,,,,
155,126.243935,546.2574,,,,
156,125.9027,554.18646,,,,
157,125.73864,562.5341,,,,
158,125.33753,571.15826,,,,
159,125.17796,580.0198,,,,
160,124.76553,589.37006,,,,
161,124.55149,599.10706,,,,
162,124.16031,607.44275,,,,
163,123.856346,601.9922,,,,
164,123.55012,596.8075,,,,
165,123.08234,592.3282,,,,
166,122.78369,588.2399,,,,
167,122.55924,584.4834,,,,
168,122.03938,580.963,,,,
169,121.90189,577.6253,,,,
170,121.6253,574.48816,,,,
171,121.317535,571.6327,,,,
172,120.797676,569.22327,,,,
173,120.56682,567.1567,,,,
174,119.98951,565.2506,,,,
175,119.74594,563.7436,,,,
176,119.52299,562.431,,,,
177,119.42506,561.38055,,,,
178,118.93023,560.46045,,,,
179,118.50234,560.2705,,,,
180,118.118935,560.3845,,,,
181,117.71991,560.7593,,,,
182,117.5,561.442,,,,
183,117.191246,562.2719,,,,
184,116.89302,563.09534,,,,
185,116.59655,564.4517,,,,
186,116.16511,565.9918,,,,
187,115.820274,567.8387,,,,
188,115.42958,570.1338,,,,
189,115.03538,572.46936,,,,
190,114.81776,575.2827,,,,
191,114.62325,578.4256,,,,
192,114.23068,582.0129,,,,
193,113.78434,585.8566,,,,
194,113.379715,590.19574,,,,
195,113.02804,594.5,,,,
196,112.7349,599.45526,,,,
197,112.442856,605.4224,,,,
198,112.18807,608.089,,,,
199,111.91296,605.0425,,,,
200,111.51871,602.99274,,,,
201,111.261505,601.228,,,,
202,111.022385,600.0053,,,,
203,110.90795,599.0293,,,,
204,110.58034,598.35834,,,,
205,110.430084,598.07837,,,,
206,110.07773,598.2563,,,,
207,109.84864,598.64825,,,,
208,109.57757,599.46014,,,,
209,109.32563,600.2437,,,,
210,109.07806,601.6076,,,,
211,108.763374,602.7593,,,,
212,108.46154,605.4327,,,,
213,108.351105,607.5496,,,,
214,108.13415,607.4343,,,,
215,107.87226,606.7974,,,,
216,107.62758,606.04596,,,,
217,107.44805,605.7616,,,,
218,107.26796,606.24585,,,,
219,107.062965,606.7685,,,,
220,106.85027,607.7178,,,,
221,106.534294,608.1625,,,,
222,106.36339,607.97174,,,,
223,106.25,607.6685,,,,
224,106.034424,607.5127,,,,
225,105.78233,607.3889,,,,
226,105.732475,607.27124,,,,
227,105.50363,607.2441,,,,
228,105.264915,607.198,,,,
229,105.04693,607.33215,,,,
230,104.913795,607.37476,,,,
231,104.84588,607.51074,,,,
232,104.62949,607.6871,,,,
233,104.43807,607.79144,,,,
234,104.241005,608.07733,,,,
235,103.953384,607.9351,,,,
236,103.81307,607.90515,,,,
237,103.685455,607.71454,,,,
238,103.69314,607.6173,,,,
239,103.59695,607.36896,,,,
240,103.36987,607.5463,,,,
241,103.231926,607.49646,,,,
242,103.18873,607.3676,,,,
243,102.91742,607.50726,,,,
244,102.81397,607.59076,,,,
245,102.7,607.7216,,,,
246,102.52355,607.88403,,,,
247,102.35996,608.1104,,,,
248,102.14855,608.1413,,,,
249,102.065216,608.07245,,,,
250,101.859344,607.8013,,,,
251,101.74176,607.6484,,,,
252,101.68066,607.604,,,,
253,101.51259,607.527,,,,
254,101.41171,607.52704,,,,
255,101.23297,607.5215,,,,
256,101.10036,607.7312,,,,
257,100.93219,607.6501,,,,
258,100.86396,607.6928,,,,
259,100.68327,607.96796,,,,
260,100.47798,608.1367,,,,
261,100.33213,608.1751,,,,
262,100.10323,607.98834,,,,
263,100.01171,607.9342,,,,
264,99.93533,607.65845,,,,
265,99.778984,607.66125,,,,
266,99.633575,607.5704,,,,
267,99.460075,607.4873,,,,
268,99.28378,607.65674,,,,
269,99.06159,607.6467,,,,
270,98.908676,607.7767,,,,
271,98.86786,607.85,,,,
272,98.60753,607.96954,,,,
273,98.2957,608.3136,,,,
274,98.18297,608.13226,,,,
275,97.88869,608.12775,,,,
276,97.73412,608.1352,,,,
277,97.48759,607.9592,,,,
278,97.238434,607.8879,,,,
279,97.19107,607.75,,,,
280,96.95259,607.8023,,,,
281,96.81899,607.7276,,,,
282,96.6129,607.7473,,,,
283,96.23202,607.8633,,,,
284,96.02415,607.93115,,,,
285,95.76382,608.28076,,,,
,,,,,,
Track,Length,Distance,traveled,Nr,of,Frames
1,928.34546,9.803868,243,,,
2,1021.5695,551.57245,243,,,
