Frame X1 Y1 Flag1 X2 Y2 Flag2 X3 Y3 Flag3
Tracks 1 to 3      
1 147.85583 58.653286 275.44098 632.71967     
2 147.9608 59.05067 275.55322 633.3479     
3 148.69128 59.270832 277.53497 632.3077     
4 148.74132 59.055984 278.35098 632.9745     
5 148.72598 59.044254 277.2148 633.04816     
6 148.7019 59.305714 277.28683 633.1628     
7 148.98181 59.212727 279.79324 632.0902     
8 148.46065 58.88104 275.3885 633.2875     
9 148.01297 58.942593 278.992 633.38     
10 149.14835 59.90293 279.7706 632.4686     
11 149.08064 60.334915 275.64236 632.92706     
12 149.5835 60.90777 276.43118 633.4433     
13 149.74283 61.429253 275.96786 632.96783     
14 149.6676 62.36817 277.54868 632.81464     
15 150.07143 63.368572 278.13812 632.8191     
16 150.58948 64.10702 276.983 632.72107     
17 150.75562 65.53627 279.875 632.0703     
18 150.97543 67.25263 276.14755 634.0984     
19 151.3077 69.33566 275.1015 633.9549     
20 151.45312 71.49479 277.93707 632.33215     
21 151.32373 73.340675 277.39618 632.4204     
22 150.59071 81.50648 276.73694 632.60455     
23 150.85715 85.25 275.86365 633.2727     
24 150.93379 88.94749 277.82245 633.24695     
25 151.09491 93.30093 276.12723 633.1918     
26 151.23318 97.738976 276.53476 633.639     
27 151.31754 102.457344 277.16046 632.76117     
28 151.70874 107.555824 277.34744 633.29236     
29 151.76848 113.02217 276.1103 633.2169     
30 151.8794 118.68593 277.00186 632.9573     
31 152.04822 124.728424 279.34616 632.6336     
32 152.15892 130.84625 276.0934 633.00916     
33 152.40698 137.50517 276.26337 633.542     
34 152.53674 144.19029 278.1899 632.89923     
35 152.83157 151.53947 277.45065 632.2993     
36 152.80959 159.0589 276.60568 633.54065     
37 152.93324 166.78883 279.016 632.796     
38 153.09604 174.85593 278.99295 633.5282     
39 153.22176 182.98485 274.97842 633.3741     
40 153.39049 191.58934 275.77777 633.9881     
41 153.54857 200.62 277.03735 632.79895     
42 153.63947 209.7997 279.84024 632.5996     
43 153.86858 219.4154 277.706 632.7884     
44 154.09146 229.26524 275.84317 633.32654     
45 154.0627 239.43884 276.50372 633.13434     
46 154.10501 249.74138 278.72052 632.5     
47 154.2953 260.41946 278.35715 633.5804     
48 154.48671 271.5631 275.17816 633.7567     
49 154.63622 282.77243 276.79886 633.3046     
50 154.9358 294.35474 277.00186 633.02057     
51 155.15492 306.13733 276.38278 632.6172     
52 155.29497 318.58994 279.0748 632.6457     
53 155.2063 331.0175 273.91052 633.34564     
54 155.25273 343.72183 278.15967 633.521     
55 155.51471 356.91913 278.93042 633.47394     
56 155.55167 370.17526 276.30646 633.996     
57 155.7381 383.81503 278.84174 632.2374     
58 155.76236 397.8346 279.10837 632.42773     
59 156.00557 412.10223 276.0398 632.7734     
60 156.05212 426.5888 275.59473 633.1035     
61 156.21765 441.2843 275.2509 633.0801     
62 156.14706 456.39075 277.94107 632.8042     
63 156.55676 471.7489 277.2102 633.69183     
64 156.63304 487.38412 279.19516 632.2621     
65 156.87119 503.31223 274.61383 634.37805     
66 156.62775 519.5264 277.13605 632.74384     
67 156.85399 536.1062 279.62756 632.81274     
68 157.02727 552.6591 275.99634 632.93384     
69 157.25 569.64545 279.666 632.66595     
70 157.34186 586.9 277.7697 633.5747     
71 157.26207 603.13446 277.25696 633.1972     
72 157.41037 604.5401 279.25104 632.8195     
73 157.48285 598.10297 279.37805 632.88214     
74 157.60973 592.3728 276.83203 633.09375     
75 157.61852 587.0605 279.12082 633.0333     
76 157.68575 582.2074 278.3194 633.5397     
77 157.74565 577.35114 279.291 633.03687     
78 157.87726 572.8127 274.288 633.76855     
79 158.07002 568.672 275.5 633.4853     
80 158.08766 564.98395 276.73294 633.3112     
81 158.06796 561.4563 277.23383 632.92206     
82 158.1618 558.2202 278.96826 632.68256     
83 158.0773 555.42993 279.7156 632.2472     
84 158.18536 552.7268 279.54282 632.251     
85 158.25 550.0881 279.375 632.75836     
86 158.27089 547.8914 275.03104 632.7828     
87 158.50714 545.9667 266.2441 634.9579     
88 158.57971 544.4831 258.0876 634.8164     
89 158.49757 543.17474 274.93588 633.42676     
90 158.63809 542.3238 277.625 633.5161     
91 158.63669 541.91724 274.558 633.1143     
92 158.7783 541.7854 279.60648 632.26044     
93 158.73888 541.8396 278.38257 632.6288     
94 158.79454 541.8634 277.30243 633.50806     
95 158.9133 542.3836 279.38803 632.47296     
96 158.9599 543.02356 277.1893 632.83215     
97 158.81874 544.23724 277.1278 633.2368     
98 159.02428 545.3422 274.9516 633.6792     
99 159.02731 546.97034 260.66092 634.57184     
100 159.20645 548.97736 275.79276 632.6908     
101 159.24225 551.1468 259.05936 634.624     
102 159.26225 553.973 275.17377 633.3688     
103 159.29076 556.73846 262.10062 634.53656     
104 159.32063 560.1413 275.91818 633.06366     
105 159.22464 563.587 280.46155 631.70386     
106 159.30988 567.3321 278.87155 632.33795     
107 159.30846 571.2289 278.49612 632.7857     
108 159.40977 575.4799 277.0887 633.2339     
109 159.39195 579.96484 277.47693 633.43463     
110 159.40932 584.9786 278.24194 633.3387     
111 159.34848 589.9141 276.275 632.7893     
112 159.55736 595.26556 275.55704 632.77515     
113 159.48267 601.36633 275.67767 634.4587     
114 159.58841 608.3035 267.0909 634.11816     
115 159.7069 606.46985 267.32333 633.9984     
116 159.58 604.2267 278.7927 633.2195     
117 159.53838 602.1885 279.19482 633.11035     
118 159.4933 600.6049 280.15448 632.0569     
119 159.63103 599.2103 279.3 633.58636     
120 159.69908 598.095 279.80222 632.69556     
121 159.66743 597.34406 279.888 632.676     
