Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
1	119.629265	62.57361	 	256.03333	610.9	 	 	 	 	 	 	 
2	119.79982	62.49647	 	257.5	610.8947	 	 	 	 	 	 	 
3	119.62051	62.714027	 	257.77026	610.87836	 	 	 	 	 	 	 
4	119.430435	62.75913	 	258.59344	610.87384	 	 	 	 	 	 	 
5	119.7276	63.385303	 	258.3611	610.89813	 	 	 	 	 	 	 
6	119.521126	63.764084	 	257.23636	610.9091	 	 	 	 	 	 	 
7	119.140625	64.10069	 	258.00894	610.8839	 	 	 	 	 	 	 
8	119.00931	64.67259	 	257.55405	610.8874	 	 	 	 	 	 	 
9	119.59592	66.38632	 	258.45413	610.86694	 	 	 	 	 	 	 
10	119.45321	67.60572	 	258.45413	610.86694	 	 	 	 	 	 	 
11	119.4232	68.93239	 	257.55405	610.8874	 	 	 	 	 	 	 
12	119.318634	70.4218	 	256.8964	610.9144	 	 	 	 	 	 	 
13	119.87439	72.2812	 	257.00433	610.9	 	 	 	 	 	 	 
14	116.82527	79.06923	*	257.23914	610.8826	 	128.39313	59.835876	 	 	 	 
15	116.810814	82.35361	*	258.34683	610.8874	 	129.48529	60.125	 	 	 	 
16	116.76037	86.15899	*	257.20175	610.8947	 	129.70149	60.119404	 	 	 	 
17	116.59005	90.01422	*	257.88394	610.8661	 	130.34348	59.847828	 	 	 	 
18	116.56971	94.19471	*	257.5182	610.9	 	130.44118	59.80252	 	 	 	 
19	116.624084	98.599754	*	257.82742	610.88055	 	130.75781	59.429688	 	 	 	 
20	116.75622	103.343285	*	258.45413	610.86694	 	130.70769	59.23846	 	 	 	 
21	116.42574	108.294556	*	257.8909	610.88184	 	130.5229	59.217556	 	 	 	 
22	116.33502	113.44163	 	258.37036	610.9074	 	131.236	59.052	 	 	 	 
23	116.45866	118.978035	 	257.7973	610.87836	 	131.1842	58.56767	 	 	 	 
24	116.344154	124.76494	 	257.99106	610.8661	 	131.80708	58.657482	 	 	 	 
25	116.29467	131.044	 	257.9375	610.8661	 	131.996	58.484	 	 	 	 
26	116.14785	137.27957	 	257.8578	610.8945	 	131.78688	58.385246	 	 	 	 
27	116.07838	144.1946	 	258.1036	610.8874	 	131.58064	58.403225	 	 	 	 
28	116.06354	151.2652	 	256.62173	610.9174	 	131.53252	58.23171	 	 	 	 
29	116.014366	158.75575	 	258.00894	610.8839	 	131.59016	58.360657	 	 	 	 
30	115.85227	166.27841	 	258.0946	610.87836	 	131.31512	58.483192	 	 	 	 
31	115.666664	174.26724	 	256.6638	610.90515	 	131.26666	58.4	 	 	 	 
32	115.60714	182.65775	 	258.12384	610.9037	 	131.31818	58.376034	 	 	 	 
33	115.613495	191.07669	 	257.8578	610.8945	 	131.19159	58.67757	 	 	 	 
34	115.36859	199.88461	 	257.81482	610.9074	 	131.35345	58.301723	 	 	 	 
35	115.33006	209.20262	 	257.89252	610.9112	 	131.50934	58.54673	 	 	 	 
36	115.055176	218.6793	 	257.8909	610.88184	 	132.0042	58.172268	 	 	 	 
37	115.09061	228.52684	 	258.52753	610.8853	 	131.14546	58.572727	 	 	 	 
