Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
1	159.56168	228.42218	 	10.963483	612.3357	 	255.04787	632.055	 
2	160.16966	228.7571	 	10.763231	611.52783	 	254.72385	632.2413	 
3	152.3946	222.77121	 	11.370879	613.28296	 	255.29514	631.8767	 
4	160.89789	229.2761	 	11.316526	613.3823	 	255.32321	632.1832	 
5	152.85065	223.06754	 	10.916202	612.9483	 	254.80515	632.23346	 
6	163.81812	231.25856	 	10.917266	614.9331	 	254.72342	632.23694	 
7	160.65044	229.27286	 	10.631837	612.15356	 	255.63013	632.008	 
8	153.3438	223.60115	 	10.610497	610.81494	 	254.84099	631.9611	 
9	153.42773	224.06903	 	11.4439125	611.95416	 	254.90175	632.0281	 
10	161.77327	230.90178	 	10.787324	612.1901	 	254.83394	632.0691	 
11	161.84964	231.46834	 	10.940278	611.78613	 	255.32446	632.1064	 
12	162.06439	232.15991	 	10.692252	612.75824	 	255.68431	631.9854	 
13	162.86403	233.76062	 	11.358517	612.6964	 	255.8125	631.8472	 
14	162.25099	233.92648	 	10.728491	612.9316	 	254.54762	631.9949	 
15	163.226	235.70102	 	11.302486	613.00275	 	255.62094	632.01984	 
16	165.9363	239.94876	 	10.71398	612.9394	 	255.86476	632.08185	 
17	162.96748	249.1626	 	11.434317	611.6354	 	254.3156	632.05316	 
18	163.15651	252.48984	 	10.891854	613.2767	 	254.0399	631.9448	 
19	163.39162	256.17892	*	10.971646	611.7517	 	255.71951	631.9669	 
20	163.50206	260.1219	*	11.03432	611.0707	 	254.49326	632.0059	 
21	163.6803	264.2757	 	10.63617	612.883	 	255.98282	631.9955	 
22	163.74576	268.76694	 	11.54212	613.1549	 	255.20589	632.1845	 
23	163.97234	273.7532	 	11.143056	613.32916	 	254.83452	632.17084	 
24	163.97742	278.77957	 	10.938621	611.0807	 	254.66696	631.9794	 
25	164.19032	284.17743	 	10.729577	613.07465	 	254.93805	631.98694	 
26	164.44748	289.84137	 	10.799427	613.41693	 	254.6953	632.1275	 
27	164.57796	295.7539	 	10.759854	614.8387	 	256.4145	632.22675	 
28	164.8018	301.98874	 	10.604457	611.18524	 	254.53136	632.0314	 
29	164.89726	308.6096	 	10.987395	613.17505	 	254.74956	632.0422	 
30	164.98291	315.5729	 	13.187166	614.4078	 	254.67278	632.0515	 
31	165.09268	322.7563	 	12.694702	612.6099	 	254.80704	631.99054	 
32	165.17682	330.14404	 	11.482044	613.35223	 	256.22968	631.92224	 
33	165.31337	338.02997	 	10.501396	611.1229	 	254.3472	632.1027	 
34	165.49538	345.96527	 	11.639344	613.53827	 	255.35962	631.94714	 
35	165.54941	354.40588	 	10.860385	611.3872	 	255.17188	632.07465	 
36	165.79524	362.97144	 	10.671508	611.75867	 	254.30684	632.03503	 
37	165.98166	371.87408	 	11.4375	615.7344	 	255.66844	631.9663	 
38	166.09268	381.16342	 	11.8672085	613.52844	 	253.96465	632.1061	 
39	166.13614	390.66583	 	10.726441	612.3692	 	255.97887	632.02466	 
40	166.26558	400.4526	 	11.374826	613.34143	 	254.92513	631.99054	 
41	166.47745	410.5727	 	11.466988	613.2744	 	254.00514	632.1815	 
42	166.53517	420.93466	 	10.494506	610.2816	 	255.62346	632.0044	 
43	166.59091	431.59848	 	11.560774	613.9392	 	255.0	632.0108	 
44	166.73177	442.6901	 	11.158741	613.4636	 	255.3691	632.0618	 
45	166.96074	453.9084	 	10.874468	613.30707	 	254.32948	632.0826	 
46	166.96257	465.3984	 	11.505555	613.7611	 	254.888	632.1067	 
47	167.21658	477.3476	 	11.355556	613.2778	 	254.39008	632.1436	 
48	167.18494	489.40686	 	10.6837015	610.8646	 	252.92393	632.15985	 
49	167.38365	501.79086	 	11.472489	613.4299	 	254.54109	632.05994	 
50	167.63202	514.44385	 	10.68598	612.8763	 	254.31091	632.2164	 
51	167.51134	527.4632	 	10.58169	612.138	 	254.3188	632.07776	 
52	167.7938	540.5706	 	12.98545	614.2117	 	253.55103	632.2619	 
53	167.97443	554.2443	 	10.800699	613.17975	 	253.20918	632.13776	 
54	168.08453	567.9785	 	10.793706	612.9336	 	254.86972	632.04755	 
55	168.19034	581.88354	 	10.751412	612.9252	 	253.59412	632.1218	 
56	168.20493	596.33606	 	10.696581	612.9188	 	252.68625	632.1141	 
57	168.39673	609.1508	 	10.665498	611.6473	 	252.94922	632.18677	 
58	168.48532	600.51465	 	10.685553	612.8343	 	253.74295	632.03345	 
59	168.45186	592.4978	 	10.633148	610.8606	 	254.45944	631.9092	 
60	168.72858	585.4253	 	10.725715	611.9986	 	255.20335	632.2705	 
61	168.60284	578.5525	 	10.781074	613.2302	 	255.00613	631.86426	 
62	168.80089	572.03094	 	10.608787	611.4233	 	253.75218	632.2653	 
63	168.91087	565.5674	 	10.767326	612.6089	 	251.78763	632.1438	 
64	169.04211	559.59937	 	13.420949	614.48157	 	253.1033	632.07025	 
65	169.15227	553.96	 	10.37431	610.68506	 	255.56897	632.1497	 
66	169.13637	548.7641	 	10.738227	611.2687	 	251.64894	632.42377	 
67	169.21889	543.7382	 	11.358345	613.3359	 	255.29347	632.067	 
68	169.2616	539.07385	 	11.200135	611.0509	 	255.8895	631.8714	 
69	169.3678	534.4403	 	10.603448	615.0817	 	257.80756	631.8791	 
70	169.25745	530.17236	 	10.705839	613.99054	 	257.41855	631.8314	 
71	169.55696	526.1477	 	10.577793	611.8267	 	256.15643	631.849	 
72	169.62917	522.4	 	11.071428	611.6864	 	253.1214	632.14856	 
73	169.73799	518.87994	 	11.342953	611.61945	 	251.62396	632.36444	 
74	169.70248	515.9752	 	11.067639	611.2042	 	251.71428	632.28735	 
75	169.8347	513.09344	 	11.581744	613.5109	 	252.9429	632.2682	 
76	169.79132	510.87396	 	10.73099	613.3264	 	254.38713	632.04675	 
77	169.94856	508.91565	 	10.576923	611.9858	 	256.7166	632.05774	 
78	169.81708	507.12195	 	10.608883	612.70917	 	258.10153	631.82825	 
79	169.97379	505.50806	 	11.047383	613.4095	 	257.02963	631.9481	 
80	170.091	504.07465	 	10.469741	612.3905	 	255.62619	632.15967	 
81	170.22073	503.0729	 	10.465374	610.0706	 	256.00458	631.97705	 
82	170.16599	502.47952	 	10.618066	612.73047	 	256.27716	632.15564	 
83	170.28947	501.85223	 	10.690871	611.28564	 	254.1402	631.9662	 
84	170.3073	501.7231	 	11.466851	613.5511	 	253.17433	632.1991	 
85	170.37143	501.7796	 	11.428771	614.3729	 	253.45932	632.22375	 
86	170.5081	502.38867	 	12.792367	611.80273	 	251.79703	632.198	 
87	170.56598	502.96805	 	10.770083	611.6856	 	254.54433	632.28546	 
88	170.62883	504.16257	 	10.777392	611.93414	 	256.04337	631.96375	 
89	170.61406	505.63034	 	10.782051	612.9672	 	255.96777	632.20715	 
90	170.6879	507.32254	 	10.855126	615.52826	 	259.35306	631.771	 
91	170.69753	509.31686	 	10.896476	615.3884	 	258.79443	631.8204	 
92	170.83812	511.48157	 	10.46291	611.577	 	257.09702	632.0037	 
93	170.7689	513.9286	 	10.584986	612.6728	 	257.08975	631.9707	 
94	170.83472	516.78064	 	10.494413	610.5698	 	254.2619	631.98676	 
95	170.95094	519.80273	 	10.833795	612.28253	 	254.20662	632.1512	 
96	170.88689	523.11523	 	10.972701	615.61206	 	253.96324	632.07947	 
97	171.00423	526.75525	 	10.682203	612.72034	 	255.69933	631.9925	 
98	170.8785	530.7839	 	13.0561495	614.18585	 	253.89378	632.0544	 
99	171.0182	535.11456	 	11.443134	613.4501	 	251.94098	632.21875	 
100	171.13696	539.6326	 	11.437244	612.65826	 	254.71582	632.07916	 
101	171.24179	544.46936	 	10.770687	612.79596	 	256.36075	632.05334	 
102	171.19414	549.72125	 	11.570151	613.4299	 	256.03217	631.9209	 
103	171.17174	555.28046	 	10.610145	613.2464	 	257.04578	631.9286	 
104	171.21011	560.95166	 	10.722385	613.8564	 	256.94815	632.0675	 
105	171.26035	567.05994	 	10.57	612.49146	 	256.49268	631.9113	 
106	171.35178	573.29645	 	10.613154	611.6938	 	255.66544	632.14154	 
107	171.30045	579.59314	 	11.22517	611.73126	 	254.25568	632.15796	 
108	171.42683	586.50665	 	11.118715	613.1494	 	255.50182	632.2034	 
109	171.28413	593.6013	 	11.453867	612.7972	 	251.55217	632.3174	 
110	171.40428	601.9501	 	11.553134	612.5858	 	252.32047	632.19965	 
111	171.53687	608.69714	 	11.59915	615.7606	 	250.55605	632.2373	 
112	171.37549	602.74316	 	13.387305	613.09973	 	251.26167	632.2367	 
113	171.316	597.828	 	11.474428	612.32635	 	250.96922	632.2571	 
114	171.22392	593.9111	 	11.340845	614.9761	 	254.62479	632.039	 
115	171.21399	590.35596	 	10.676218	612.2321	 	255.38744	632.22046	 
116	171.11443	587.1454	 	10.53779	612.81976	 	256.8346	631.9023	 
117	170.93558	583.9029	 	10.873157	615.6475	 	257.42093	631.8533	 
118	170.89183	581.03467	 	10.890071	613.22766	 	256.30734	632.0468	 
119	170.85162	578.4817	 	10.937151	610.92596	 	256.15582	632.03156	 
120	170.7808	576.2475	 	10.600955	610.25446	 	253.12715	632.0533	 
121	170.77621	574.2944	 	10.70442	612.1188	 	253.96034	631.9948	 
122	170.60493	572.70166	 	10.680515	612.9126	 	254.53519	632.28516	 
123	170.45354	571.33435	 	11.5	614.49585	 	254.90575	632.00806	 
124	170.40361	570.12854	 	10.793872	612.4109	 	253.38475	632.0305	 
125	170.24493	569.33606	 	11.387324	613.77466	 	253.34453	632.21204	 
126	170.36157	568.7521	 	11.343836	613.3082	 	250.94142	632.43207	 
127	170.1875	568.52216	 	11.043883	611.01196	 	248.60477	632.3682	 
128	170.20673	568.70776	 	11.254386	611.2409	 	253.38718	632.1239	 
129	170.07	569.3	 	10.654285	612.84	 	255.84514	631.8823	 
130	169.8246	570.22784	 	10.58116	612.7869	 	256.8431	631.889	 
131	169.68864	571.1146	 	10.646199	613.3655	 	257.92993	631.89734	 
132	169.67923	572.4287	 	10.564841	612.7882	 	257.35248	632.09	 
133	169.62097	573.7036	 	10.767956	610.79974	 	257.38806	631.9055	 
134	169.47778	575.47174	 	11.114874	609.53186	 	256.48044	632.0427	 
135	169.43483	577.5937	 	10.740332	611.8785	 	253.28534	632.144	 
136	169.19263	580.0164	 	11.526875	615.5948	 	253.15268	632.03357	 
137	169.24052	582.52795	 	11.426027	612.87805	 	249.6882	632.1922	 
138	169.15376	585.5448	 	10.913074	613.4694	 	250.00894	632.3049	 
139	169.08212	588.82434	 	10.53338	610.70447	 	247.85876	632.5081	 
140	168.9653	592.38367	 	10.881081	610.9595	 	251.25868	632.30164	 
141	168.91803	596.48975	 	10.719581	612.6902	 	252.54138	632.3276	 
142	168.65656	601.28864	 	10.709402	613.29205	 	256.57077	631.96185	 
143	168.6675	608.1186	 	10.570278	612.9553	 	257.47455	631.9873	 
144	168.45738	608.06555	 	10.591176	613.2235	 	259.34155	631.9239	 
145	168.44676	603.47906	 	10.433908	611.625	 	257.48282	631.88934	 
146	168.32031	600.709	 	10.907895	615.43274	 	256.9502	631.9847	 
147	168.29175	598.17975	 	10.859331	611.69916	 	254.08481	632.1696	 
148	168.01689	596.2952	 	10.551701	609.5394	 	252.63309	632.28235	 
149	167.94112	594.61176	 	13.2369795	613.28516	 	248.8459	632.42456	 
150	167.7099	593.3218	 	11.651432	613.61597	 	247.5412	632.3003	 
151	167.5911	592.3832	 	12.903183	613.2865	 	247.96666	632.39594	 
152	167.5737	591.7789	 	11.232606	611.25305	 	250.50859	632.3471	 
153	167.48602	591.41614	 	11.030201	610.5416	 	250.08113	632.3659	 
154	167.416	591.452	 	11.229364	611.9506	 	252.76025	632.2754	 
155	167.122	592.004	 	10.512623	610.176	 	255.93253	632.0083	 
156	166.93222	592.5393	 	10.740687	613.0401	 	257.03717	631.74164	 
157	166.86874	593.4218	 	10.735205	615.2481	 	258.59283	631.7437	 
158	166.68307	594.45276	 	10.624641	612.2722	 	258.39563	631.722	 
159	166.68526	595.6215	 	10.839888	612.868	 	255.1874	632.0009	 
160	166.52751	597.2858	 	10.933243	610.88556	 	252.15625	632.1892	 
161	166.44174	599.48444	 	10.542063	610.3711	 	251.0299	632.24255	 
162	166.31369	601.8631	 	11.358311	611.9537	 	250.96701	632.3177	 
163	166.16776	606.59656	 	11.171809	613.81555	 	248.64566	632.23486	 
164	165.97627	608.4051	 	11.038569	613.87866	 	251.50992	632.1975	 
165	165.86574	607.0585	 	11.134349	613.29504	 	251.18977	632.19965	 
166	165.78598	603.9467	 	11.375	611.8261	 	249.8931	632.3355	 
167	165.706	602.76215	 	11.051265	609.93677	 	251.19763	632.33954	 
168	165.60577	601.86346	 	10.54329	612.77704	 	254.92857	632.1523	 
169	165.35445	601.3885	 	10.671631	612.8801	 	255.46196	632.2174	 
170	165.16667	601.0	 	10.742121	612.94556	 	256.909	631.86755	 
171	165.11597	601.10645	 	10.939131	614.86957	 	256.27112	632.04596	 
172	164.95905	601.31525	 	10.638968	613.4599	 	253.75919	632.11395	 
173	164.88158	601.9549	 	13.170143	612.28357	 	252.03445	632.0647	 
174	164.73485	602.7443	 	10.937242	612.22	 	250.54095	632.3754	 
175	164.5978	604.2177	 	10.5	610.2141	 	250.15247	632.28876	 
176	164.54976	607.6364	 	11.206522	612.087	 	250.56721	632.0426	 
177	164.27744	608.59247	 	10.833333	613.35675	 	251.26271	632.2814	 
178	164.26997	607.9201	 	10.726124	612.8764	 	250.26451	632.2214	 
179	164.19951	607.078	 	10.750689	611.59644	 	250.69934	632.3688	 
180	164.06522	606.4682	 	10.994653	609.9171	 	250.565	632.305	 
181	163.84941	606.3902	 	10.568493	610.4959	 	251.4572	632.2517	 
182	163.7291	606.68396	 	10.437765	611.30054	 	253.73048	632.09894	 
183	163.50807	607.6952	 	10.636628	612.96075	 	257.23508	631.9795	 
184	163.36678	608.61237	 	10.55891	612.9507	 	268.55185	631.284	 
185	163.23718	608.6939	 	10.602564	611.6624	 	256.9532	631.97565	 
186	163.40706	608.39746	 	10.887449	610.882	 	253.72508	632.0206	 
187	163.1767	608.0119	 	10.501357	609.5366	 	251.7262	632.267	 
188	163.02196	607.9878	 	10.497241	611.0876	 	250.89108	632.2547	 
189	162.90575	608.2428	 	11.095007	613.3072	 	249.38235	632.3284	 
190	162.87617	608.4639	 	10.886236	613.1166	 	247.95111	632.35016	 
191	162.68051	608.17255	 	11.484807	613.221	 	249.11047	632.24304	 
192	162.58252	608.1602	 	13.40723	616.08936	 	251.16553	632.23517	 
193	162.5633	608.33704	 	11.698434	610.4452	 	249.43344	632.3068	 
194	162.3352	608.3944	 	13.142307	612.24615	 	250.47983	632.19745	 
195	162.1992	608.4664	 	10.307479	609.32135	 	254.58734	632.1203	 
196	162.10976	608.5602	 	10.556851	612.7901	 	257.6331	631.90686	 
197	161.99303	608.9108	 	10.735294	612.9763	 	257.35867	631.7844	 
198	161.86978	608.5418	 	10.586831	612.81696	 	256.1807	632.0469	 
199	161.8613	608.45	 	10.885715	613.37286	 	255.0466	632.0412	 
200	161.79617	608.2341	 	11.428475	612.2274	 	251.2591	632.29724	 
201	161.66399	608.1077	 	11.843708	614.1022	 	247.99174	632.5099	 
202	161.51602	608.21313	 	10.75838	612.33936	 	247.5813	632.4268	 
203	161.38835	608.0437	 	11.63931	613.90137	 	247.4008	632.3928	 
204	161.20854	608.2295	 	10.925107	613.7753	 	252.38423	632.22986	 
205	161.1202	608.1939	 	11.244089	613.79486	 	248.45396	632.3222	 
206	161.11327	608.38513	 	10.788136	612.9237	 	251.57155	632.3639	 
207	160.97833	608.5	 	10.90457	610.5941	 	250.20868	632.2659	 
208	160.84143	608.58093	 	10.587644	612.31177	 	254.58102	632.17957	 
209	160.69807	608.6369	 	10.738029	611.6803	 	256.22116	631.9865	 
210	160.72223	608.7351	 	10.856509	615.0932	 	258.0895	631.83466	 
211	160.53871	608.62256	 	10.793777	613.50146	 	256.67407	631.887	 
212	160.4697	608.67706	 	10.763456	612.9561	 	254.8899	632.05054	 
213	160.41667	608.4888	 	10.523611	610.88336	 	254.44946	632.1769	 
214	160.2411	608.32684	 	11.166667	611.62634	 	249.415	632.47	 
215	160.20383	608.23566	 	10.921053	610.68353	 	247.3375	632.5125	 
216	160.0414	608.3837	 	13.119493	614.63885	 	247.80049	632.4393	 
217	159.8752	608.30835	 	10.808782	613.4929	 	249.43137	632.2729	 
218	159.71587	608.48254	 	10.89021	613.16016	 	250.69386	632.1866	 
219	159.72617	608.4467	 	10.784107	612.8375	 	250.93463	632.2368	 
220	159.60097	608.3878	 	10.606648	611.46124	 	250.54034	632.27545	 
221	159.51427	608.5618	 	10.710971	612.7827	 	251.88744	632.2871	 
222	159.38312	608.65424	 	10.504298	612.50714	 	253.5978	632.048	 
223	159.2056	608.8648	 	10.61288	612.8213	 	256.7785	631.9542	 
224	159.11316	608.8965	 	10.866177	615.4309	 	256.13687	631.99347	 
225	158.94911	608.7278	 	10.664757	612.25214	 	254.99626	632.10077	 
226	158.83926	608.48706	 	10.910292	612.02155	 	250.55812	632.2282	 
227	158.77531	608.5902	 	11.673442	613.6233	 	250.8317	632.25696	 
228	158.52385	608.41895	 	12.937258	612.9515	 	249.00081	632.3363	 
229	158.4305	608.5632	 	11.014403	612.4904	 	247.74371	632.36163	 
230	158.23291	608.44116	 	11.5362625	613.8166	 	248.1023	632.42145	 
231	158.23802	608.6917	 	11.158192	614.37573	 	250.71243	632.2772	 
232	158.07507	608.57825	 	10.787749	612.8732	 	249.77731	632.3319	 
233	158.00081	608.5982	 	10.84573	611.86365	 	249.63432	632.3159	 
234	157.90544	608.78845	 	10.511111	610.4722	 	251.45583	632.21204	 
235	157.61765	608.8593	 	10.786132	614.6883	 	252.8881	632.1224	 
236	157.52051	609.14984	 	10.609705	611.2426	 	254.73582	632.10876	 
237	157.32439	608.9097	 	10.522026	612.7188	 	256.9	631.9305	 
238	157.1624	608.9336	 	10.572046	612.69885	 	254.8091	631.98724	 
239	157.12839	608.8732	 	10.638223	612.8075	 	253.91505	632.1007	 
240	157.07556	608.61255	 	10.591768	609.59717	 	248.5487	632.3896	 
241	156.91483	608.6088	 	13.174418	612.82556	 	248.15773	632.37225	 
242	156.79855	608.4053	 	13.152632	613.3579	 	248.16187	632.26764	 
243	156.6294	608.66614	 	11.621585	613.444	 	248.0611	632.45013	 
244	156.4791	608.6511	 	11.110951	615.88763	 	249.1033	632.3562	 
245	156.36053	608.7203	 	10.633144	612.78326	 	250.7824	632.26245	 
246	156.2027	608.8514	 	10.645251	612.47766	 	248.7392	632.2724	 
247	156.1656	608.9739	 	10.454733	609.8841	 	251.5035	632.35516	 
248	156.02335	609.1425	 	10.573342	611.27716	 	254.03488	632.0098	 
249	155.90033	609.1175	 	10.592725	611.8452	 	254.21243	632.2254	 
250	155.6742	609.1726	 	10.751142	615.6309	 	254.24187	632.1864	 
251	155.58917	609.0764	 	10.659483	612.9928	 	255.03888	631.972	 
252	155.45686	609.04474	 	10.5548525	611.4958	 	252.87213	632.1102	 
253	155.35898	608.85095	 	10.534293	610.6578	 	249.2774	632.33136	 
254	155.27777	608.6635	 	10.781672	610.62805	 	247.99132	632.41156	 
255	155.14262	608.60254	 	11.122463	611.9709	 	247.17453	632.4198	 
256	154.91083	608.65125	 	10.89021	613.0161	 	248.79868	632.47687	 
257	154.869	608.8307	 	11.478873	614.5183	 	248.08609	632.4073	 
258	154.74083	608.9131	 	11.082153	614.11896	 	251.83447	632.1058	 
259	154.60535	609.0503	 	10.847262	614.6066	 	250.55263	632.3115	 
260	154.50797	609.0876	 	10.585434	611.4496	 	250.79402	632.2983	 
261	154.50795	609.0501	 	10.854108	612.8187	 	252.9882	632.29126	 
262	154.30573	609.0494	 	10.429478	610.8498	 	252.98029	632.1022	 
263	154.24681	609.1704	 	10.641193	613.0342	 	254.75047	632.20435	 
264	154.05537	609.1116	 	10.517266	611.8194	 	257.83206	631.9675	 
265	153.96165	609.0751	 	11.041193	613.1293	 	253.24689	632.15594	 
266	153.85304	608.89294	 	10.831461	612.89746	 	249.68633	632.3547	 
267	153.79968	608.87537	 	10.961329	611.363	 	248.28981	632.38214	 
268	153.5938	608.6399	 	13.33355	612.7666	 	246.21632	632.4334	 
269	153.52377	608.8201	 	13.726978	612.90076	 	248.51126	632.299	 
270	153.40047	609.0419	 	11.501403	614.0442	 	250.42728	632.2785	 
271	153.34665	609.0319	 	11.441926	613.5297	 	251.39632	632.1661	 
272	153.3551	609.0494	 	10.856932	615.58704	 	252.24603	632.2266	 
273	153.18471	609.10034	 	10.627119	612.64124	 	252.54028	632.2548	 
274	153.17398	609.2241	 	10.579609	611.2919	 	251.61806	632.13367	 
275	153.02396	609.1534	 	10.619943	612.935	 	254.49265	632.08453	 
276	152.9369	609.2255	 	10.573864	611.7301	 	254.277	632.11237	 
277	152.83072	609.2304	 	10.636495	612.87213	 	252.7862	632.0264	 
278	152.73969	609.0857	 	10.747863	612.9715	 	251.65881	632.1213	 
279	152.754	609.0383	 	10.686686	612.856	 	250.32623	632.33813	 
280	152.75984	608.95197	 	10.900838	612.6662	 	247.25688	632.3898	 
281	152.66876	608.9811	 	11.675914	613.72736	 	246.04445	632.45557	 
282	152.58661	608.8228	 	12.913437	612.27	 	248.44286	632.3238	 
283	152.5351	608.9274	 	10.947075	613.2841	 	250.82402	632.12665	 
284	152.53055	608.9373	 	10.9291725	613.14233	 	251.85182	632.2556	 
285	152.6294	609.09424	 	10.725852	613.2244	 	252.00438	632.34064	 
286	152.4984	609.1891	 	11.205146	613.5223	 	250.20753	632.33716	 
287	152.41962	609.1061	 	10.564789	611.3563	 	253.79144	632.0938	 
288	152.44754	609.14386	 	10.545519	611.36346	 	253.05951	632.0648	 
289	152.32448	609.1377	 	10.627722	612.9267	 	253.73972	632.03845	 
290	152.2981	609.22815	 	11.014686	612.23425	 	253.60074	632.18317	 
291	152.2871	609.0435	 	10.46382	612.21924	 	252.46169	632.18066	 
292	152.23608	609.0231	 	10.586231	611.1342	 	251.42308	632.2248	 
293	152.25555	608.8794	 	11.086351	612.6128	 	249.31833	632.2883	 
294	152.22223	608.77936	 	10.752077	612.44324	 	249.51329	632.3322	 
295	152.31004	608.8516	 	12.931217	613.2315	 	247.31139	632.40405	 
296	152.22974	608.76074	 	11.484952	613.5055	 	247.07904	632.41345	 
297	152.22044	608.98083	 	11.511096	613.56104	 	249.4629	632.46625	 
298	152.34445	608.95557	 	10.823446	613.04376	 	250.77568	632.18494	 
299	152.39456	609.0319	 	10.740741	612.96014	 	251.45195	632.22064	 
300	152.31804	609.06964	 	10.623611	611.6625	 	252.0865	632.0917	 
301	152.28336	609.19385	 	10.665957	612.86597	 	251.66206	632.2414	 
302	152.35463	609.0655	 	10.565156	612.296	 	254.6547	632.1077	 
303	152.33438	609.08673	 	10.662124	612.8716	 	251.84636	632.1963	 
304	152.4152	609.1288	 	10.672222	610.9667	 	252.4195	632.2728	 
305	152.47612	608.914	 	10.568917	611.31854	 	252.13713	632.1695	 
306	152.50952	608.94604	 	10.719409	612.8249	 	248.8056	632.5	 
307	152.51126	608.7974	 	10.957182	612.2044	 	247.51157	632.4554	 
308	152.56793	608.72906	 	13.484211	614.31445	 	246.19293	632.4598	 
309	152.52737	608.7657	 	10.745441	613.04	 	248.8042	632.27985	 

Track 	Length	Distance traveled	Nr of Frames
1	819.4964	380.40854	309
2	479.90543	0.7372645	309
3	468.95596	6.247715	309
