Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
1	2.4057238	549.93604	 	 	 	 	 	 	 
2	2.1374571	549.7302	 	 	 	 	 	 	 
3	1.7120141	544.74207	 	 	 	 	 	 	 
4	2.2088187	546.901	 	 	 	 	 	 	 
5	1.6675774	545.6967	 	 	 	 	 	 	 
6	1.7372583	544.35767	 	 	 	 	 	 	 
7	1.6885397	548.0823	 	 	 	 	 	 	 
8	1.8333334	551.9286	 	 	 	 	 	 	 
9	1.6982609	542.6896	 	 	 	 	 	 	 
10	1.8015873	546.6111	 	 	 	 	 	 	 
11	1.731729	546.4857	 	 	 	 	 	 	 
12	1.7582897	544.85077	 	 	 	 	 	 	 
13	2.2365685	550.5225	 	 	 	 	 	 	 
14	1.7259786	544.76337	 	 	 	 	 	 	 
15	2.3360927	546.8361	 	 	 	 	 	 	 
16	1.6909091	547.20544	 	 	 	 	 	 	 
17	1.7411972	545.037	 	 	 	 	 	 	 
18	1.7455516	547.70996	 	 	 	 	 	 	 
19	1.6538461	544.63776	 	 	 	 	 	 	 
20	1.7469136	544.9568	 	 	 	 	 	 	 
21	1.7293907	546.33514	 	 	 	 	 	 	 
22	1.7706093	548.491	 	 	 	 	 	 	 
23	1.7554348	547.75903	 	 	 	 	 	 	 
24	1.8292469	546.6296	 	125.03863	24.48234	 	135.47679	57.94515	 
25	1.7169118	548.5073	 	125.79978	24.13895	*	135.17873	61.657448	*
26	1.8162706	551.89307	 	125.05749	23.627983	*	135.08531	65.46328	*
27	1.7476722	550.51306	 	124.53386	23.222347	*	135.01208	69.48682	*
28	2.104895	549.2587	 	125.197105	23.355234	*	134.82307	73.97253	 
29	1.6992551	550.1704	 	125.79103	23.462801	 	134.50897	78.565025	 
30	1.7157221	548.5	 	126.231705	23.522173	 	134.40889	83.6344	 
31	1.6490566	549.7057	 	126.30743	23.400232	 	134.27136	89.02194	 
32	1.7633452	545.7224	 	126.14381	23.35177	 	134.17447	94.61475	 
33	1.7313433	551.01306	 	126.64773	23.459091	 	134.01643	100.44836	 
34	1.7859745	550.48724	 	126.93297	23.462637	 	133.77187	106.67731	 
35	1.7413793	548.1497	 	126.68345	23.305368	 	133.67233	113.1068	 
36	1.7341198	548.1497	 	126.84658	23.224062	 	133.56038	119.87681	 
37	1.6863799	545.06274	 	127.21429	23.296875	 	133.3184	126.9403	 
38	1.829879	545.73315	 	126.78194	23.339207	 	133.14377	134.29135	 
39	1.5796964	548.8719	 	127.4289	23.215597	 	132.89267	142.03403	 
40	1.7698961	544.37024	 	126.43682	23.1122	 	132.72427	150.01979	 
41	1.7702702	548.03156	 	127.468254	23.289116	 	132.52902	158.27045	 
42	1.6963637	547.2509	 	127.19042	23.21715	 	132.41689	166.76274	 
43	1.8043479	548.41486	 	127.08451	23.096245	 	132.43074	175.59972	 
44	1.7826087	548.5707	 	127.038635	23.170454	 	132.10834	184.65555	 
45	1.9054545	552.43634	 	127.12045	23.21591	 	131.96089	194.22626	 
46	1.7604736	547.9608	 	127.15977	23.152874	 	131.87357	203.78448	 
47	1.7513762	549.8945	 	126.6875	23.03125	 	131.68073	214.06927	 
48	1.6857638	542.07983	 	127.227875	23.225664	 	131.5119	224.47322	 
49	1.7568808	549.9844	 	126.755554	23.017778	 	131.25076	235.00153	 
50	1.7837127	545.56305	 	126.936806	22.870289	 	131.26147	245.82722	 
51	1.701401	542.6874	 	127.466446	23.057047	 	130.95795	257.00778	 
52	1.7455198	547.5287	 	127.7533	23.048458	 	130.8511	268.72256	 
53	1.766	558.35	 	127.13785	22.929907	 	130.80519	280.57144	 
54	1.963035	560.6926	 	127.77169	22.91096	 	130.36469	292.6386	 
55	1.7831541	548.46594	 	127.51354	22.705418	 	130.30592	305.0691	 
56	1.754417	545.9894	 	127.43932	22.717978	 	130.08922	317.62796	 
57	1.8286219	546.79504	 	127.416664	22.788288	 	129.9602	330.72147	 
58	1.6807017	542.44037	 	127.762794	22.597675	 	129.78572	344.08215	 
59	1.8009346	552.6458	 	127.4304	22.564964	 	129.37682	357.60144	 
60	1.6705989	546.6361	 	127.61547	22.585451	 	129.42279	371.47058	 
61	1.7167578	548.22314	 	128.26073	22.727991	 	128.98872	385.5827	 
62	1.6711712	545.9865	 	127.65677	22.5	 	129.12122	399.92804	 
63	1.6564147	541.68805	 	128.07143	22.59836	 	128.78745	414.6336	 
64	1.6894354	547.0592	 	128.44406	22.490677	 	128.82245	429.87958	 
65	1.6958042	542.6119	 	127.67007	22.379818	 	128.71115	445.0976	 
66	1.7712766	547.1188	 	127.73165	22.192661	 	128.292	460.576	 
67	1.7175503	548.7614	 	128.36603	22.258373	 	128.05284	476.44308	 
68	1.8092225	549.7821	 	128.29129	22.440367	 	127.8375	492.55	 
69	1.6716287	542.176	 	127.94519	22.271812	 	127.94681	508.9851	 
