Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3
Tracks 1 to 3
1,54.53702,79.77585, , , , , , , 
2,54.834232,79.36073, , , , , , , 
3,55.28711,79.66432, , , , , , , 
4,55.557167,79.35027, , , , , , , 
5,56.08072,79.564575, , , , , , , 
6,56.3029,79.35546, , , , , , , 
7,56.744446,79.26372, , , , , , , 
8,57.090412,79.44109, , , , , , , 
9,57.60063,79.84928, , , , , , , 
10,57.89289,79.481766, , , , , , , 
11,58.356487,79.73934, , , , , , , 
12,58.6143,79.355194, , , , , , , 
13,59.17569,79.99255, , , , , , , 
14,59.256805,79.90696, , , , , , , 
15,59.731884,79.50136, , , , , , , 
16,60.19269,79.12733, , , , , , , 
17,60.605667,79.24739, , , , , , , 
18,61.102604,79.57768, , , , , , , 
19,61.623703,79.476524, , , , , , , 
20,62.094048,79.44903, , , , , , , 
21,62.59462,79.3722, , , , , , , 
22,62.88565,79.049324, , , , , , , 
23,63.388542,79.18836, , , , , , , 
24,63.910347,78.900536, , , , , , , 
25,64.27339,78.88226, , , , , , , 
26,64.84002,79.04708, , , , , , , 
27,65.2869,78.67575, , , , , , , 
28,65.73975,79.20576, , , , , , , 
29,66.33784,78.491714, , , , , , , 
30,66.63928,78.55434, , , , , , , 
31,67.29812,78.672005, , , , , , , 
32,67.87196,78.77482, , , , , , , 
33,68.32835,78.96436, , , , , , , 
34,68.970535,78.57407, , , , , , , 
35,69.185394,78.55909, , , , , , , 
36,69.687805,78.8439, , , , , , , 
37,70.28621,78.67054, , , , , , , 
38,70.63309,78.62338, , , , , , , 
39,71.36509,79.068855, , , , , , , 
40,71.746994,78.428345, , , , , , , 
41,72.32463,78.787766, , , , , , , 
42,72.96569,78.81428, , , , , , , 
43,73.22799,78.5739, , , , , , , 
44,73.82178,78.748146, , , , , , , 
45,74.29396,78.676994, , , , , , , 
46,75.01881,78.86526, , , , , , , 
47,75.49279,79.08428, , , , , , , 
48,76.12552,78.9455, , , , , , , 
49,77.02634,78.97669, , , , , , , 
50,77.724785,79.34927, , , , , , , 
51,78.695206,79.56753, , , , , , , 
52,79.79931,80.28381, , , , , , , 
53,81.25991,80.73318, , , , , , , 
54,82.649765,82.002686, , , , , , , 
55,84.2863,83.68552, , , , , , , 
56,85.84731,85.80957, , , , , , , 
57,87.35062,88.65934, , , , , , , 
58,88.733925,92.03549, , , , , , , 
59,90.08039,96.27712, , , , , , , 
60,91.79221,101.4303, , , , , , , 
61,109.165146,106.83232,*,64.97009,108.73738, , , , 
62,111.80202,116.79798,*,64.818565,108.56786, , , , 
63,114.44447,128.01605,*,64.889366,108.52849, , , , 
64,117.10942,140.61855, ,64.876976,108.61328, , , , 
65,119.72312,153.95943, ,64.808426,108.97222, , , , 
66,122.39995,168.72485, ,64.92979,108.62535, , , , 
67,125.104095,184.30829, ,65.03976,108.96118, , , , 
68,127.75479,201.31685, ,64.74837,108.54295, , , , 
69,130.37299,219.31049, ,64.75998,108.96426, , , , 
70,132.99524,238.58571, ,64.88837,108.60694, , , , 
71,135.68744,258.9372, ,64.67913,108.65512, , , , 
72,138.33928,280.47488, ,64.57956,108.43802, , , , 
73,141.01253,303.4394, ,64.80797,108.96553, , , , 
74,143.78308,327.46118, ,64.87978,108.995445, , , , 
75,146.4268,352.63602, ,64.65184,108.62759, , , , 
76,149.27422,379.1507, ,64.79148,108.85874, , , , 
77,151.96887,406.72876, ,64.55904,108.438286, , , , 
78,154.59877,435.70984, ,64.75,108.63273, , , , 
79,157.42606,465.8756, ,65.0041,109.12875, , , , 
80,160.14261,497.34933, ,64.73894,109.020355, , , , 
81,162.83008,530.147, ,64.7375,108.94643, , , , 
82,165.72076,564.05505, ,64.8851,109.055855, , , , 
83,168.47859,599.61237, ,64.82496,109.00539, , , , 
84,171.21284,636.171, ,64.738914,108.609505, , , , 
85,174.02089,674.03723, ,64.78287,108.60426, , , , 
86,176.75035,713.38055, ,64.873634,108.73182, , , , 
87,179.5537,754.14575, ,65.07315,109.062035, , , , 
88,182.30685,796.01086, ,64.82755,108.4708, , , , 
89,185.0754,839.4032, ,64.78402,108.74292, , , , 
90,187.96127,883.8503, ,64.81053,108.96265, , , , 
91,190.95305,904.12317, ,64.78307,108.804344, , , , 
92,193.82854,898.4077, ,64.661736,108.59242, , , , 
93,196.69197,886.40625, ,64.59208,108.53131, , , , 
94,199.48619,876.0902, ,64.6576,108.33963, , , , 
95,202.5202,866.8647, ,64.61613,108.25852, , , , 
96,205.26854,858.80316, ,64.54063,108.606186, , , , 
97,208.2003,852.0371, ,64.76487,108.686806, , , , 
98,211.11067,846.5074, ,64.81105,108.516716, , , , 
99,214.01666,841.9157, ,64.70353,108.58643, , , , 
100,216.8999,838.7447, ,64.7426,108.29847, , , , 
101,219.82382,836.51184, ,64.9176,109.04307, , , , 
102,222.73285,835.8255, ,64.75888,108.64206, , , , 
103,225.70068,836.1286, ,64.7117,108.317085, , , , 
104,228.44612,837.5667, ,64.62477,108.645874, , , , 
105,231.45163,840.3781, ,64.68367,108.81169, , , , 
106,234.33754,844.2573, ,64.61324,108.87443, , , , 
107,237.27644,849.5324, ,64.95599,108.88951, , , , 
108,240.35085,855.7097, ,64.88087,108.75851, , , , 
109,243.19022,863.28204, ,64.721306,108.387054, , , , 
110,246.11679,871.9916, ,64.844505,108.7216, , , , 
111,249.14694,882.0163, ,64.96133,108.63996, , , , 
112,252.04727,893.7316, ,64.76809,108.923004, , , , 
113,254.91028,901.56116, ,64.87627,108.851425, , , , 
114,258.01978,900.8537, ,64.68275,108.63173, , , , 
115,260.72366,898.47687, ,64.641815,108.65727, , , , 
116,263.69614,895.16394, ,64.78584,108.78402, , , , 
117,266.56235,892.4701, ,64.60102,108.51205, , , , 
118,269.46194,890.75037, ,64.697395,109.103355, , , , 
119,272.37506,890.73083, ,64.73481,108.40792, , , , 
120,275.33344,891.85297, ,64.871025,108.772896, , , , 
121,278.26135,894.17365, ,64.945694,108.723785, , , , 
122,281.24228,897.24963, ,64.57868,108.75617, , , , 
123,284.06488,899.81445, ,64.72048,108.47878, , , , 
124,287.15518,900.1149, ,64.67834,108.700745, , , , 
125,289.97775,899.2055, ,64.75232,108.67996, , , , 
126,292.8499,898.334, ,65.07479,109.23566, , , , 
127,295.84396,898.0098, ,64.89544,108.65304, , , , 
128,298.73553,898.72394, ,64.47742,108.68428, , , , 
129,301.7597,899.4548, ,64.72667,108.18191, , , , 
130,304.52557,899.90546, ,64.84799,108.58513, , , , 
131,307.41898,899.4325, ,64.73827,108.91088, , , , 
132,310.36554,898.8836, ,64.811195,108.98956, , , , 
133,313.2218,899.1757, ,64.8128,108.48294, , , , 
134,316.13797,899.57385, ,64.71246,108.40652, , , , 
135,319.1236,899.5556, ,64.833015,108.752144, , , , 
136,322.04465,899.87915, ,64.66114,108.586555, , , , 
137,325.0068,899.57916, ,64.6951,108.826675, , , , 
138,327.93805,899.4046, ,64.867676,108.92817, , , , 
139,330.72348,899.8205, ,64.56594,108.67435, , , , 
140,333.67905,899.7522, ,64.668816,109.168816, , , , 
141,336.88354,899.6488, ,64.85914,108.833954, , , , 
142,339.8184,899.488, ,64.557945,108.26075, , , , 
143,342.86032,899.77997, ,64.978264,109.13182, , , , 
144,345.78146,899.68225, ,64.97403,109.14378, , , , 
145,348.6787,899.9595, ,64.85023,108.64009, , , , 
146,351.55374,899.7208, ,64.72825,108.774086, , , , 
147,354.7078,899.4874, ,64.785446,108.65106, , , , 
148,357.65277,899.6107, ,65.04818,108.94808, , , , 
149,360.35516,899.65735, ,64.7191,108.06835, , , , 
150,363.52597,899.6385, ,64.58635,108.572426, , , , 
151,366.44745,899.90204, ,64.77298,108.56848, , , , 
152,369.4044,900.06134, ,64.62306,108.942116, , , , 
153,372.25806,899.834, ,64.724815,108.62407, , , , 
154,375.79898,899.68695, ,64.722115,108.98204, , , , 
155,378.54092,899.5, ,64.73121,108.84634, , , , 
156,381.44583,899.6604, ,64.59108,108.21737, , , , 
157,384.43887,899.3392, ,64.74617,108.33908, , , , 
158,387.72156,899.19867, ,64.5882,108.32167, , , , 
159,390.68826,899.5825, ,64.81758,108.398865, , , , 
160,393.20505,899.4872, ,64.878555,108.81879, , , , 
161,395.47162,899.6097, ,64.83804,108.51789, , , , 
162,397.01736,899.5347, ,64.716774,108.74505, , , , 
163,398.37793,899.7029, ,64.70095,108.81143, , , , 
164, , , ,64.91509,109.01981, , , , 
165, , , ,64.61597,108.32414, , , , 
166, , , ,64.844864,108.8122, , , , 
167, , , ,64.77629,108.99713, , , , 
168, , , ,64.82466,108.55395, , , , 
169, , , ,64.93166,109.19518, , , , 
170, , , ,64.899,109.348755, , , , 
171, , , , , , , , , 
172, , , , , , ,64.67171,108.752686, 
173, , , , , , ,64.593,108.493, 
174, , , , , , ,64.60857,108.42032, 
175, , , , , , , , , 
176, , , , , , , , , 
177, , , , , , , , , 
178, , , , , , , , , 
179, , , , , , , , , 
180, , , , , , , , , 
181, , , , , , , , , 
182, , , , , , , , , 
183, , , , , , , , , 
184, , , , , , , , , 
