 ,Area,XM,YM,Slice
1,5716,465.695,65.354,29
2,5692,469.845,106.999,30
3,5656,472.529,149.417,31
4,5628,475.365,193.746,32
5,5612,478.389,240.039,33
6,5581,481.422,288.295,34
7,5566,484.197,338.330,35
8,5568,487.091,389.741,36
9,5582,489.927,443.551,37
10,5582,492.629,499.346,38
11,5601,495.270,556.812,39
12,5612,498.093,616.115,40
13,5644,500.866,677.677,41
14,5663,503.179,741.185,42
15,5724,505.467,806.364,43
16,5774,507.955,873.962,44
17,5886,510.416,943.250,45
18,5879,518.985,945.552,47
19,5834,524.542,904.147,48
20,5780,529.599,864.983,49
21,5744,534.816,827.163,50
22,5720,540.156,791.687,51
23,5696,545.150,758.132,52
24,5675,550.267,726.037,53
25,5669,555.460,696.356,54
26,5635,560.823,668.466,55
27,5624,565.812,642.549,56
28,5615,570.702,618.061,57
29,5617,575.275,595.694,58
30,5594,579.961,574.947,59
31,5605,584.663,556.546,60
32,5597,589.404,540.206,61
33,5595,594.280,525.371,62
34,5589,599.373,512.392,63
35,5613,604.089,500.838,64
36,5589,608.385,491.771,65
37,5583,612.907,484.341,66
38,5594,617.021,478.720,67
39,5574,621.347,474.802,68
40,5591,625.549,472.931,69
41,5591,629.611,472.755,70
42,5595,633.908,474.362,71
43,5584,637.966,477.779,72
44,5577,641.942,483.316,73
45,5598,646.118,490.554,74
46,5604,649.951,499.491,75
47,5606,653.908,510.268,76
48,5593,657.866,522.757,77
49,5585,661.944,537.333,78
50,5589,666.228,553.761,79
51,5588,670.162,571.551,80
52,5607,673.756,591.116,81
53,5600,677.016,613.086,82
54,5653,680.384,637.278,83
55,5647,683.889,663.368,84
56,5631,687.511,690.499,85
57,5675,691.024,719.667,86
58,5710,694.445,750.880,87
59,5706,698.155,784.452,88
60,5749,701.784,818.941,89
61,5791,705.268,855.675,90
62,5863,708.548,894.546,91
63,5900,711.959,935.602,92
64,5880,727.338,933.382,96
65,5885,731.349,908.984,97
66,5841,735.152,887.241,98
67,5823,738.995,867.480,99
68,5774,743.210,849.558,100
69,5776,747.009,833.344,101
70,5755,750.901,818.806,102
71,5740,754.499,806.276,103
72,5742,758.424,795.688,104
73,5726,762.117,786.834,105
74,5731,765.993,780.163,106
75,5714,769.620,775.095,107
76,5725,773.362,772.005,108
77,5680,776.866,770.671,109
78,5711,780.286,770.881,110
79,5714,783.769,773.500,111
80,5716,787.430,777.598,112
81,5741,790.647,783.513,113
82,5731,794.130,791.438,114
83,5740,797.638,801.237,115
84,5762,800.555,812.581,116
85,5770,803.825,825.970,117
86,5810,806.899,841.107,118
87,5825,810.080,858.374,119
88,5830,813.602,877.595,120
89,5841,816.657,898.577,121
90,5900,819.939,921.431,122
91,5934,823.268,945.615,123
92,5934,839.368,947.236,128
93,5905,842.657,932.982,129
94,5888,845.904,920.421,130
95,5876,849.083,909.424,131
96,5867,852.183,900.306,132
97,5861,855.437,893.446,133
98,5824,858.530,888.048,134
99,5816,861.904,884.638,135
100,5827,865.018,883.231,136
101,5834,868.057,883.499,137
102,5815,871.036,885.741,138
103,5859,873.946,889.597,139
104,5849,876.862,895.283,140
105,5854,879.568,902.974,141
106,5874,882.325,912.333,142
107,5877,885.051,923.572,143
108,5905,887.225,936.867,144
109,5959,889.765,952.245,145
110,5913,908.861,953.869,152
111,5896,911.399,947.873,153
