Frame,X1,Y1,Flag1,X2,Y2,Flag2
1,54.466217,111.98102, , , , 
2,55.05393,112.25915, , , , 
3,55.628155,112.150566, , , , 
4,56.31835,111.85327, , , , 
5,57.00464,111.75417, , , , 
6,57.57125,111.50403, , , , 
7,58.2921,111.23515, , , , 
8,59.009758,111.75188, , , , 
9,59.689133,111.823044, , , , 
10,60.645245,111.38041, , , , 
11,61.58101,111.997505, , , , 
12,62.732006,112.140434, , , , 
13,63.9448,112.821846, , , , 
14,65.1661,114.12148, , , , 
15,66.648155,115.56544, , , , 
16,67.89708,117.45086, , , , 
17,69.244606,120.12387, , , , 
18,70.72571,122.9249, , , , 
19,72.1183,126.8841, , , , 
20,92.80648,124.36444,*,51.054855,140.58456, 
21,95.54713,134.03423,*,50.878727,140.14641, 
22,98.246155,145.0989,*,50.974796,140.50293, 
23,100.98432,156.92459,*,50.89941,140.42625, 
24,103.89173,170.13387, ,50.95029,140.47485, 
25,106.6734,184.36798, ,50.975723,140.98381, 
26,109.422356,199.85086, ,50.972466,141.15681, 
27,112.20409,216.29665, ,50.930573,140.67152, 
28,114.92513,233.98257, ,50.954117,140.38705, 
29,117.748276,252.69162, ,50.867336,140.00412, 
30,120.59109,272.6876, ,50.974304,140.57384, 
31,123.284454,293.9956, ,50.990356,140.75716, 
32,126.090576,316.33798, ,50.939068,140.59854, 
33,128.89122,340.0195, ,50.914352,140.67708, 
34,131.82602,364.7938, ,50.92265,140.61092, 
35,134.63115,390.77243, ,50.9886,140.67767, 
36,137.46654,418.05093, ,50.973194,140.73776, 
37,140.4454,446.52298, ,51.014767,140.71541, 
38,143.2259,476.27725, ,50.93911,140.53395, 
39,146.06386,507.42722, ,51.021915,140.59526, 
40,148.9529,539.697, ,51.026924,140.70267, 
41,151.86905,573.3289, ,50.977406,140.62457, 
42,154.86823,608.4568, ,50.972694,140.56401, 
43,157.68976,644.4867, ,51.00438,140.56714, 
44,160.66917,682.0108, ,50.996525,140.56548, 
45,163.55013,720.94586, ,50.914562,140.19641, 
46,166.44951,761.0111, ,50.954865,140.56917, 
47,169.32289,802.595, ,50.977245,140.5636, 
48,172.24477,845.50806, ,50.930824,140.76561, 
49,175.16173,889.8349, ,51.081074,141.21321, 
50,178.37909,926.6793, ,50.93555,140.57358, 
51,181.15141,915.9821, ,50.902008,140.54309, 
52,184.10509,894.3709, ,50.998547,140.61519, 
53,187.16234,874.6919, ,50.95332,140.36964, 
54,190.23996,856.14246, ,51.00438,140.48541, 
55,193.14697,838.69055, ,50.93834,140.5228, 
56,196.27467,822.69116, ,50.883392,140.64606, 
57,199.24165,807.9366, ,50.892944,140.41986, 
58,202.18794,794.1775, ,50.88889,140.59415, 
59,205.10075,781.70245, ,50.87611,140.41898, 
60,208.09311,770.38367, ,50.8826,140.51848, 
61,211.06032,760.38605, ,50.92099,140.73763, 
62,214.16284,751.5282, ,50.821873,140.61797, 
63,217.17934,743.8758, ,50.78446,140.34047, 
64,220.1231,737.37836, ,50.938267,140.79315, 
65,223.18307,732.09845, ,50.72695,140.1779, 
66,226.04546,727.8675, ,50.868233,140.49762, 
67,229.01724,724.96265, ,50.754612,140.27632, 
68,232.11491,723.2544, ,50.895115,140.65137, 
69,235.09483,722.65326, ,50.870148,140.22597, 
70,238.1046,723.3268, ,50.822426,140.3025, 
71,241.14986,725.0581, ,50.75714,140.40894, 
72,244.12259,728.05865, ,50.825607,140.46791, 
73,247.20418,732.1277, ,50.854725,140.55348, 
74,250.34656,737.48364, ,50.906048,140.9096, 
75,253.40332,744.0214, ,50.818745,140.6987, 
76,256.47064,751.60443, ,50.90059,140.58673, 
77,259.5366,760.51447, ,50.83433,140.51854, 
78,262.62088,770.6233, ,50.80856,140.55647, 
79,265.77698,781.90643, ,50.81529,140.47917, 
80,268.83237,794.3569, ,50.91365,140.72789, 
81,272.0005,808.01996, ,50.918396,140.63057, 
82,275.20044,822.9381, ,50.86892,140.84401, 
83,278.25812,838.94434, ,50.778206,140.53545, 
84,281.36008,856.02924, ,50.929337,140.57216, 
85,284.51358,874.6777, ,50.81202,140.54973, 
86,287.69208,894.2735, ,50.80227,140.85843, 
87,290.8572,915.4351, ,50.70337,140.44344, 
88,294.61618,926.8606, ,50.730816,140.37372, 
89,297.44635,922.07074, ,50.77609,140.76, 
90,300.50418,913.0814, ,50.760273,140.65187, 
91,303.64075,903.6534, ,50.698437,140.38034, 
92,306.692,895.9516, ,50.677216,140.51146, 
93,309.7738,889.146, ,50.787514,140.60985, 
94,313.01917,883.47925, ,50.70134,140.3084, 
95,316.18063,879.20447, ,50.791313,140.45718, 
96,319.42682,876.1766, ,50.646107,140.50719, 
97,322.5727,874.04956, ,50.819954,140.98352, 
98,325.70877,873.34534, ,50.76421,140.44498, 
99,328.96655,873.8627, ,50.722824,140.68198, 
100,332.08606,875.52356, ,50.82973,140.84775, 
101,335.35956,878.2644, ,50.79277,140.48976, 
102,338.6416,882.18744, ,50.704437,140.91127, 
103,341.84842,887.39246, ,50.748363,140.74062, 
104,345.15735,893.6436, ,50.767033,140.5438, 
105,348.30295,901.1633, ,50.72944,140.42432, 
106,351.71133,909.81805, ,50.792316,140.62485, 
107,355.3851,919.1388, ,50.77278,140.49635, 
108,358.76666,925.6471, ,50.76944,140.69168, 
109,361.77374,924.88965, ,50.65976,140.53784, 
110,364.60315,921.73376, ,50.72422,140.52278, 
111,367.80798,918.91644, ,50.662113,140.32756, 
112,370.92804,916.231, ,50.69433,140.89409, 
113,374.1106,913.88556, ,50.5989,140.33882, 
114,377.3274,913.30457, ,50.699154,140.52414, 
115,380.7253,913.3974, ,50.736763,140.63573, 
116,383.8413,915.2203, ,50.71005,140.71005, 
117,387.14008,917.85345, ,50.647167,140.14902, 
118,390.83032,920.87665, ,50.752625,140.70938, 
119,394.1081,923.93866, ,50.6601,140.70135, 
120,397.47357,926.075, ,50.704475,140.78465, 
121,400.50406,924.5873, ,50.559486,140.48122, 
122,402.2792,923.2497, ,50.623547,140.46698, 
123,404.21893,922.3878, ,50.68165,140.97627, 
124,405.91052,922.30426, ,50.69763,140.95012, 
125,407.19485,923.21014, ,50.627857,140.72606, 
126,408.81778,924.1958, ,50.214573,134.19913, 
