Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
1	62.017857	12.571428	 	132.5991	59.84955	 	 	 	 	 	 	 
2	62.0625	12.571428	 	132.04086	59.385216	 	 	 	 	 	 	 
3	61.973213	12.4375	 	131.28632	58.68865	 	 	 	 	 	 	 
4	62.008774	12.27193	 	129.65422	57.532467	 	 	 	 	 	 	 
5	62.126087	12.395652	 	129.40193	57.173634	 	 	 	 	 	 	 
6	62.285713	12.294642	 	132.14348	59.13478	 	 	 	 	 	 	 
7	62.326447	12.243802	 	132.66956	59.48097	 	 	 	 	 	 	 
8	62.491524	12.18644	 	133.04301	59.84946	 	 	 	 	 	 	 
9	62.20339	11.855932	 	133.0524	60.07549	 	 	 	 	 	 	 
10	62.060345	11.689655	 	130.44373	58.093246	 	 	 	 	 	 	 
11	62.185184	11.351851	 	132.51176	59.94706	 	 	 	 	 	 	 
12	62.25	11.2327585	 	129.43741	58.31371	 	 	 	 	 	 	 
13	63.146553	11.49138	 	133.86087	62.04806	 	 	 	 	 	 	 
14	62.9	10.854546	 	133.39285	62.829544	 	 	 	 	 	 	 
15	63.13158	10.763158	 	133.8	63.759377	 	 	 	 	 	 	 
16	63.094593	10.274775	 	134.56897	65.407524	 	 	 	 	 	 	 
17	63.243362	10.376106	 	134.6981	67.38273	 	 	 	 	 	 	 
18	63.691303	10.482609	 	134.70615	68.76769	 	 	 	 	 	 	 
19	63.661903	10.261905	 	131.95474	78.124725	*	139.90816	53.510204	 	 	 	 
20	64.01376	10.353211	 	132.0805	81.64286	*	143.51888	52.959118	 	 	 	 
21	63.415092	9.830189	 	132.05504	85.28211	*	144.53401	52.540817	 	 	 	 
22	63.635136	9.725225	 	132.15814	89.15116	*	144.5915	52.22549	 	 	 	 
23	63.48165	9.5	 	132.21461	93.37239	*	142.61656	51.604294	 	 	 	 
24	61.66	8.468	 	132.16667	97.90426	*	144.84027	52.131943	 	 	 	 
25	63.509174	9.261468	 	132.4218	102.91706	*	143.46732	51.859478	 	 	 	 
26	63.625	9.116072	 	132.35097	107.8774	 	141.59435	50.638363	 	 	 	 
27	63.5	8.85514	 	132.36035	113.40274	 	145.4781	51.492702	 	 	 	 
28	63.779278	9.094595	 	132.43655	119.192894	 	145.7963	51.38889	 	 	 	 
29	63.932693	8.990385	 	132.46455	125.1	 	145.30302	51.454544	 	 	 	 
30	64.76605	9.490826	 	132.43489	131.52605	 	144.65033	51.166668	 	 	 	 
31	64.288994	9.224771	 	132.54486	137.99341	 	145.45589	51.125	 	 	 	 
32	64.21028	9.088785	 	132.604	144.97467	 	143.76315	50.611843	 	 	 	 
33	64.31309	9.21028	 	132.51631	152.16304	 	146.05385	50.73846	 	 	 	 
34	64.14423	8.971154	 	132.66156	159.85097	 	145.63971	50.82353	 	 	 	 
35	64.38785	9.200934	 	132.80312	167.65297	 	143.23418	50.5	 	 	 	 
36	64.27273	9.245455	 	132.8305	175.59604	 	144.73288	50.96575	 	 	 	 
37	64.03271	9.03271	 	132.69061	183.95747	 	145.48518	51.107407	 	 	 	 
